"label","name","description","timingWindow","timingWindowUpper","id","uuid:ID","timingValue","timingWindowLower"
"Screening","TIM1","Screening timing","","","Timing_1","c4e90062-958f-48e1-9939-d1ae7d39f48a","P2W",""
"Pre dose","TIM2","Pre dose timing","-4..0 hours","PT0H","Timing_2","52a28559-1a49-4d07-bf3b-ce86146c233d","P2D","PT4H"
"Dosing","TIM3","Dosing anchor","","","Timing_3","7a8a9942-9827-453d-84d8-a309f7206e05","P1D",""
"Week 2","TIM4","Week 2 timing","-3..3 days","P3D","Timing_4","dc0448fb-144e-4b95-881e-1a3dfaabde24","P2W","P3D"
"Week 4","TIM5","Week 4 timing","-3..3 days","P3D","Timing_5","2f55cc56-e15b-40b6-b9cc-7bf2c16336ac","P4W","P3D"
"Week 6","TIM6","Week 6 timing","-3..3 days","P3D","Timing_6","1f9b6a28-9651-404e-afa9-8006309ad550","P6W","P3D"
"Week 8","TIM7","Week 8 timing","-3..3 days","P3D","Timing_7","4013b366-a5cd-44b2-975a-dc890d786ea8","P8W","P3D"
"Week 8 Home","TIM8","Week 8 at home timing","","","Timing_8","c5cef0fd-cae3-495b-ad86-08893721bb89","P2W",""
"Week 12","TIM9","Week 12 timing","-4..4 days","P4D","Timing_9","c64e1001-6eb0-47df-90ef-60cedf213c36","P12W","P4D"
"Week 12 Home","TIM10","Week 12 at home timing","","","Timing_10","10fc046d-0a61-442a-8a6b-5ec0ab193a9f","P2W",""
"Week 16","TIM11","Week 16 timing","-4..4 days","P4D","Timing_11","43caec75-bd24-45a5-8d85-1e8ddf0d91fb","P16W","P4D"
"Week 16 Home","TIM12","Week 16 at home timing","","","Timing_12","b5a3593b-0ebb-4980-82d3-426045fbe0e3","P2W",""
"Week 20","TIM13","Week 20 timing","-4..4 days","P4D","Timing_13","71f791be-ff0f-41d8-b93e-32840522252e","P20W","P4D"
"Week 20 Home","TIM14","Week 20 at home timing","","","Timing_14","f0820632-99a4-42d6-b570-84e1b7019ef1","P2W",""
"Week 24","TIM15","Week 24 timing","-4..4 days","P4D","Timing_15","bb728123-7a6f-47de-9719-ecd1bd6c75c6","P24W","P4D"
"Week 26","TIM16","Week 26 timing","-3..3 days","P3D","Timing_16","63a58d47-5e0d-4f0f-bc8e-4106e25e4fef","P26W","P3D"
"Adverse Event","TIM17","Adverse Event","","","Timing_17","86da5cd3-d287-4758-b21d-7657ccf22f8c","P1D",""
"Early Termination","TIM18","Early Termination","","","Timing_18","542cbe7f-fe58-486f-98c9-7465bb9c0bc4","P1D",""
"BP Anchor","TIM19","BP Anchor","","","Timing_19","802a5561-1454-43b7-94f3-db1a2084890b","PT0M",""
"BP while Supine","TIM20","BP while Supine","","","Timing_20","160d37d9-901a-46a1-845d-0662d52bc4a8","PT5M",""
"BP Stand Up","TIM21","BP Stand Up","-2..0 mins","PT0M","Timing_21","5bd36539-b7c8-4a6a-817c-fde5830ca604","PT3M","PT2M"
"BP while standing","TIM22","BP while standing","","","Timing_22","fee8d942-7a93-4fef-acc2-67889cd3a8c8","PT0M",""
