"bcPropertyRequired","label","bcPropertyResponseCodes","name","id","bcPropertyDatatype","uuid:ID","bcPropertyEnabled"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_86","decimal","b75e64e0-1954-4449-9dab-deff07169795","True"
"True","Unit of Temperature","","Unit of Temperature","BiomedicalConceptProperty_87","string","c0ba2776-71d6-400d-88e2-e282fff30ca3","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_88","string","668cde40-80b7-408b-9401-b3427becce00","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_89","decimal","6116f98a-49ff-4a6b-ba21-0328c684ec36","True"
"True","Unit of Weight","","Unit of Weight","BiomedicalConceptProperty_90","string","b61e9ba8-86c2-4c99-acef-6cbb5ce5f34d","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_91","decimal","72ceef79-4641-4262-9ac8-fe91df5bee15","True"
"True","Unit of Height","","Unit of Height","BiomedicalConceptProperty_92","string","0a900525-fe2c-47c3-a5e2-30f2793a0d38","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_93","decimal","db4052a9-2a85-4b78-aa2b-2e6b102c0779","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","boolean","b63c2750-ad75-4d11-9ace-b0fbce8aa320","True"
"True","Unit of Catalytic Activity Concentration","[]","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","string","712a9a48-cba5-4879-b63c-2b8bd530c7ff","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_96","string","418c78ff-12f7-45b2-9fb9-7886fbd136fb","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_97","string","b5006786-2ad7-481e-89da-1b24fcf56e30","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_98","boolean","df08a83a-72e6-4aa0-9e42-65fbb525f87f","True"
"True","Unit of Concentration","[]","Unit of Concentration","BiomedicalConceptProperty_99","string","34a622f6-4015-44ce-af8a-c552cf0e97ad","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_100","string","b7916dfa-b189-4cc2-b583-84b6ce45418d","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_101","decimal","74998bd5-6a7e-4778-ac6a-d394657cab92","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_102","boolean","79e2ae9d-74a2-4f5d-9f5a-acf79a8c43b1","True"
"True","Unit of Catalytic Activity Concentration","[]","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","string","827545fc-d775-4db3-84e3-d6f498e4f462","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_104","string","13f20331-32e5-4bb5-8feb-d73fbeabd5be","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_105","decimal","14e38145-af24-43ce-9e48-19f53105e185","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","boolean","2e45e82b-38a1-4113-b2f7-852bdd462238","True"
"True","Unit of Catalytic Activity Concentration","[]","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","string","0ff89407-6779-4a50-87b2-b502146a7965","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_108","string","ace5cbde-b908-4f49-8f83-67f723dc06dc","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_109","string","3722d9e5-797f-4340-b882-055e97f3381e","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","boolean","d4779ccb-6a9a-47a5-9ef5-4b9e0ba89485","True"
"True","Unit of Concentration","[]","Unit of Concentration","BiomedicalConceptProperty_111","string","f88e038f-365e-4846-9fe4-dfa2e4b5a7c3","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_112","string","74c50e02-d11f-4a68-ad5a-b1dc73a4a1f6","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_113","decimal","97308fb5-11e5-4b12-9333-9193a5a7abd6","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","boolean","0d488c76-400a-47b7-8710-0a4f5a67d101","True"
"True","Molarity Unit","[]","Molarity Unit","BiomedicalConceptProperty_115","string","5cbcbc03-8a0a-44e7-9ed9-de35b9fa3128","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_116","string","1ae0ba28-8f75-4df4-bd75-e75e29b2b6e3","True"
"True","Laboratory Test Result","[]","Laboratory Test Result","BiomedicalConceptProperty_117","decimal","fabdc895-3aab-4bdf-8350-de50e61e229d","True"
"True","Laboratory Test Fasting Status","[]","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","boolean","112a61ef-5e65-4525-8534-8fda99e90454","True"
"True","Molarity Unit","[]","Molarity Unit","BiomedicalConceptProperty_119","string","b01e0f52-7c6b-4d21-80ab-62e17981c524","True"
"True","Biospecimen Type","[]","Biospecimen Type","BiomedicalConceptProperty_120","string","c899e129-b670-4b2f-b958-75f3d38d5355","True"
"True","Adverse Event Verbatim Description","[]","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","string","6138dbde-593f-4082-b904-00d5467a9e58","True"
"True","Adverse Event Dictionary Derived Term","[]","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","string","9989f153-288e-47b5-8f47-d630ffe9b131","True"
"True","Adverse Event Category","[]","Adverse Event Category","BiomedicalConceptProperty_3","string","9a45dae4-fb86-467a-8dd1-b508491490d7","True"
"True","Adverse Event Subcategory","[]","Adverse Event Subcategory","BiomedicalConceptProperty_4","string","923b682d-becc-467a-8589-112e192c1f73","True"
"True","Adverse Event Pre-specified","[]","Adverse Event Pre-specified","BiomedicalConceptProperty_5","boolean","7d6baf01-ae63-4101-bfb0-ab1a130741be","True"
"True","Severity of Adverse Event","[]","Severity of Adverse Event","BiomedicalConceptProperty_6","string","1b4ccd0b-89a4-4785-9a1f-3a74ebd28e0f","True"
"True","Adverse Event Toxicity Grade","[]","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","string","349947bd-070e-46e6-9c13-c3d6a29da5ba","True"
"True","Seriousness of Adverse Event","[]","Seriousness of Adverse Event","BiomedicalConceptProperty_8","boolean","986a7b38-5669-4b4a-ac31-730abd8fc556","True"
"True","Adverse Event Action Taken with Study Treatment","","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","string","1c22d4ee-757c-4ccd-99f8-5689624052cb","True"
"True","Adverse Event Attribution to Product or Procedure","[]","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","string","173e0d98-9d45-4fbd-9f37-00a628019836","True"
"True","Adverse Event Pattern","[]","Adverse Event Pattern","BiomedicalConceptProperty_11","string","747c2b65-ffcb-4fc7-9dc4-a555e15fec68","True"
"True","Adverse Event Outcome","","Adverse Event Outcome","BiomedicalConceptProperty_12","string","2b111200-0b5c-4558-b773-8d1feb276839","True"
"True","Adverse Event Start Date Time","[]","Adverse Event Start Date Time","BiomedicalConceptProperty_13","datetime","913cff82-6e50-438a-ab05-1c2248a05f5d","True"
"True","Adverse Event End Date Time","[]","Adverse Event End Date Time","BiomedicalConceptProperty_14","datetime","df91162c-32da-46bc-b49b-858fa120218c","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_15","decimal","248fe4c1-e1fd-4077-9263-e0b992909b0c","True"
"True","Unit of Pressure","","Unit of Pressure","BiomedicalConceptProperty_16","string","a05fe395-934f-42ac-a46c-dcda8868089e","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_17","string","3805b801-dcd9-4f55-a7cd-850a194eac73","True"
"True","Vital Signs Laterality","[]","Vital Signs Laterality","BiomedicalConceptProperty_18","string","9de0338a-67e8-45b6-bb27-019289f6d689","True"
"True","Test Method","[]","Test Method","BiomedicalConceptProperty_19","string","f4146101-5d0a-4ab3-8401-c6422265d7fc","True"
"True","Vital Signs Position","[]","Vital Signs Position","BiomedicalConceptProperty_20","string","6948725e-8d2f-4be4-af9e-a7b26e2f0891","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_21","decimal","a55b575c-b4ce-4353-b848-0351396d9126","True"
"True","Unit of Pressure","","Unit of Pressure","BiomedicalConceptProperty_22","string","374f5b86-cc5f-4241-ab43-57d53a4fa7f5","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_23","string","60db859b-0feb-49aa-b58e-89ef6e0e770a","True"
"True","Vital Signs Laterality","[]","Vital Signs Laterality","BiomedicalConceptProperty_24","string","28906980-5515-43db-a90f-69e96c16bebf","True"
"True","Test Method","[]","Test Method","BiomedicalConceptProperty_25","string","5c4fc1d2-6b20-4d23-a58b-b59a48bf48cc","True"
"True","Vital Signs Position","[]","Vital Signs Position","BiomedicalConceptProperty_26","string","25d1fd38-c9c1-46f0-adbe-83c5dc834b26","True"
"True","Vital Signs Result","[]","Vital Signs Result","BiomedicalConceptProperty_27","decimal","6fc71c5e-404e-4faa-951b-16ec48a4b273","True"
"True","Unit of Temperature","","Unit of Temperature","BiomedicalConceptProperty_28","string","74b77ac6-1acd-4b94-bd6a-a881782add06","True"
"True","Vital Signs Location","[]","Vital Signs Location","BiomedicalConceptProperty_29","string","f3f3e620-afda-434b-bc17-6489f8af2098","True"
