"code","codeSystem","codeSystemVersion","decode","id","uuid:ID"
"C98388","http://www.cdisc.org","2023-09-29","Interventional Study","Code_1","e1a2931b-8f69-490a-96be-413169e64c44"
"C15601","http://www.cdisc.org","2023-09-29","Phase II Trial","Code_2","0b0fb3b7-5bef-4147-abad-4a29f91b6527"
"C132352","http://www.cdisc.org","2023-09-29","Sponsor Approval Date","Code_5","df4d6ecd-7d7b-471c-b2a8-37771285f340"
"C68846","http://www.cdisc.org","2023-09-29","Global","Code_6","8c3b756f-74a0-4d95-b9e7-f691e893aa3c"
"C99904x3","http://www.cdisc.org","2023-09-29","IRB/IEC Feedback","Code_54","6937d765-92a8-468a-979c-9643f13586db"
"C17649","http://www.cdisc.org","2023-09-29","Other","Code_55","01e721d6-69c9-4d25-97dc-dcfcf647ccfc"
"C41129","http://www.cdisc.org","2023-09-29","Region","Code_57","68941ff4-cdfa-4db3-97d1-412110593399"
"150","ISO 3166 1 alpha3","2020-08","Europe","Code_56","0674a153-4779-462d-9449-3ad12abd0d51"
"PHARMA","SPONSOR","12","Eli Lilly","Code_3","cf3e160d-e395-4ac9-8069-a8f6648a5039"
"C70793","http://www.cdisc.org","2023-09-29","Clinical Study Sponsor","Code_58","538b1cfc-affc-4eb2-afbc-8629d11adc61"
"USA","ISO 3166 1 alpha3","2020-08","United States of America","Code_59","b5ec237b-8af5-435b-99cc-7a047609c9ab"
"C93453","http://www.cdisc.org","2023-09-29","Study Registry","Code_60","2e619992-1759-4dac-bb89-b0eb7689a893"
"C49656","http://www.cdisc.org","2023-09-29","Treatment Study","Code_118","eda94e0c-7181-44ec-bdcf-398129b8a881"
"C49666","http://www.cdisc.org","2023-09-29","Efficacy Study","Code_119","5be4f111-e860-4d6e-8cdf-323c9c313f0a"
"C49667","http://www.cdisc.org","2023-09-29","Safety Study","Code_120","83d9e00e-866e-4e69-8ab3-ef9a58dbe767"
"C49663","http://www.cdisc.org","2023-09-29","Pharmacokinetic Study","Code_121","e47e5c5c-a843-496f-9807-941ea0ccf97a"
"MILD_MOD_ALZ","SPONSOR","12","Mild to Moderate Alzheimer\'s Disease","Code_115","430c5270-723e-4d89-bf56-a8e7b7ce5701"
"26929004","SNOMED","January 31, 2018","Alzheimer\'s disease","Code_116","656f433e-a4c8-4352-89ce-994c4942b35c"
"C82639","http://www.cdisc.org","2023-09-29","Parallel Study","Code_122","fbf66abd-4998-4431-8729-7c3eae4cec38"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_64","976d4987-b73e-4cc2-9360-fb62ccac6fc4"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_65","4d53095c-5425-4e17-9adf-a425d82ef2bd"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_66","e7d83f2d-bbe5-4506-ad65-8682f502f863"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_67","2fdddef8-b579-4d18-add5-e1b03f962360"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_68","87f30905-079f-431c-b2aa-8d557bf61b0f"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_69","92fc9f68-bde4-402c-9083-1af4f55871e8"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_70","14bec6cc-74de-4b87-9835-ebb273ad7e3e"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_71","ece0c57c-1060-42a2-9997-21d801c2e953"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_72","b65acd64-8bf6-4049-b2b9-8443c2943298"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_73","a02af792-4a66-4114-8376-1a77cf917b2d"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_74","1c23a66b-2bc1-4700-8910-99d4ad5c63cb"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_75","b9d4a391-01cd-44cd-9841-feddb723f734"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_76","20ce7a00-0b53-4e7b-bffb-524ee6feab41"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_77","b5a9ae4e-bdba-41a3-9f65-cdc60205a288"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_78","ea5f3b4e-ff6a-4fd4-b22c-fd7184896837"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_79","0c034c2c-e7af-4c99-b8c9-bec8e5be3161"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_80","4e4540b9-7894-400b-9359-56e4a318055b"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_81","927960e7-7d0a-4689-85ea-411de52704c1"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_82","14274583-0519-481b-be96-28cbe1dd9111"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_83","74bdb94d-5952-4290-a020-dca5625747e0"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_84","3dc0a4c6-4e79-402d-aa62-9509461498a8"
"C171537","http://www.cdisc.org","2023-09-29","Telephone Call","Code_85","26b2acb8-aec1-4a91-b011-1b52ed32feb9"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_86","ee832dc1-3a78-457e-9da8-02b0e3a5dca2"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_87","e1d34731-96ee-48cd-b1c9-5567984fd9a8"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_88","27181fc4-c10c-4b82-a3b1-1753e048e83a"
"C171537","http://www.cdisc.org","2023-09-29","Telephone Call","Code_89","97de5ddb-ffdf-4275-a6c0-4372900b7661"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_90","dabf6188-de7b-4c0d-84cc-7097c1ecf93a"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_91","db503568-c1bc-4165-86a4-dda05d2b1b90"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_92","1e0648af-81f1-4e67-aad4-cba34e1e7700"
"C171537","http://www.cdisc.org","2023-09-29","Telephone Call","Code_93","64d919a4-3f10-4e99-86ea-695e0b706deb"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_94","d2331e8c-209f-4a31-b9e8-918fd2bc9f78"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_95","27b5272e-58e3-4984-8745-8f59dd4c7900"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_96","fa5fb215-018a-4916-9f85-af5f144181b7"
"C171537","http://www.cdisc.org","2023-09-29","Telephone Call","Code_97","54a85cf7-b40b-4dc9-a1ca-f9759f5fbafa"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_98","93fe8487-d896-4914-bedd-1e1bdf89cc07"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_99","cf0b2792-7450-4690-bbca-71bd414dd7db"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_100","e452fa09-45ca-4657-983e-c46cf02eb9ed"
"C25716","http://www.cdisc.org","2023-09-29","Visit","Code_101","f57c8036-4a6c-4ab7-9d23-4744b9cbe7ce"
"C51282","http://www.cdisc.org","2023-09-29","Clinic","Code_102","004befa2-1960-45ba-bdda-e24b11c7d892"
"C175574","http://www.cdisc.org","2023-09-29","In Person","Code_103","c1585119-ac00-42d6-bc04-625223d08e53"
"383371000119108","SNOMED","January 31, 2018","CT of head without contrast","Code_61","81835ca4-c206-42cd-af3c-2dcd434b769a"
"123","SPONSOR","12","Supine for 5 minutes","Code_62","2f8434de-0936-4391-902b-528a6a399d77"
"124","SPONSOR","12","Standingfor 1-3 minutes","Code_63","30ae7845-721a-443a-997f-494fc8be7359"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_242","beff9710-9c7d-46d3-a1db-69b2afde5412"
"C42537","http://www.cdisc.org","2023-09-29","Kelvin","Code_243","87702ec4-b615-4e9f-bee6-b3edc0f127cd"
"C44276","NCI Thesaurus","","Unit of Temperature","Code_244","b51cf9ef-ab95-4de0-a31a-58e512a3223e"
"C83088","NCI Thesaurus","","Vital Signs Location","Code_245","0926c391-55a5-456f-96a6-c73fd80d8d6d"
"C174446","NCI Thesaurus","","Body Temperature","Code_241","8f520f22-134a-4178-8142-67de7deaa460"
"C173522","NCI Thesaurus","","Vital Signs Result","Code_247","5f97a071-3212-4039-b12d-53eef442563c"
"C28252","http://www.cdisc.org","2023-09-29","Kilogram","Code_248","23eb4657-d170-4765-9cef-8cc4c91b4cb4"
"C48155","http://www.cdisc.org","2023-09-29","Gram","Code_249","08ed6462-ca07-4805-9a7d-402f4e052b6f"
"C48531","http://www.cdisc.org","2023-09-29","Pound","Code_250","2fabbd18-b2b8-4a38-a600-c5b823d5aeeb"
"C48208","NCI Thesaurus","","Unit of Weight","Code_251","309844d0-6003-4b8f-93b0-9aa6fed84fa7"
