"text","name","id","sectionTitle","uuid:ID","sectionNumber"
"","ROOT","NarrativeContent_1","Root","78bf817f-fd44-4cac-8489-81c27a9e88e6","0"
"<div><usdm:section name=""M11-title-page""></div>","SECTION 0","NarrativeContent_2","TITLE PAGE","6cb082f8-828c-4ece-b397-5140312dd229","0"
"<div></div>","SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","710e42a1-7f95-4ae6-84e7-c1b0b238e3c7","1"
"<div></div>","SECTION 1.1","NarrativeContent_4","Protocol Synopsis","2fdf98d0-f95b-4d48-9288-195edf9c2cb1","1.1"
"<div></div>","SECTION 1.2","NarrativeContent_5","Trial Schema","33d5da90-93d2-48d6-a539-8b02b331b7e3","1.2"
"<div></div>","SECTION 1.3","NarrativeContent_6","Schedule of Activities","77ab685f-9bec-440d-99bc-1e3d8c8f673e","1.3"
"<div></div>","SECTION 2","NarrativeContent_7","INTRODUCTION","03635781-1518-46fe-b8c5-751fa4d89438","2"
"<div></div>","SECTION 2.1","NarrativeContent_8","Purpose of Trial","9ccc0e71-b38a-4513-9850-1f3285f7027c","2.1"
"<div></div>","SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","6d70db8e-50ad-4774-9c67-dd8a90dff519","2.2"
"<div></div>","SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","fa3509ee-37c3-4f57-a1e8-3d5421248f0c","3"
"<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","NarrativeContent_11","Primary Objectives","44204a3b-1dc3-4aae-b928-17b699802c7b","3.1"
"<div></div>","SECTION 4","NarrativeContent_12","TRIAL DESIGN","ab36801b-3d9f-4964-bbfe-fedf7c95e684","4"
"<div></div>","SECTION 4.1","NarrativeContent_13","Description of Trial Design","f2580357-f6df-4721-8ecb-49e08b9aa03e","4.1"
"<div></div>","SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","6317fbfc-2242-455a-9c5e-d4dea138ddd2","4.1.1"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","adf97eb4-d988-4c14-af98-17fbb2484748","4.2"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","c2391df2-361f-4c79-ac1d-000b189ad309","4.2.1"
"<div></div>","SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","7a484d22-fce9-460b-9d1e-91e9c9528440","4.2.2"
"<div></div>","SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","176543f8-af78-4a00-80c6-e8a5090179f2","4.2.3"
"<div></div>","SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","300efec7-30a2-4db5-a5f8-9db6ff74e0f5","4.3"
"<div></div>","SECTION 4.4","NarrativeContent_20","Start of Trial and End of Trial","767843ff-bb8e-420b-a967-ecd7773235f7","4.4"
"<div></div>","SECTION 5","NarrativeContent_21","TRIAL POPULATION","47017c19-dd31-428f-848d-f3e71a8fef75","5"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","NarrativeContent_22","Selection of Trial Population","4155c355-3fff-4dc6-bc29-1d961290ae75","5.1"
"<div></div>","SECTION 5.2","NarrativeContent_23","Rationale for Trial Population","a6693f23-02b6-4e13-b67d-1ae1f7a4bd44","5.2"
"<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","NarrativeContent_24","Inclusion Criteria","e44e42a5-7c3b-4346-9873-32dedb4c53d3","5.3"
"<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","NarrativeContent_25","Exclusion Criteria","1c0adc19-0ae8-44d6-a14b-da1dfaed370b","5.4"
"<div></div>","SECTION 5.5","NarrativeContent_26","Lifestyle Considerations","93080f38-afec-4729-a158-8017d4fd6ab6","5.5"
"<div></div>","SECTION 5.5.1","NarrativeContent_27","Meals and Dietary Restrictions","8da6fa97-b0e5-4a55-8aa9-344c2c836365","5.5.1"
"<div><p>Not applicable</p></div>","SECTION 5.5.2","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","e3446197-a351-4e67-afdb-66577c92d1ba","5.5.2"
"<div></div>","SECTION 5.5.3","NarrativeContent_29","Physical Activity","b5db2946-2066-405f-9da0-69f74f5a124d","5.5.3"
"<div></div>","SECTION 5.5.4","NarrativeContent_30","Other Activity","b6d3844c-4509-408b-9152-da83b7ead559","5.5.4"
"<div></div>","SECTION 5.6","NarrativeContent_31","Screen Failures","479e8a9c-0853-43ab-8eee-a46c7cd7d9e0","5.6"
"<div></div>","SECTION 6","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","4e069183-98c1-4331-a289-156a70b8f692","6"
"<div></div>","SECTION 6.1","NarrativeContent_33","Description of Trial Intervention","d0677551-e5ca-4c38-92e1-09b58d17d5c3","6.1"
"<div></div>","SECTION 6.2","NarrativeContent_34","Rationale for Trial Intervention","21d5ff30-133f-40b9-a447-7a10cc865aff","6.2"
"<div></div>","SECTION 6.3","NarrativeContent_35","Dosing and Administration","5b473d6d-4ae8-4b91-97b1-3bd9afc6fa55","6.3"
"<div></div>","SECTION 6.3.1","NarrativeContent_36","Trial Intervention Dose Modification","9df7917d-5cd9-4b72-8a9a-da4f9b9b4bec","6.3.1"
"<div></div>","SECTION 6.4","NarrativeContent_37","Treatment of Overdose","d6e11306-29f7-4c25-b8c4-4325e8e2840f","6.4"
"<div></div>","SECTION 6.5","NarrativeContent_38","Preparation, Handling, Storage and Accountability","aba1484d-1760-4732-8719-67e5233dedf9","6.5"
"<div></div>","SECTION 6.5.1","NarrativeContent_39","Preparation of Trial Intervention","c68cbd5c-1db3-4451-90a5-84cd790d2eae","6.5.1"
"<div></div>","SECTION 6.5.2","NarrativeContent_40","Handling and Storage of Trial Intervention","23d45ac0-7c61-4cbd-b541-d63589ccf217","6.5.2"
"<div></div>","SECTION 6.5.3","NarrativeContent_41","Accountability of Trial Intervention","48b7ad7a-adb2-4c0a-b3cb-f9f3333005ce","6.5.3"
"<div></div>","SECTION 6.6","NarrativeContent_42","Participant Assignment, Randomisation and Blinding","601dfef0-672e-4958-a17b-348b0e2495f6","6.6"
