"label","name","description","id","uuid:ID","activityIsConditional","definedProcedures","activityIsConditionalReason"
"","Informed consent","","Activity_1","b6109518-877f-45d9-8a00-a45486f860e7","False","[]",""
"","Inclusion/exclusion criteria","","Activity_2","8fdd88ac-d98d-4166-a084-2aaabae4958b","False","[]",""
"","Patient number assigned","","Activity_3","0d39bb68-a07a-4db2-a4e1-248a36ca134b","False","[]",""
"Demographics","Demographics","","Activity_4","6d11da37-f82d-4828-9364-a22fb1c97a1c","False","[]",""
"Hachinski","Hachinski","","Activity_5","d6cf4c6c-f2f7-48b6-a3ac-ed97e0eed359","False","[]",""
"MMSE","MMSE","","Activity_6","71e405ca-c325-46f1-bc02-486ce4673723","False","[]",""
"","Physical examination","","Activity_7","4bafd0ca-bc90-49cf-a6ba-4d030672a80e","False","[]",""
"","Medical history","","Activity_8","255cc994-2831-46b8-ac89-2da2f43d43b9","False","[]",""
"","Habits","","Activity_9","38f273cf-b829-471f-83a4-7f0510905906","False","[]",""
"","Chest X-ray","","Activity_10","a49fa8fb-d264-44fe-8b3a-1b8abf6eb5b9","False","[]",""
"","Apo E genotyping","","Activity_11","d14a78cd-859a-4cc2-9fb7-8480f13a0077","False","[]",""
"","Patient randomised","","Activity_12","a2cefb83-48da-458d-8a6e-81d0f0d53c63","False","[]",""
"Vital Signs and Temperature","Vital signs / Temperature","","Activity_13","892dac29-02d1-43f9-afac-3310ff233525","False","[]",""
"","Ambulatory ECG placed","","Activity_14","17ca698e-24d9-40f4-8f3c-4395607c077f","False","[]",""
"","Ambulatory ECG removed","","Activity_15","f8614d13-d855-4ae0-8c8e-01aad439b1d6","False","[]",""
"","ECG","","Activity_16","d2a0ae81-b589-4205-be52-5c1a9dbe25f6","False","[]",""
"","Placebo TTS test","","Activity_17","9c3dca7c-8597-4572-821d-168dd1ee6819","False","[]",""
"","CT scan","","Activity_18","998f60b0-00f1-40ab-83b5-651917b00443","False","",""
"","Concomitant medications","","Activity_19","238a76ba-0791-456a-80bf-01ed96e97a56","False","[]",""
"","Hematology","","Activity_20","b64f5ac6-dc96-4ead-b903-4273ad41c85c","False","[]",""
"","Chemistry","","Activity_21","afff1f0b-8e84-4585-bce3-fe5cfd80d71d","False","[]",""
"","Uninalysis","","Activity_22","6e42cef0-dc89-4438-8e20-b0709537a59d","False","[]",""
"","Plasma Specimen (Xanomeline)","","Activity_23","0ff36598-8359-40ef-b700-b3e3a4373012","False","[]",""
"","Hemoglobin A1C","","Activity_24","a51c3e93-154f-4150-9a5a-e18fd943a8f8","False","[]",""
"Study drug record , Medications dispensed, Medications returned","Study drug","","Activity_25","5fb97bfe-b3b9-4276-898b-c5131490024e","False","[]",""
"","TTS Acceptability Survey","","Activity_26","897b87cf-2d1e-4e13-967b-a113ec46c79c","False","[]",""
"","ADAS-Cog","","Activity_27","bcab67e1-7087-4c41-99a6-2bece5033d9f","False","[]",""
"","CIBIC+","","Activity_28","ed7ede9f-bcd5-480e-96be-0eb2839536ca","False","[]",""
"","DAD","","Activity_29","6db4ffdb-e42f-4e3b-806e-8a90fefd8cd0","False","[]",""
"","NPI-X","","Activity_30","7e2ec08e-6f02-4c00-b4bf-f9127870c998","False","[]",""
"","Adverse events","","Activity_31","126f8005-f9f2-4a87-b20e-e69a6b654461","False","[]",""
"","Check adverse events","","Activity_32","0836db77-fa9a-4d15-9c34-29906b05ee53","False","[]",""
"Supine for 5 minutes","Supine 5min","","Activity_33","760e466f-9403-41d7-b605-65b01d7ecda3","False","",""
"Blood pressure supine","Blood Pressure Supine","","Activity_34","afecde5b-0c97-4fc1-80b2-e3dd639358aa","False","[]",""
"Stand for 3 minutes","Stand 3min","","Activity_35","3c3a948d-866a-437d-b80f-18b883ef6d43","False","",""
"Blood pressure standing","Bood Pressure Standing","","Activity_36","071d9ea5-9d71-4899-ab3c-19f07a61811b","False","[]",""
