"label","text","name","description","id","uuid:ID"
"","Subject identifier","ENCOUNTER_START_RULE_1","","TransitionRule_1","d39b1986-47ba-4b09-ab6c-62c36c06768c"
"","completion of screening activities","ENCOUNTER_START_RULE_1","","TransitionRule_2","b48ca27e-48fa-4eaa-aabb-78810880b9c7"
"","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","","TransitionRule_3","a441cbd0-65fa-47a5-844b-9649142d048c"
"","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","","TransitionRule_4","96b0293e-8e59-4b26-af5b-4ba9faddc71c"
"","Radomized","ENCOUNTER_START_RULE_3","","TransitionRule_5","eb71340f-c383-4666-94a8-0411ad48cc42"
"","End of treatment","ENCOUNTER_START_RULE_12","","TransitionRule_6","3777c048-2700-49dd-ac96-e31bc9365e30"
"","Informed consent","ELEMENT_START_RULE_1","","TransitionRule_7","e235362d-4ed2-4892-a142-4107f3ad7237"
"","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","","TransitionRule_8","e5b87c35-c3ba-4ed3-b879-eb2478eeb2ce"
"","Administration of first dose","ELEMENT_START_RULE_2","","TransitionRule_9","3e0dbe99-435b-4e56-92c2-5a1cb1159785"
"","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","","TransitionRule_14","ba100b5f-6123-4154-868c-f1e3cedd7ea9"
"","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","","TransitionRule_15","dbd04420-2d07-4ffa-94f1-7570b320e8e5"
"","Administration of first dose","ELEMENT_START_RULE_3","","TransitionRule_10","0734dd66-b9e4-4835-bad6-7518397183bd"
"","Randomized","ELEMENT_START_RULE_4","","TransitionRule_11","e9ceb358-a9e5-4b0d-b4b5-de00ba1348b5"
"","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","","TransitionRule_12","c19de169-a9d3-4ad0-85bf-ad8e339e023d"
"","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","","TransitionRule_13","163769e3-3e83-4ff1-bf3e-5ffeabddf60e"
