"name","bcPropertyRequired","bcPropertyDatatype","label","bcPropertyResponseCodes","id","bcPropertyEnabled","uuid:ID"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_86","True","00d59e92-4ad5-4bb9-9a83-95cfebcdc58f"
"Unit of Temperature","True","string","Unit of Temperature","","BiomedicalConceptProperty_87","True","cd1591bb-3b13-481d-92fd-b1a27c3273e7"
"Vital Signs Location","True","string","Vital Signs Location","[]","BiomedicalConceptProperty_88","True","d94ae317-f5c1-46d1-9df9-db5092748712"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_89","True","b5469899-251c-4cca-8c64-a8793149bcc4"
"Unit of Weight","True","string","Unit of Weight","","BiomedicalConceptProperty_90","True","051557cd-0827-47ea-b8d4-529acef8d780"
"Vital Signs Result","True","decimal","Vital Signs Result","[]","BiomedicalConceptProperty_91","True","32c845bf-8c76-46e4-9cc9-b2455cbe302b"
"Unit of Height","True","string","Unit of Height","","BiomedicalConceptProperty_92","True","65915197-d77a-4c72-9a0e-e6f99e3636e5"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_93","True","ffa0d147-573e-415c-98ec-e529be7046ba"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_94","True","382fe206-8d0a-4715-b19a-dead6020df64"
"Unit of Catalytic Activity Concentration","True","string","Unit of Catalytic Activity Concentration","[]","BiomedicalConceptProperty_95","True","95b86c09-2608-417c-bc27-4fcdfeae0449"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_96","True","63203569-5218-4f3c-a8cc-913ad8e8ba99"
"Laboratory Test Result","True","string","Laboratory Test Result","[]","BiomedicalConceptProperty_97","True","feb76b14-7ae5-4284-a33e-ee1a0aae4f47"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_98","True","dea6a142-8afb-4886-abd8-ef652c409e35"
"Unit of Concentration","True","string","Unit of Concentration","[]","BiomedicalConceptProperty_99","True","90712403-0db2-49c0-9b06-79df445916e3"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_100","True","2d6cb248-b793-4e21-8de0-d536b83d1d4e"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_101","True","8e0a7b86-0ac4-4a03-b9f6-209133c97f0e"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_102","True","720e5409-bbe1-47e2-8d51-0c2620c15255"
"Unit of Catalytic Activity Concentration","True","string","Unit of Catalytic Activity Concentration","[]","BiomedicalConceptProperty_103","True","901c3f36-b64b-410f-9fb9-87f9323b1cb0"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_104","True","7c6140dd-b33d-4dba-af6a-51be811b8c43"
"Laboratory Test Result","True","decimal","Laboratory Test Result","[]","BiomedicalConceptProperty_105","True","bd747090-7eb7-43b7-9caf-a62a9e71d7ed"
"Laboratory Test Fasting Status","True","boolean","Laboratory Test Fasting Status","[]","BiomedicalConceptProperty_106","True","e9b64fc4-e768-4047-b203-12a6e0f239da"
"Unit of Catalytic Activity Concentration","True","string","Unit of Catalytic Activity Concentration","[]","BiomedicalConceptProperty_107","True","b19ad31b-927b-4840-832a-31a1ad0b814d"
"Biospecimen Type","True","string","Biospecimen Type","[]","BiomedicalConceptProperty_108","True","1840556f-d089-4126-8c33-c7f9a92bdcfe"
