"codeSystem","decode","codeSystemVersion","code","id","uuid:ID"
"http://www.cdisc.org","Interventional Study","2023-09-29","C98388","Code_1","4c0b9089-bd93-4c5b-a8df-418fa81bd680"
"http://www.cdisc.org","Phase II Trial","2023-09-29","C15601","Code_2","c6e22e0c-e898-491e-b4fb-eeceb46e72a8"
"http://www.cdisc.org","Sponsor Approval Date","2023-09-29","C132352","Code_5","6ae68d5b-ab46-46d2-a84f-d1051339b5a3"
"http://www.cdisc.org","Global","2023-09-29","C68846","Code_6","80e97474-e2bf-4454-b612-c85026f00a90"
"http://www.cdisc.org","IRB/IEC Feedback","2023-09-29","C99904x3","Code_54","f1a0eddd-f676-45e7-93e7-94e1551f2c44"
"http://www.cdisc.org","Other","2023-09-29","C17649","Code_55","9e1d3d25-544e-4648-9c62-2c4bb9584928"
"http://www.cdisc.org","Region","2023-09-29","C41129","Code_57","211d26a4-6ebf-4e06-8c28-cdb822c9eacd"
"ISO 3166 1 alpha3","Europe","2020-08","150","Code_56","7d8d6f64-e680-4b08-ba1e-e9b48ad1ef4f"
"http://www.cdisc.org","Country","2023-09-29","C25464","Code_59","a7132dc7-fac0-44f2-8e8d-b22f2982261d"
"ISO 3166 1 alpha3","Denmark","2020-08","DNK","Code_58","f158c1f2-ad8f-4d60-bf5a-7f0a434f1727"
"SPONSOR","Eli Lilly","12","PHARMA","Code_3","0d517fa0-bab8-4c78-9d5f-4a8818611dae"
"http://www.cdisc.org","Clinical Study Sponsor","2023-09-29","C70793","Code_60","3e5f46fb-5b45-4fe3-8dc0-044ffecc73d8"
"ISO 3166 1 alpha3","United States of America","2020-08","USA","Code_61","159b2ebe-692b-4bc0-9307-8735fa59fae7"
"http://www.cdisc.org","Study Registry","2023-09-29","C93453","Code_62","0a17fd1e-8e74-4828-862e-9c056518e4b2"
"http://www.cdisc.org","Treatment Study","2023-09-29","C49656","Code_120","a6713bc6-edb6-46ef-b68f-c6edda6046b6"
"http://www.cdisc.org","Efficacy Study","2023-09-29","C49666","Code_121","5fd14bc0-10b4-43ad-9202-063bf0865cd0"
"http://www.cdisc.org","Safety Study","2023-09-29","C49667","Code_122","6ba2d24e-9f63-4341-8f61-324fba8de07c"
"http://www.cdisc.org","Pharmacokinetic Study","2023-09-29","C49663","Code_123","6eefbdaf-b90a-4f4e-88b4-596881ed9ebe"
"SPONSOR","Mild to Moderate Alzheimer\'s Disease","12","MILD_MOD_ALZ","Code_117","c1fd1971-2004-4403-a336-f39a365dd76c"
"SNOMED","Alzheimer\'s disease","January 31, 2018","26929004","Code_118","f69f7cae-f1d4-4bb2-a7d2-75c592fc6d6e"
"http://www.cdisc.org","Parallel Study","2023-09-29","C82639","Code_124","08668b8a-165a-43f8-a2f0-8931e838020c"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_66","1e7c0c07-4a0d-45be-97e4-2f1146160e14"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_67","ed77417d-9dff-45ee-98b3-b629d768fb51"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_68","dce3010c-593d-4f84-85fd-c110ed5296db"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_69","d26acc9a-5a68-4889-8433-08bb6a06f51a"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_70","27b98118-7613-4a61-9517-013c89975657"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_71","df7cea23-12af-46e6-9bdd-6107055cc081"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_72","f7344059-6a0d-4da7-a6d5-dd9c955d847c"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_73","80b55188-7d1c-48c2-aa3c-286940c3637b"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_74","d6da0cba-454e-46fe-98bf-2e7a6f05a395"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_75","d4e03c0c-633c-4542-831b-95419efd381d"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_76","4f3ae47e-9d28-4037-8299-e21995766675"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_77","d2b1daad-097c-4162-bfdc-618dc001a7d3"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_78","86ca4cbc-5501-479f-9420-3371bf15f020"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_79","0d23bb78-5418-4fce-8751-f7978576561b"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_80","aed8e345-1c22-48ca-a32a-24c0fdf71013"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_81","fbd08d7e-8599-4dcb-bb53-41bb2b9a5a9e"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_82","412ceec2-3368-42d1-88fd-3ca18f1cfc10"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_83","f50a6561-5008-4fde-883e-f98e71d7270b"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_84","bc9a8cf2-c742-4023-9dc2-38b849589651"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_85","cd494b66-3c9d-4d95-b4ca-42a9665f8b6f"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_86","c6054785-6d77-430a-83ae-e524148327cb"
"http://www.cdisc.org","Telephone Call","2023-09-29","C171537","Code_87","d72bf4f8-e842-4355-88e3-ddfb59ca3bc5"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_88","22dd5f6e-6fa7-43da-829c-1de11f6f83a1"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_89","0e341c27-d21e-47d9-95da-0334aa0c7001"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_90","641e15dd-f4d3-4538-945a-299ac94267ca"
"http://www.cdisc.org","Telephone Call","2023-09-29","C171537","Code_91","4f5885ca-fef0-4f5a-9fc1-fd31a2c7758a"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_92","e0d882b8-abf4-42e2-b074-2b9dd16c0e0e"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_93","95c89649-2953-49b4-8290-b5d710db603e"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_94","bb9f0057-bad7-44f8-9de7-771774dc3f83"
"http://www.cdisc.org","Telephone Call","2023-09-29","C171537","Code_95","0a39d194-f830-4c57-885e-aa3c42033c61"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_96","9c5e8d71-efe3-41f9-bb21-3646f21f3c7e"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_97","86308654-6570-40a5-9804-789a61b002f2"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_98","286080a3-8af4-4598-ac0b-f64f950d0b9f"
"http://www.cdisc.org","Telephone Call","2023-09-29","C171537","Code_99","8aaf1de5-85ea-4422-b562-a7d0b51d9656"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_100","e8f0dcb6-0b5e-48c9-9b90-14cf24cfbb6a"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_101","89dd1eb3-a507-4000-9298-de1b8f813fbb"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_102","19d46815-c50c-4044-819a-823ad8e28651"
"http://www.cdisc.org","Visit","2023-09-29","C25716","Code_103","362ed277-7094-43a6-9e0b-879d8d35a727"
"http://www.cdisc.org","Clinic","2023-09-29","C51282","Code_104","3c62c62f-1443-410e-a3fd-833156432523"
"http://www.cdisc.org","In Person","2023-09-29","C175574","Code_105","1d0de313-9185-4a52-98cb-ec4ad9bfbe79"
"SNOMED","CT of head without contrast","January 31, 2018","383371000119108","Code_63","d6b29741-f838-427e-9168-ad56ea2a098b"
"SPONSOR","Supine for 5 minutes","12","123","Code_64","bfc4cfe5-ba30-4c61-a04e-404234654d30"
"SPONSOR","Standingfor 1-3 minutes","12","124","Code_65","d49e0193-d989-4e02-b7b2-9695e6f56961"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_244","e7598f1d-fbb0-4bcb-b118-22af3d9cd762"
"http://www.cdisc.org","Kelvin","2023-09-29","C42537","Code_245","eca73cc4-0a9a-4a13-82eb-3262ae501128"
"NCI Thesaurus","Unit of Temperature","","C44276","Code_246","cce53b3c-b4d3-4615-8592-e353678c7e69"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_247","a8f4beab-019d-4dde-8fc9-3c92d7633a7a"
"NCI Thesaurus","Body Temperature","","C174446","Code_243","5c732fef-6b44-4160-a741-90406e5a2cce"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_249","f18490e0-6a87-41d4-9009-7606095a11c0"
"http://www.cdisc.org","Kilogram","2023-09-29","C28252","Code_250","c0afecac-d0a0-408d-8c88-20c5f0e43388"
"http://www.cdisc.org","Gram","2023-09-29","C48155","Code_251","932355be-e93e-4f25-aa75-7efd645d699b"
"http://www.cdisc.org","Pound","2023-09-29","C48531","Code_252","530fda35-fef2-42fa-aabf-57992c0c8aeb"
"NCI Thesaurus","Unit of Weight","","C48208","Code_253","925e0e0e-5434-4ff2-a28d-5fb2e9bc49dc"
"NCI Thesaurus","Body Weight","","C81328","Code_248","d8c09854-3a1c-4016-a2ed-88f89c4ad213"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_255","82d87fde-a1c6-4568-bd02-b5137598679f"
"http://www.cdisc.org","Centimeter","2023-09-29","C49668","Code_256","c928da52-0474-4766-82c8-2da87fc10d92"
"http://www.cdisc.org","Inch","2023-09-29","C48500","Code_257","91e0b2c1-efab-40ee-93ce-3c61c409924c"
"http://www.cdisc.org","Millimeter","2023-09-29","C28251","Code_258","6a849bb5-ed3d-4b98-b5b2-c1715752e691"
"http://www.cdisc.org","Meter","2023-09-29","C41139","Code_259","559986cc-d334-4da0-82a2-436536195b72"
"NCI Thesaurus","Unit of Height","","C168688","Code_260","51d9cc6a-15ab-4ecd-a69b-86f6bf75cd98"
"NCI Thesaurus","Body Height","","C164634","Code_254","dc83653d-d28f-4548-8d0e-9e9c7b2108d6"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_262","11a08556-a38e-4fbf-903b-b00be6908c7b"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_263","cc51c8e0-c1a9-4ddb-8444-cd40b9c57508"
"NCI Thesaurus","Unit of Catalytic Activity Concentration","","C67365","Code_264","d96c8254-689d-495f-b3a8-57c96d1a666f"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_265","6cbb164d-d131-473b-859f-27ffd7e615c8"
"NCI Thesaurus","Alanine Aminotransferase Measurement","","C64433","Code_261","0436237d-4e1b-495f-9d2a-35d622be7ccb"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_267","75aa938c-8faa-4b40-ba49-50472e596852"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_268","f1c38b04-fd2d-4aab-a321-19f43297fc17"
"NCI Thesaurus","Unit of Concentration","","C48207","Code_269","65776563-8585-4395-b0f8-3ec9ae69e088"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_270","d30be009-df4f-4939-b508-99c2f4060d56"
"NCI Thesaurus","Albumin Measurement","","C64431","Code_266","6e9d82e6-b8e8-4797-9d55-afc37ae070fa"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_272","7ac412ac-d561-40cb-a53a-0bed9f3d2681"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_273","093df73e-b8bb-4e11-afea-15469b7bb8ed"
"NCI Thesaurus","Unit of Catalytic Activity Concentration","","C67365","Code_274","bdd9d860-11e4-4a3d-bc5c-d3adc282a7df"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_275","3ab722a8-dad5-495d-bd84-12af17b38986"
"NCI Thesaurus","Alkaline Phosphatase Measurement","","C64432","Code_271","f9a308d8-d86c-4d68-b9b0-3224737ec89d"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_277","5c45f735-f766-4b3e-abfc-76e061670b33"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_278","3ad82ac6-c42d-4812-9abe-2dce42948d8e"
"NCI Thesaurus","Unit of Catalytic Activity Concentration","","C67365","Code_279","f12938d8-4f39-4dee-87ca-b5103b784fa6"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_280","58673848-67f7-418d-83e5-0fa0f3081e85"
"NCI Thesaurus","Aspartate Aminotransferase Measurement","","C64467","Code_276","d4f797ca-58c6-4c39-9456-e4ab550f49a6"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_282","3bc3e9f0-d094-48b0-8f8a-2e93b0b207fe"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_283","f1f07b2e-05b4-4817-9e41-c3918c90adce"
"NCI Thesaurus","Unit of Concentration","","C48207","Code_284","85830535-e858-4428-86d0-6d589ad27eed"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_285","2616cd04-c4d1-4ce7-b90f-fc6936b513ca"
"NCI Thesaurus","Creatinine Measurement","","C64547","Code_281","46a62bcb-a08c-47a3-a07e-afe1495e107f"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_287","e680b89a-30e9-441a-b87b-940171106de8"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_288","29d2e56e-a637-4e5c-b564-bf2dfd8f15e0"
"NCI Thesaurus","Molarity Unit","","C64567","Code_289","9835ec12-9fc3-4ced-85b2-c716650a2aee"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_290","022b0bca-b113-4315-bf13-5be010a63fac"
"NCI Thesaurus","Potassium Measurement","","C64853","Code_286","67dd739b-1e4d-437a-a505-a3c002c8c400"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_292","863a8a30-7db2-46e6-a51f-8ebb9c4295d5"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_293","42cd20f6-e733-4a36-87e6-b6d07621a0f4"
"NCI Thesaurus","Molarity Unit","","C64567","Code_294","6454bdc8-e0d2-40ba-8bb1-72329e6018e6"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_295","b7a4448a-36e6-446e-9b96-e726b61cd9f4"
"NCI Thesaurus","Sodium Measurement","","C64809","Code_291","bab80c9a-999f-41e4-b867-ec2a6694ad6b"
"NCI Thesaurus","Adverse Event Verbatim Description","","C78541","Code_126","cc7edc18-93d9-47b9-87b5-a748622b63f6"
"NCI Thesaurus","Adverse Event Dictionary Derived Term","","C83344","Code_127","4a07b453-27f8-4008-aa2f-19ca45819c55"
"NCI Thesaurus","Adverse Event Category","","C83198","Code_128","247873ed-9af8-47e6-86cb-0cbdb4c504fb"
"NCI Thesaurus","Adverse Event Subcategory","","C83212","Code_129","873b0fe8-16f9-47e5-b7a3-cf5c48eea172"
"NCI Thesaurus","Adverse Event Pre-specified","","C87840","Code_130","05f147f1-3da7-4253-abf3-b8b18822cc04"
"NCI Thesaurus","Severity of Adverse Event","","C53253","Code_131","02db7497-1c75-4de8-9b65-40d784703131"
"NCI Thesaurus","Adverse Event Toxicity Grade","","C78605","Code_132","f55a3946-dda2-4e01-9574-7fadfbfce2fe"
"NCI Thesaurus","Seriousness of Adverse Event","","C53252","Code_133","8372f3f3-1bd8-4967-be0f-7a1d837e8d47"
"http://www.cdisc.org","Unknown","2023-09-29","C17998","Code_134","d5bd35ca-1fe5-4aa2-a93e-4fd095e31562"
"NCI Thesaurus","Adverse Event Action Taken with Study Treatment","","C83013","Code_135","533e708b-0990-4b83-aac0-29daf42827cf"
"NCI Thesaurus","Adverse Event Attribution to Product or Procedure","","C41358","Code_136","9a6bec17-c4b9-405a-ad6c-8e9d83819250"
"NCI Thesaurus","Adverse Event Pattern","","C83208","Code_137","2a8c7a79-9aa2-4a57-86e4-6f4d3680781e"
"http://www.cdisc.org","Unknown","2023-09-29","C17998","Code_138","2497a8d6-c098-4fb0-b3f6-7e7d5ccdb9c8"
"NCI Thesaurus","Adverse Event Outcome","","C49489","Code_139","40792ff4-ada0-4804-b23d-2bd90c9213a6"
"NCI Thesaurus","Adverse Event Start Date Time","","C83215","Code_140","b54d065b-59df-4c7a-ad13-5383e5b50c3a"
"NCI Thesaurus","Adverse Event End Date Time","","C83201","Code_141","989e2b93-f4db-4349-8953-7f2363f5a8ff"
"NCI Thesaurus","Adverse Event","","C41331","Code_125","804bd795-ffa4-4b22-8e18-6c8ec0c5fe1c"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_143","b7925a15-1b61-4453-8ec1-27fa22a7fbb3"
"http://www.cdisc.org","Pascal","2023-09-29","C42547","Code_144","9e7c49ed-1c1c-463d-9655-b648e0f40bb0"
"NCI Thesaurus","Unit of Pressure","","C49669","Code_145","beaa3084-e84d-4c10-b9fe-3f8991e436ee"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_146","fa62cde3-901b-4655-bd7e-9ec129deb91b"
"NCI Thesaurus","Vital Signs Laterality","","C123975","Code_147","c49201e6-b379-4d8e-bdee-8ac1676b7b4a"
"NCI Thesaurus","Test Method","","C82535","Code_148","5f915795-ba2d-4c3e-86ca-ed14ba20f2d3"
"NCI Thesaurus","Vital Signs Position","","C83114","Code_149","1d390af9-92ae-4e5e-9960-e26f9c6cc750"
"NCI Thesaurus","Systolic Blood Pressure","","C25298","Code_142","8052b029-8acb-4692-93ac-45833e3fdab2"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_151","b58816d3-10a5-45db-8778-a267bc29d662"
"http://www.cdisc.org","Pascal","2023-09-29","C42547","Code_152","97d58ac7-744f-47b1-a07f-c9fff6711fbc"
"NCI Thesaurus","Unit of Pressure","","C49669","Code_153","607b7c3f-d90c-48cc-ac38-9ede05131cde"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_154","dc6e2cad-9355-4d3a-b589-a9092ed9a08e"
"NCI Thesaurus","Vital Signs Laterality","","C123975","Code_155","9611a255-5229-461f-b3ba-bc487155b2b6"
"NCI Thesaurus","Test Method","","C82535","Code_156","dbd00a2d-3dd4-4806-a6ca-280d4d2a9fb4"
"NCI Thesaurus","Vital Signs Position","","C83114","Code_157","36db3419-2531-4224-9890-000730151b95"
"NCI Thesaurus","Diastolic Blood Pressure","","C25299","Code_150","58cf0df6-293e-4fae-b8b2-8071379017a6"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_159","10f31409-286d-440f-8d47-2e2549e5a487"
"http://www.cdisc.org","Kelvin","2023-09-29","C42537","Code_160","e591a243-68a3-4d60-8021-cdc3ef604c89"
"NCI Thesaurus","Unit of Temperature","","C44276","Code_161","cfad027e-4ac9-4bed-a1aa-398a1b4b9458"
"NCI Thesaurus","Vital Signs Location","","C83088","Code_162","b879187c-c0b9-4d2b-adb0-2b7656327d15"
"NCI Thesaurus","Body Temperature","","C174446","Code_158","8172e839-1b6e-4de7-bf83-14be6608236a"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_164","3d6ce553-87b9-4530-8267-09a083b19d5c"
"http://www.cdisc.org","Kilogram","2023-09-29","C28252","Code_165","6ec99ccd-64ed-486f-8bff-0bb047cd1f8f"
"http://www.cdisc.org","Gram","2023-09-29","C48155","Code_166","79cbc2e6-c35a-4f84-8c9d-21cdb290462d"
"http://www.cdisc.org","Pound","2023-09-29","C48531","Code_167","95f9dca6-c0b3-4a48-97b2-5e4be6c5d9bf"
"NCI Thesaurus","Unit of Weight","","C48208","Code_168","fd7de2fd-2d43-4134-bb79-0dae044fba2f"
"NCI Thesaurus","Body Weight","","C81328","Code_163","8cd89be2-817a-4f76-a6b0-9d300da64210"
"NCI Thesaurus","Vital Signs Result","","C173522","Code_170","4e7dcc9b-f7b2-4c60-be7d-dcdf51b33feb"
"http://www.cdisc.org","Centimeter","2023-09-29","C49668","Code_171","719a160b-793a-4cbc-ac45-f07fbfc36838"
"http://www.cdisc.org","Inch","2023-09-29","C48500","Code_172","77031237-6928-40d3-b2c9-c94b31787731"
"http://www.cdisc.org","Millimeter","2023-09-29","C28251","Code_173","61c6aa55-0df8-4055-bc61-06aaa40970c9"
"http://www.cdisc.org","Meter","2023-09-29","C41139","Code_174","a0992147-958e-446f-97af-c432269b55ac"
"NCI Thesaurus","Unit of Height","","C168688","Code_175","ca73eb27-efe7-4dbb-bcdc-9f57b457022e"
"NCI Thesaurus","Body Height","","C164634","Code_169","d13daa4e-d114-4fd2-b94e-985c962d4e58"
"NCI Thesaurus","Laboratory Test Result","","C36292","Code_177","52065569-5390-4f25-a459-46753b0d9770"
"NCI Thesaurus","Laboratory Test Fasting Status","","C83309","Code_178","d1299f57-cc47-4385-83ac-b02f9f6f30bb"
"NCI Thesaurus","Unit of Catalytic Activity Concentration","","C67365","Code_179","429e4bd3-f11c-4c86-b3e1-896774b01a60"
"NCI Thesaurus","Biospecimen Type","","C70713","Code_180","f71f6dfa-1870-4510-9f32-b43b0403d887"
"NCI Thesaurus","Alanine Aminotransferase Measurement","","C64433","Code_176","df8d7e94-0da8-4afd-b494-e1cb5544bab7"
