"name","text","sectionNumber","sectionTitle","id","uuid:ID"
"ROOT","","0","Root","NarrativeContent_1","d5f82769-ddf0-4d7c-bf50-30730c690228"
"SECTION 0","<div><usdm:section name=""M11-title-page""></div>","0","TITLE PAGE","NarrativeContent_2","d5c4c139-3b58-484f-aa3c-d3e57067b176"
"SECTION 1","<div></div>","1","PROTOCOL SUMMARY","NarrativeContent_3","baf21951-4dec-4201-8416-31e1b75f77f7"
"SECTION 1.1","<div></div>","1.1","Protocol Synopsis","NarrativeContent_4","ef67d2a4-88d6-4308-9805-2739a27459c9"
"SECTION 1.2","<div></div>","1.2","Trial Schema","NarrativeContent_5","8f22e6c2-c025-4eac-b7e8-c4596771814b"
"SECTION 1.3","<div></div>","1.3","Schedule of Activities","NarrativeContent_6","cf6409b4-5dcc-4a1f-b1c1-a9a05fbfb9b1"
"SECTION 2","<div></div>","2","INTRODUCTION","NarrativeContent_7","cf24274d-3b54-4a69-8ba1-6da59a8d13fb"
"SECTION 2.1","<div></div>","2.1","Purpose of Trial","NarrativeContent_8","1a511235-a3e4-4a44-9e83-7a829c5dee1d"
"SECTION 2.2","<div></div>","2.2","Summary of Benefits and Risks","NarrativeContent_9","8d4433c0-2748-4a8f-9bbc-4371f7514005"
"SECTION 3","<div></div>","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","9aa23e26-9ce0-49ec-9df7-9dea153dcbe4"
"SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","Primary Objectives","NarrativeContent_11","3ba6398b-7678-409d-a4c3-7d14de1476b1"
"SECTION 4","<div></div>","4","TRIAL DESIGN","NarrativeContent_12","56ed07c6-1990-4e3c-9e47-554bc458bd1b"
"SECTION 4.1","<div></div>","4.1","Description of Trial Design","NarrativeContent_13","bcc1cb39-0d9a-4359-bb66-c00f503897bb"
"SECTION 4.1.1","<div></div>","4.1.1","Participant Input into Design","NarrativeContent_14","f5722904-f2ed-4452-afef-e5d2a6438659"
"SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","Rationale for Trial Design","NarrativeContent_15","4ac64472-5849-4d03-b1a0-dd8eb44f3af7"
"SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","Rationale for Comparator","NarrativeContent_16","f683ae46-5b23-415b-9348-4f61d92e97f6"
"SECTION 4.2.2","<div></div>","4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","96389f54-3b63-4dd3-80be-8aaaffb4b96a"
"SECTION 4.2.3","<div></div>","4.2.3","Other Trial Design Considerations","NarrativeContent_18","1ac977c2-0f2e-4e81-8a39-1a2e05095504"
"SECTION 4.3","<div></div>","4.3","Access to Trial Intervention After End of Trial","NarrativeContent_19","234064d3-1493-4f35-b669-e640a9cce0b8"
"SECTION 4.4","<div></div>","4.4","Start of Trial and End of Trial","NarrativeContent_20","21fc1eb3-4c21-486d-9df7-a655d8bd596f"
"SECTION 5","<div></div>","5","TRIAL POPULATION","NarrativeContent_21","a818beab-aa77-4d3f-94b5-ee02e02e383f"
"SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","Selection of Trial Population","NarrativeContent_22","56a13064-dd6a-48ae-b6aa-91cf57b96f08"
"SECTION 5.2","<div></div>","5.2","Rationale for Trial Population","NarrativeContent_23","06186b73-96ec-49a7-85c7-e0d98395e6b6"
"SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","5.3","Inclusion Criteria","NarrativeContent_24","92159789-b78a-4de0-84ab-2ed3b87d74d3"
"SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","5.4","Exclusion Criteria","NarrativeContent_25","bc1ecc01-bd52-4f9b-bba5-a10663a73807"
"SECTION 5.5","<div></div>","5.5","Lifestyle Considerations","NarrativeContent_26","5210abb5-e41b-4325-a718-913da5fc3a47"
"SECTION 5.5.1","<div></div>","5.5.1","Meals and Dietary Restrictions","NarrativeContent_27","9a14e8dc-ead4-4764-90ef-45dbe5e2df7e"
"SECTION 5.5.2","<div><p>Not applicable</p></div>","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28","2b5cfe9e-a95a-4a18-a22c-4052ffe359f0"
"SECTION 5.5.3","<div></div>","5.5.3","Physical Activity","NarrativeContent_29","d9fb8d5e-34b0-45d8-b0c9-a6e16cc7f015"
"SECTION 5.5.4","<div></div>","5.5.4","Other Activity","NarrativeContent_30","b32d40d8-e06c-4bd7-ad09-1ea8c003c7b7"
"SECTION 5.6","<div></div>","5.6","Screen Failures","NarrativeContent_31","475721fa-1cdc-4458-94ad-f8d032ceda8a"
"SECTION 6","<div></div>","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32","21e4416d-8ad5-4dbc-b35c-52de25b2d563"
"SECTION 6.1","<div></div>","6.1","Description of Trial Intervention","NarrativeContent_33","f94cbb0a-7217-465b-b7f2-3e32b99ef669"
"SECTION 6.2","<div></div>","6.2","Rationale for Trial Intervention","NarrativeContent_34","0fc423e2-95e4-43a1-a3f2-55358b5e3cdf"
"SECTION 6.3","<div></div>","6.3","Dosing and Administration","NarrativeContent_35","1166a109-ce67-4c0e-87ee-c02bff7bf932"
"SECTION 6.3.1","<div></div>","6.3.1","Trial Intervention Dose Modification","NarrativeContent_36","3a90641c-c1c1-440e-bf0f-80d6a2d382f3"
"SECTION 6.4","<div></div>","6.4","Treatment of Overdose","NarrativeContent_37","71e1670c-6f09-48ae-bbde-60154e0a3eaf"
"SECTION 6.5","<div></div>","6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_38","096a7283-61ec-43ec-a403-e5552a0e9700"
"SECTION 6.5.1","<div></div>","6.5.1","Preparation of Trial Intervention","NarrativeContent_39","34db0179-569e-4ece-aa34-7f2a430ba2f7"
"SECTION 6.5.2","<div></div>","6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_40","2265c965-0663-43a6-9cd7-fca808935398"
"SECTION 6.5.3","<div></div>","6.5.3","Accountability of Trial Intervention","NarrativeContent_41","dd296312-af72-40bc-b1ca-3d979cf3c1a1"
"SECTION 6.6","<div></div>","6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_42","7c0242f8-3943-417b-9809-f841b579f13f"
"SECTION 6.6.1","<div></div>","6.6.1","Participant Assignment","NarrativeContent_43","b698f441-dab6-4b41-9d16-c0d870413813"
"SECTION 6.6.2","<div></div>","6.6.2","Randomisation","NarrativeContent_44","7a3534cc-8924-4494-a34e-5fbc08744457"
"SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","Blinding and Unblinding","NarrativeContent_45","3d50dc5d-0b7a-4de1-aa8b-8459c115245f"
"SECTION 6.7","<div></div>","6.7","Trial Intervention Compliance","NarrativeContent_46","3f8b29b7-0ea6-4491-91e2-92d097cfb347"
