"name","text","label","uuid:ID","id","description"
"ENCOUNTER_START_RULE_1","Subject identifier","","fa8732f9-1ca6-46b6-a1b1-b2315517beb6","TransitionRule_1",""
"ENCOUNTER_START_RULE_1","completion of screening activities","","2d7cf7af-38d1-46ea-a49c-d3f67be26da4","TransitionRule_2",""
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","","0e8a03f8-030b-48e3-aa9a-d64fe0969863","TransitionRule_3",""
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","","44e10681-5b47-400d-8360-ad10e4bdc190","TransitionRule_4",""
"ENCOUNTER_START_RULE_3","Radomized","","5ae14bc6-6cdf-4dc6-ad96-09b1a6b83a97","TransitionRule_5",""
"ENCOUNTER_START_RULE_12","End of treatment","","c4f70862-ec86-43db-a027-3dc935b7b2df","TransitionRule_6",""
"ELEMENT_START_RULE_1","Informed consent","","83d14603-3293-466d-86c3-f0665385359d","TransitionRule_7",""
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","","ed58118c-500a-4abf-adc3-9435c85f199a","TransitionRule_8",""
"ELEMENT_START_RULE_2","Administration of first dose","","d3fec1e6-f504-41da-8ae0-d59ec5b58d60","TransitionRule_9",""
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","","2c7a049c-5d26-4f29-a8f9-06fa9f916dff","TransitionRule_14",""
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","f95f433f-5492-4468-af0e-2ea2ff8d73a6","TransitionRule_15",""
"ELEMENT_START_RULE_3","Administration of first dose","","1acfcb18-24cb-43ff-a946-abe2a7c30f70","TransitionRule_10",""
"ELEMENT_START_RULE_4","Randomized","","5c3e3f07-89f0-46ad-9805-e12f590636e9","TransitionRule_11",""
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","","149c14b3-0655-4d6b-91ab-a63d358e15db","TransitionRule_12",""
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","","aa9e6076-4cf8-4324-83e0-ed4662f08fee","TransitionRule_13",""
