"name","uuid:ID","text","label","id","description"
"ENCOUNTER_START_RULE_1","91cff4c7-a5b5-41b5-ae3b-73676e6a4cb6","Subject identified","","TransitionRule_1",""
"ENCOUNTER_START_RULE_1","f0d5b8db-5188-4047-95bf-39cc28d3f10c","IEs passed","","TransitionRule_2",""
"ENCOUNTER_START_RULE_3","877a0789-8f43-4ed3-9edb-c6f9c7c03341","Radomized","","TransitionRule_3",""
"ELEMENT_START_RULE_1","99caf086-4916-44fb-9d46-17f9e4262514","Study Start","","TransitionRule_4",""
"ELEMENT_END_RULE_1","8305e7de-70e6-4e66-890b-5c3598d2287f","Screened","","TransitionRule_5",""
"ELEMENT_START_RULE_2","aa0a1c8c-6b57-4fa5-8810-a6f1fd0dffc9","Screened","","TransitionRule_6",""
"ELEMENT_END_RULE_2","df07cd02-cf2a-4cfb-a103-50742fd9a151","Radomized","","TransitionRule_7",""
"ELEMENT_START_RULE_3","21f3b5e4-b196-4a55-ba9a-38b6f9d457f1","Radomized","","TransitionRule_8",""
"ELEMENT_END_RULE_3","d7ecd2d3-1c15-4046-ac5b-fbd37bcb625f","Completed treatment 1","","TransitionRule_9",""
"ELEMENT_START_RULE_5","bf591627-8733-430e-a43e-009179516813","Radomized","","TransitionRule_12",""
"ELEMENT_END_RULE_5","0c60e59e-41e2-4669-86dd-7f3c381bc845","Completed treatment 2","","TransitionRule_13",""
"ELEMENT_START_RULE_4","fe675708-4f2a-4797-8c85-7c6ec84a341d","Treated","","TransitionRule_10",""
"ELEMENT_END_RULE_4","51e86675-d0d8-4c16-ba28-0b6c3e66f0a6","Leave Study","","TransitionRule_11",""
