"sectionNumber","name","uuid:ID","text","sectionTitle","id"
"0","ROOT","df815cff-530c-44ae-986a-8f66ad291945","","Root","NarrativeContent_1"
"0","SECTION 0","eed92470-ccd5-4f5f-ada9-0f5d2f6a7174","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","NarrativeContent_2"
"1","SECTION 1","1300c16b-9cff-4d02-ba05-47cffc3337cc","<div></div>","PROTOCOL SUMMARY","NarrativeContent_3"
"1.1","SECTION 1.1","54737652-d59e-4e90-b897-a5a2f2354a8c","<div></div>","Protocol Synopsis","NarrativeContent_4"
"1.2","SECTION 1.2","db983d20-a97f-4f06-9cbd-d6294b2b0647","<div></div>","Trial Schema","NarrativeContent_5"
"1.3","SECTION 1.3","009f2b3a-9cd7-45dc-bc5c-54652d1cc3ed","<div></div>","Schedule of Activities","NarrativeContent_6"
"2","SECTION 2","a5099c48-57e9-44e4-a03f-fe1f24423e9b","<div></div>","INTRODUCTION","NarrativeContent_7"
"2.1","SECTION 2.1","5177dfe6-30c6-4cab-8b90-5293fae92556","<div></div>","Purpose of Trial","NarrativeContent_8"
"2.2","SECTION 2.2","593233be-0717-4f73-bdf8-6e1c9c36bed0","<div></div>","Summary of Benefits and Risks","NarrativeContent_9"
"3","SECTION 3","4515434f-1dc3-4141-8727-a8895c68b84e","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10"
"3.1","SECTION 3.1","80df5230-c28f-4ecc-8bf8-17571107f73d","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","NarrativeContent_11"
"4","SECTION 4","0ca0883e-6f90-4add-9f75-134666ec5b04","<div></div>","TRIAL DESIGN","NarrativeContent_12"
"4.1","SECTION 4.1","068f898b-5226-4b5a-8dc3-0eabbd9cad49","<div></div>","Description of Trial Design","NarrativeContent_13"
"4.1.1","SECTION 4.1.1","7e61aeab-97d5-415f-b8e3-f37c96e3c384","<div></div>","Participant Input into Design","NarrativeContent_14"
"4.2","SECTION 4.2","999a85a3-378e-4d92-9371-093e49cfeb98","<div></div>","Rationale for Trial Design","NarrativeContent_15"
"4.2.1","SECTION 4.2.1","e753c3e1-af00-4ac1-9c59-a78611beec4c","<div></div>","Rationale for Comparator","NarrativeContent_16"
"4.2.2","SECTION 4.2.2","9cf50abd-e0dd-4e5c-8a1a-309a3ae26e6a","<div></div>","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17"
"4.2.3","SECTION 4.2.3","8d69ef00-741b-4079-935c-f6ef49cdabf8","<div></div>","Other Trial Design Considerations","NarrativeContent_18"
"4.3","SECTION 4.3","8a76a1d5-3b9f-4e98-8638-c2521d357dc2","<div></div>","Access to Trial Intervention After End of Trial","NarrativeContent_19"
"4.4","SECTION 4.4","3b9e6848-a27f-4067-bde3-19580d55c57b","<div></div>","Start of Trial and End of Trial","NarrativeContent_20"
"5","SECTION 5","e3253900-7b59-4db7-bb00-7361a6cb04f0","<div></div>","TRIAL POPULATION","NarrativeContent_21"
"5.1","SECTION 5.1","06329ebc-3f14-4abd-bb21-02383d6b43f1","<div></div>","Selection of Trial Population","NarrativeContent_22"
"5.2","SECTION 5.2","3506867f-3546-44db-b9f0-f240421de2c0","<div></div>","Rationale for Trial Population","NarrativeContent_23"
