"codeSystemVersion","decode","codeSystem","instanceType","code","uuid:ID","id"
"2023-12-15","Interventional Study","http://www.cdisc.org","Code","C98388","1a4911e3-03a1-4bd9-8597-62699338bdbb","Code_1"
"2023-12-15","Phase II Trial","http://www.cdisc.org","Code","C15601","881f41d9-506a-4343-9dd8-b7db2eb3bbdd","Code_2"
"2023-12-15","Sponsor Approval Date","http://www.cdisc.org","Code","C132352","46d46fd2-ceb6-4a0f-80ce-4da44fc28397","Code_9"
"2023-12-15","Global","http://www.cdisc.org","Code","C68846","8278e4b1-3a09-472d-8f24-e6cfb4ec85e5","Code_10"
"2023-12-15","IRB/IEC Feedback","http://www.cdisc.org","Code","C99904x3","96d9d8bf-91ca-4b1c-a761-85d078aad59a","Code_72"
"2023-12-15","Other","http://www.cdisc.org","Code","C17649","539dce2b-8bb2-4b7f-874d-87de7714e696","Code_73"
"2023-12-15","Region","http://www.cdisc.org","Code","C41129","a327ddd2-e2e5-454c-ba37-f987874e00aa","Code_75"
"2020-08","Europe","ISO 3166 1 alpha3","Code","150","f50f1d77-f354-47b8-9a64-17340c0fedf3","Code_74"
"12","Eli Lilly","SPONSOR","Code","PHARMA","fa055bb7-1a9f-4aeb-bb8c-6dae47d938c4","Code_4"
"2023-12-15","Clinical Study Sponsor","http://www.cdisc.org","Code","C70793","962a97d4-8b9c-411d-8037-fb68a677c838","Code_76"
"2020-08","United States of America","ISO 3166 1 alpha3","Code","USA","30714c82-52a5-44f2-b90d-5e6475df1886","Code_77"
"2023-12-15","Study Registry","http://www.cdisc.org","Code","C93453","d2e4ce58-0a96-4bfd-99d2-5d093c40191f","Code_78"
"2020-08","United States of America","ISO 3166 1 alpha3","Code","USA","6610f7c5-f23a-401a-a977-47ae998e4bc3","Code_79"
"2023-12-15","Treatment Study","http://www.cdisc.org","Code","C49656","78fc68c2-c08e-4878-8ac7-be2a19954fb8","Code_137"
"2023-12-15","Efficacy Study","http://www.cdisc.org","Code","C49666","dc750e60-1289-42f1-bba6-8337c86c643d","Code_138"
"2023-12-15","Safety Study","http://www.cdisc.org","Code","C49667","e7ed5c1d-c246-49bd-81b6-94304c5efd84","Code_139"
"2023-12-15","Pharmacokinetic Study","http://www.cdisc.org","Code","C49663","88af2ade-d787-4e32-85e8-6407b6870d4e","Code_140"
"12","Mild to Moderate Alzheimer's Disease","SPONSOR","Code","MILD_MOD_ALZ","f725df9b-3cec-4c0c-b0e0-223c7006522f","Code_134"
"January 31, 2018","Alzheimer's disease","SNOMED","Code","26929004","0cbba6ac-ee81-4a15-90f1-ce814b05881a","Code_135"
"2023-12-15","EXTENSION","http://www.cdisc.org","Code","C99907x1","d17a2dde-22f0-440d-a31a-0f061df9f513","Code_143"
"2023-12-15","ADAPTIVE","http://www.cdisc.org","Code","C98704","cb51effb-e0ec-4aa6-876e-f42212637db5","Code_144"
"2023-12-15","Parallel Study","http://www.cdisc.org","Code","C82639","026d3358-8968-4f23-b836-6d76d6ca9d63","Code_141"
"2023-12-15","Visit","http://www.cdisc.org","Code","C25716","35712c69-fe76-41ea-8169-c507c9caaf0a","Code_83"
"2023-12-15","Clinic","http://www.cdisc.org","Code","C51282","c3359a74-bc8d-4c17-b1f0-29f913a83480","Code_84"
"2023-12-15","In Person","http://www.cdisc.org","Code","C175574","d5a81d03-2495-45b7-ac22-3b3afaa37285","Code_85"
"2023-12-15","Visit","http://www.cdisc.org","Code","C25716","c78a00de-e256-4613-90c8-16ebc7d9f9ae","Code_86"
"2023-12-15","Clinic","http://www.cdisc.org","Code","C51282","919c4da6-6c0b-4f01-bc5f-8189bbfbaee2","Code_87"
"2023-12-15","In Person","http://www.cdisc.org","Code","C175574","7a73476d-eecf-46a6-951d-98d2fb88926a","Code_88"
"2023-12-15","Visit","http://www.cdisc.org","Code","C25716","9794f559-13cd-4c31-a753-b37aace67cc0","Code_89"
"2023-12-15","Clinic","http://www.cdisc.org","Code","C51282","935b28a9-46dd-429f-a629-4f165da3b79f","Code_90"
"2023-12-15","In Person","http://www.cdisc.org","Code","C175574","974a6101-f90b-418f-88d0-e74c687976f1","Code_91"
"2023-12-15","Visit","http://www.cdisc.org","Code","C25716","adb66906-2d24-439a-be17-6ea622264268","Code_92"
"2023-12-15","Clinic","http://www.cdisc.org","Code","C51282","057e4f3f-e67d-44a9-9ed5-698fe00c625d","Code_93"
"2023-12-15","In Person","http://www.cdisc.org","Code","C175574","f39d450b-aa4e-42c8-991c-e0f322db64f7","Code_94"
"2023-12-15","Visit","http://www.cdisc.org","Code","C25716","9afea939-d197-48ac-81fc-f772caed5dc3","Code_95"
"2023-12-15","Clinic","http://www.cdisc.org","Code","C51282","092acc75-35e3-42e3-91d5-f8c811e249b1","Code_96"
"2023-12-15","In Person","http://www.cdisc.org","Code","C175574","3e7ff1f4-dcf0-493a-a4eb-82fc483a95f2","Code_97"
"2023-12-15","Visit","http://www.cdisc.org","Code","C25716","1dc5875b-8357-4172-b2f3-1a9428d3b70f","Code_98"
"2023-12-15","Clinic","http://www.cdisc.org","Code","C51282","8c9d3edd-f9aa-44bf-98be-a2a1f2babdd7","Code_99"
"2023-12-15","In Person","http://www.cdisc.org","Code","C175574","009eeca4-556d-4a35-8bfe-e2d79f042e3f","Code_100"
