"instanceType","description","label","name","uuid:ID","id"
"Encounter","Screening encounter","Screening 1","E1","daaf007a-5d97-40fb-92df-c709ff89c7f3","Encounter_1"
"Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2","E2","d9750105-b160-4b25-be15-f4bcf0449fd5","Encounter_2"
"Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline","E3","1d3ae930-eda7-4701-941a-9d197cdb3218","Encounter_3"
"Encounter","Day 14","Week 2","E4","d34e0155-091c-4e33-888d-3c0b194f795c","Encounter_4"
"Encounter","Day 28","Week 4","E5","1c9d27ca-739b-4706-a6ca-a8fac0752c31","Encounter_5"
"Encounter","Day 42","Week 6","E7","3181ba01-e1fa-412a-bf92-2ceaf3e95899","Encounter_6"
"Encounter","Day 56","Week 8","E8","05df00cc-73f7-4c2c-b2df-7b141b0a2782","Encounter_7"
"Encounter","Day 84","Week 12","E9","82fe86ab-d75b-4d28-b334-45257dcc3811","Encounter_8"
"Encounter","Day 112","Week 16","E10","8d2deb43-f73a-483b-bc65-af0629425fad","Encounter_9"
"Encounter","Day 140","Week 20","E11","9a65f679-9e9e-44bd-8bdb-a6531c04f857","Encounter_10"
"Encounter","Day 168","Week 24","E12","4def0c85-95c5-4c1d-b511-8417fc013abb","Encounter_11"
"Encounter","Day 182","Week 26","E13","cacfd147-4000-4e24-99ce-c37a1e8b4e5c","Encounter_12"
