"windowLower","instanceType","valueLabel","description","windowLabel","value","windowUpper","label","name","uuid:ID","id"
"","Timing","2 weeks","Screening timing","","P2W","","Screening","TIM1","ace0a317-12ac-4cd1-8265-0798cd2b97d6","Timing_1"
"PT4H","Timing","2 days","Pre dose timing","-4..0 hours","P2D","PT0H","Pre dose","TIM2","720c5d95-6975-4689-a0fd-5c555e4193db","Timing_2"
"","Timing","1 Day","Dosing anchor","","P1D","","Dosing","TIM3","06cf266a-4154-44df-9190-3a10dd6d1210","Timing_3"
"P3D","Timing","2 Weeks","Week 2 timing","-3..3 days","P2W","P3D","Week 2","TIM4","d78bc775-f10a-4e1c-8a06-d8e7d690e081","Timing_4"
"P3D","Timing","4 Weeks","Week 4 timing","-3..3 days","P4W","P3D","Week 4","TIM5","91f4578c-f382-436c-9936-b3ebce6e6d9b","Timing_5"
"P3D","Timing","6 Weeks","Week 6 timing","-3..3 days","P6W","P3D","Week 6","TIM6","1b112aa4-584f-41cf-bd4f-70fa0081687b","Timing_6"
"P3D","Timing","8 Weeks","Week 8 timing","-3..3 days","P8W","P3D","Week 8","TIM7","738c4565-68bf-494a-8bb9-f7177911e24c","Timing_7"
"P4D","Timing","12 Weeks","Week 12 timing","-4..4 days","P12W","P4D","Week 12","TIM9","66e927be-cfbe-412a-aed4-8f5d1e10f4a8","Timing_9"
"P4D","Timing","16 Weeks","Week 16 timing","-4..4 days","P16W","P4D","Week 16","TIM11","1b49b224-c2f5-4e56-a407-bad151a85d3a","Timing_11"
"P4D","Timing","20 Weeks","Week 20 timing","-4..4 days","P20W","P4D","Week 20","TIM13","04e8ab5f-7770-4055-b717-aa09ba4eec8b","Timing_13"
"P4D","Timing","24 Weeks","Week 24 timing","-4..4 days","P24W","P4D","Week 24","TIM15","99dcdfc6-8fa8-41c5-bb03-9f82b603fb6b","Timing_15"
"P3D","Timing","26 Weeks","Week 26 timing","-3..3 days","P26W","P3D","Week 26","TIM16","ae4071b0-e514-43f5-aaa7-21f180f5e15c","Timing_16"
"","Timing","2 Weeks","Week 8 at home timing","","P2W","","Week 8 Home","TIM8","e93a1f84-3cfc-44d1-9f5c-dde8b80befd0","Timing_8"
"","Timing","2 Weeks","Week 12 at home timing","","P2W","","Week 12 Home","TIM10","c02d7d9f-69b1-47b9-9a1e-6f6c32c9ea73","Timing_10"
"","Timing","2 Weeks","Week 16 at home timing","","P2W","","Week 16 Home","TIM12","99db4c0b-b31e-446d-83cf-1e525a09bcf9","Timing_12"
"","Timing","2 Weeks","Week 20 at home timing","","P2W","","Week 20 Home","TIM14","5c33df42-3b2a-44b0-baf6-d6e5b9c297f1","Timing_14"
"","Timing","1 Day","Adverse Event","","P1D","","Adverse Event","TIM17","0129a874-e40b-4f85-98b3-134294f60e9d","Timing_17"
"","Timing","1 Day","Early Termination","","P1D","","Early Termination","TIM18","77759b53-1c20-4f28-8db7-eaa73f868a05","Timing_18"
"","Timing","0 mins","Supine","","PT0M","","Supine","TIM19","913aeaee-da7a-42db-9345-2ca518ff9184","Timing_19"
"","Timing","5 mins","VS while supine","","PT5M","","VS while supine","TIM20","9802044d-6990-4786-9a2f-6f490e4d8ed1","Timing_20"
"","Timing","0 min","Standing","","PT0M","","Standing","TIM21","664cd4a6-c3ff-4953-80cd-c4ccc6c25342","Timing_21"
"","Timing","1 min","VS while standing","","PT1M","","VS while standing","TIM22","6213c8cb-222b-4cac-be79-dd02e03ef452","Timing_22"
"","Timing","0 min","Standing","","PT0M","","Standing","TIM23","be016aeb-370b-46ec-8dac-69dea6cd10ea","Timing_23"
"","Timing","2 min","VS while standing","","PT2M","","VS while standing","TIM24","008030c4-0100-4098-9db2-a4b5fcf38706","Timing_24"
