"synonyms","instanceType","reference","label","name","uuid:ID","id"
"['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","Informed Consent Obtained","7ad512a2-0736-4415-89ae-bc43669d470b","BiomedicalConcept_20"
"","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","Sex","409597c3-d456-47b5-a232-44caa38d503f","BiomedicalConcept_21"
"['Racial Group']","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","Race","d4871708-f00b-45fa-9bea-f9cc2525311f","BiomedicalConcept_22"
"['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","Temperature","f3dfa8e8-7e03-4365-a74f-b0d36e021ca1","BiomedicalConcept_23"
"['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","Weight","4b41b1eb-5c2b-432a-bb34-24a7c7d70488","BiomedicalConcept_24"
"['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","Height","278ada17-1110-48ac-9580-2622d6de0be7","BiomedicalConcept_25"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","446afb8f-c8ff-4515-a195-5f5d0c229ffd","BiomedicalConcept_26"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","Albumin Presence in Urine","be35d1bb-9440-42cd-9dbc-e30ce1e660e4","BiomedicalConcept_27"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","7d3b19e8-94df-46e9-bb68-749a8e2da86d","BiomedicalConcept_28"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","15685ece-59a4-4d52-9a74-5cecba6c27f4","BiomedicalConcept_29"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","Creatinine Concentration in Urine","c19f2834-6c5e-4bbe-9fd7-458d9f254c95","BiomedicalConcept_30"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","Potassium Concentration in Urine","c58de794-cc54-48ef-a8b9-ad63a37ef5ae","BiomedicalConcept_31"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","Sodium Concentration in Urine","adffed16-ddfc-46c5-ae66-0aa93e64e291","BiomedicalConcept_32"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","9949cf48-acae-4e87-8824-e6a64876afa8","BiomedicalConcept_33"
"['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","Adverse Event Prespecified","7b15c4eb-e136-42b7-872e-94f6ce5fb992","BiomedicalConcept_1"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","20eb0d7f-56de-420b-9f6b-a554d98bf855","BiomedicalConcept_2"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","a82e51b0-9dfc-4f85-a458-1723615b54ff","BiomedicalConcept_3"
"['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","Temperature","6b87a86b-f7cf-4284-aa96-5b1cfd98e50b","BiomedicalConcept_4"
"['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","Weight","4f4dbfce-22e8-4295-8752-a0383b794e8d","BiomedicalConcept_5"
"['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","Height","3f6fd405-46e2-410b-8a13-4c4f376dd5f8","BiomedicalConcept_6"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","a8af6899-5499-46ee-b89a-80f8f3d03e44","BiomedicalConcept_7"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","Albumin Presence in Urine","9c395d4b-3567-47a3-be21-907394028acd","BiomedicalConcept_8"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","0db273a3-f151-4c14-aca8-d56c49e3946d","BiomedicalConcept_9"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","705ec864-6e4f-407d-8504-940d41fd2e00","BiomedicalConcept_10"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","Creatinine Concentration in Urine","bdc4868e-4eda-4b31-b3e0-045c295afceb","BiomedicalConcept_11"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","Potassium Concentration in Urine","88896460-4459-4958-8717-6989978fae3f","BiomedicalConcept_12"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","Sodium Concentration in Urine","f96c2a42-149d-44b4-8da3-d56b9d468791","BiomedicalConcept_13"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","Systolic Blood Pressure","f5622dca-390a-44a2-96da-f55acbd6287c","BiomedicalConcept_14"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","Diastolic Blood Pressure","8681ba0c-e797-49d8-bb70-65f2924e1478","BiomedicalConcept_15"
"['Heart Rate']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","Heart Rate","ca00fd41-819e-4bce-aff8-f5c449d3e307","BiomedicalConcept_16"
