"instanceType","description","label","name","uuid:ID","id"
"ScheduledActivityInstance","-","Screen One","SCREEN1","309c68ef-10b2-43e5-937b-58a246bd5857","ScheduledActivityInstance_9"
"ScheduledActivityInstance","-","Screen Two","SCREEN2","ba9826e2-544c-445f-8a53-db4169469e03","ScheduledActivityInstance_10"
"ScheduledActivityInstance","-","Dose","DOSE","555b82f3-f0d2-4503-9d28-82b7178342b5","ScheduledActivityInstance_11"
"ScheduledActivityInstance","-","Week 2","WK2","306ee4ae-46e4-48f5-a4ef-30d0e5561ec3","ScheduledActivityInstance_12"
"ScheduledActivityInstance","-","Week 4","WK4","aff1b5d1-3c7e-44a8-ada6-3462954df494","ScheduledActivityInstance_13"
"ScheduledActivityInstance","-","Week 6","WK6","526a85d5-c463-40fd-839e-f8c99c38f1d2","ScheduledActivityInstance_14"
"ScheduledActivityInstance","-","Week 8","WK8","c821fe5b-2266-40f9-9b24-3703f530c52d","ScheduledActivityInstance_15"
"ScheduledActivityInstance","-","Week NPI","WK8N","8a6372a4-9bcc-4489-8bdf-14275422feec","ScheduledActivityInstance_16"
"ScheduledActivityInstance","-","Week 12","WK12","480a8aec-1686-4252-a151-eb696bdab7ec","ScheduledActivityInstance_17"
"ScheduledActivityInstance","-","Week 12 NPI","WK12N","2c683196-2c19-4b43-b935-fbe56d4daefe","ScheduledActivityInstance_18"
"ScheduledActivityInstance","-","Week 16","WK16","e38cd72e-e805-4b74-bfdc-eab69708dc0d","ScheduledActivityInstance_19"
"ScheduledActivityInstance","-","Week 16 NPI","WK16N","f583ad71-36ce-449c-99ed-7c85a73778e6","ScheduledActivityInstance_20"
"ScheduledActivityInstance","-","Week 20","WK20","62028eb4-7b0c-494d-9e29-0d599fc47a88","ScheduledActivityInstance_21"
"ScheduledActivityInstance","-","Week 20 NPI","WK20N","c1e0b0a7-3694-474f-9ddf-41aa48338571","ScheduledActivityInstance_22"
"ScheduledActivityInstance","-","Week 24","WK24","75e90063-1c7b-41f7-9a1b-632a99f1215b","ScheduledActivityInstance_23"
"ScheduledActivityInstance","-","Week 26","WK26","29e1ebfd-9e72-437b-95d7-419bb59de781","ScheduledActivityInstance_24"
"ScheduledActivityInstance","-","Adevers Event","AE","fd600cd1-74ef-4eaa-b5b3-a86df29f3bec","ScheduledActivityInstance_1"
"ScheduledActivityInstance","-","Early Termination","ET","ee23bf06-78a6-46d5-b485-2428dc344b6e","ScheduledActivityInstance_2"
"ScheduledActivityInstance","","5 minute supine","VS_5MIN","e0fdd1f0-886f-4343-a6ee-ef46c1ca1454","ScheduledActivityInstance_3"
"ScheduledActivityInstance","","Vital signs supine","VS_SUPINE","0c0f5d6f-f4b4-4f67-ba0d-be2b5b3f48a3","ScheduledActivityInstance_4"
"ScheduledActivityInstance","","1 minute standing","VS_1MIN","88aa939e-e980-4b8d-8e78-a96330e51e23","ScheduledActivityInstance_5"
"ScheduledActivityInstance","","Vital signs after 1 min standing","VS_STAND1","5701162b-4af4-411d-b09b-23d90b855c57","ScheduledActivityInstance_6"
"ScheduledActivityInstance","","2 minute standing","VS_2MIN","ad793187-f56c-4830-aa24-e457b2dfd41b","ScheduledActivityInstance_7"
"ScheduledActivityInstance","","Vital signs after 3 min standing","VS_STAND3","6b930a7d-3b13-4017-be40-3441835a57b8","ScheduledActivityInstance_8"
