"instanceType","name","reference","uuid:ID","label","synonyms","id"
"BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","3b6061d2-67f0-4363-9f74-1015dbbfa187","Body Temperature","['Temperature']","BiomedicalConcept_20"
"BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","e8b2e3a0-de09-4e3d-8396-326ca027ff0d","Body Weight","['Weight']","BiomedicalConcept_21"
"BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","58214aea-f53c-4f95-bdbc-2205c2d0cc93","Body Height","['Height']","BiomedicalConcept_22"
"BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","34222e47-7cb1-4345-8ce5-1f1caafefeb9","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_23"
"BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","1dd38f93-68a2-4252-89c6-1651899253c8","Albumin Measurement","['Albumin']","BiomedicalConcept_24"
"BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","6cff6344-94c0-4173-a43c-d0db9e4a070e","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_25"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","32e8451d-a977-41ab-8040-4c5f20939fc3","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_26"
"BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","84626bc3-aa5a-47d4-83f6-7530673db5bf","Creatinine Measurement","['Creatinine']","BiomedicalConcept_27"
"BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","b8b39745-d7d8-47bc-9fc3-2bffe604efce","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_28"
"BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","4467d279-e1ac-4e2d-8446-0facdc81225f","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_29"
"BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","bc3c6bac-5f00-4bfd-9070-b9ec024a93ca","Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","fb3b8231-66fa-4eb0-b2a6-220474d320d2","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","8e36ffd1-ab2d-4379-aed5-d1366effec50","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3"
"BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","979800f5-5153-4677-933c-558d4c3c3ac4","Body Temperature","['Temperature']","BiomedicalConcept_4"
"BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","529f54d2-2aa1-4e3e-861e-36eea7020ecd","Body Weight","['Weight']","BiomedicalConcept_5"
"BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","e805392d-fbef-4af9-b6b8-d74a81b261e7","Body Height","['Height']","BiomedicalConcept_6"
"BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","9f3de951-6e5b-4d49-9326-ffc45e8af502","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7"
"BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","f0bfad2f-7151-4d68-ac8b-320c6365cfb7","Albumin Measurement","['Albumin']","BiomedicalConcept_8"
"BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","eddc74b3-5488-48ca-aec8-e61c2a6bd523","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","1aaff708-7704-4808-a7cf-0c4a4d302e9c","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_10"
"BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","58b3c13c-8e6a-48c7-9579-14bc1537a09a","Creatinine Measurement","['Creatinine']","BiomedicalConcept_11"
"BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","4680f34c-1967-4d07-bc14-50736ed426ff","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_12"
"BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","5de986b7-b473-4f94-be0c-7c9266964d90","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_13"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","22647a0d-8af3-428b-a142-972e828e3cfa","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_14"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","6324c770-2975-422d-93a7-a69898ea1290","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_15"
"BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","8de62756-2f1f-48ec-a653-a2dc4a89f06b","Heart Rate","","BiomedicalConcept_16"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","47a26097-7863-47ae-9125-a720183a4f4e","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_17"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","e6390b7f-9108-4533-b97f-52a8a98170e6","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_18"
"BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","2a69bf5b-00bf-482c-99ea-00e9dddcf460","Heart Rate","","BiomedicalConcept_19"
