"instanceType","codeSystem","uuid:ID","code","id","codeSystemVersion","decode"
"Code","http://www.cdisc.org","567c35e8-2594-41b5-9fe9-4a22dbe4171d","C98388","Code_1","2023-09-29","Interventional Study"
"Code","http://www.cdisc.org","93f9efcb-aad9-4f37-b7f9-ec4b330505f6","C15601","Code_2","2023-09-29","Phase II Trial"
"Code","http://www.cdisc.org","1ab91d0f-cbec-42c9-a685-78b6074c3436","C132352","Code_9","2023-09-29","Sponsor Approval Date"
"Code","http://www.cdisc.org","a482c724-ac1d-4046-b36f-6e36121cd0e9","C68846","Code_10","2023-09-29","Global"
"Code","http://www.cdisc.org","41f76ae5-d261-48d2-ad1c-f312aa0b3ca9","C99904x3","Code_72","2023-09-29","IRB/IEC Feedback"
"Code","http://www.cdisc.org","1e81e99b-e1bc-4f19-80b8-429974ed7133","C17649","Code_73","2023-09-29","Other"
"Code","http://www.cdisc.org","61627abd-d6db-41db-8f1c-ccd1c56b41c7","C41129","Code_75","2023-09-29","Region"
"Code","ISO 3166 1 alpha3","9007f2d1-71cb-4561-a28c-b282d07bc3eb","150","Code_74","2020-08","Europe"
"Code","SPONSOR","0c90f2f2-0446-4100-ac2d-97e0241af179","PHARMA","Code_4","12","Eli Lilly"
"Code","http://www.cdisc.org","eec207e2-a715-4cb8-8020-d3b358ff468c","C70793","Code_76","2023-09-29","Clinical Study Sponsor"
"Code","ISO 3166 1 alpha3","66e867c3-21e2-487f-8fc3-0c64c63c8fb3","DNK","Code_77","2020-08","Denmark"
"Code","http://www.cdisc.org","5b685543-03ac-4158-8fb7-62132a627c05","C93453","Code_78","2023-09-29","Study Registry"
"Code","http://www.cdisc.org","b6160d47-e4a2-44b5-9915-ce65fb21710c","C49656","Code_136","2023-09-29","Treatment Study"
"Code","http://www.cdisc.org","501d52df-693c-461c-abfc-a0f4cb394568","C49666","Code_137","2023-09-29","Efficacy Study"
"Code","http://www.cdisc.org","f3316e9e-8f41-4e8b-abb6-db4c066b37d5","C49667","Code_138","2023-09-29","Safety Study"
"Code","http://www.cdisc.org","c2322b83-c6b8-484c-bfcc-3534a2e20b24","C49663","Code_139","2023-09-29","Pharmacokinetic Study"
"Code","SPONSOR","28f0c535-c3dc-4dd3-81ce-9f8797b67f83","MILD_MOD_ALZ","Code_133","12","Mild to Moderate Alzheimer's Disease"
"Code","SNOMED","d8c387d8-d6f6-4f02-a029-c4565a046fdd","26929004","Code_134","January 31, 2018","Alzheimer's disease"
"Code","http://www.cdisc.org","e9360279-5487-4a9d-b94a-5a0c54e76aeb","C99907x1","Code_142","2023-09-29","EXTENSION"
"Code","http://www.cdisc.org","cfb6ed10-0db8-4c2b-8a79-2ea96afa32be","C98704","Code_143","2023-09-29","ADAPTIVE"
"Code","http://www.cdisc.org","050db84b-f1e0-4ed2-9b65-5b5bb459060d","C82639","Code_140","2023-09-29","Parallel Study"
"Code","http://www.cdisc.org","dfbbc83c-bc5c-4239-8ea9-313342fbfef8","C25716","Code_82","2023-09-29","Visit"
"Code","http://www.cdisc.org","972b5cc2-c862-4260-82dd-df41c66abd41","C51282","Code_83","2023-09-29","Clinic"
"Code","http://www.cdisc.org","1f8a1d4f-4000-4626-9d8f-7bba48ff0c76","C175574","Code_84","2023-09-29","In Person"
"Code","http://www.cdisc.org","673bc2ca-eb4a-499a-9096-45d88eb9f45b","C25716","Code_85","2023-09-29","Visit"
"Code","http://www.cdisc.org","38f37091-2e33-4892-a229-c99739f2e3ae","C51282","Code_86","2023-09-29","Clinic"
"Code","http://www.cdisc.org","23c7fcde-b401-45d5-bd00-137cc79d74d4","C175574","Code_87","2023-09-29","In Person"
"Code","http://www.cdisc.org","f9385017-b287-4690-9796-45fe06dc9381","C25716","Code_88","2023-09-29","Visit"
"Code","http://www.cdisc.org","53fe466b-2e26-4932-92be-65f57f74e0c9","C51282","Code_89","2023-09-29","Clinic"
"Code","http://www.cdisc.org","4c9246b6-53f3-4b2b-a16c-c8dbae2da522","C175574","Code_90","2023-09-29","In Person"
"Code","http://www.cdisc.org","3eeed799-1f13-4198-9154-bb343ebed78d","C25716","Code_91","2023-09-29","Visit"
"Code","http://www.cdisc.org","dc923c6c-4ce6-4ee4-96d4-db2bd6d98925","C51282","Code_92","2023-09-29","Clinic"
"Code","http://www.cdisc.org","965de8ff-e7f7-4ae4-8859-05bf7ff083c2","C175574","Code_93","2023-09-29","In Person"
"Code","http://www.cdisc.org","7f5b62f3-e946-45cf-98f9-a4657db0ab8d","C25716","Code_94","2023-09-29","Visit"
"Code","http://www.cdisc.org","ab37522c-cbdb-44b9-a687-0917bb6597c1","C51282","Code_95","2023-09-29","Clinic"
"Code","http://www.cdisc.org","345e3b12-1665-4ba4-88e3-244a002849b3","C175574","Code_96","2023-09-29","In Person"
"Code","http://www.cdisc.org","6b3f68fe-16ce-4d45-8c45-de6d224d1399","C25716","Code_97","2023-09-29","Visit"
"Code","http://www.cdisc.org","278804e7-1d0c-45fb-9e23-643ca5653991","C51282","Code_98","2023-09-29","Clinic"
"Code","http://www.cdisc.org","ec269f57-e3b9-496d-b047-d82fc5b4b464","C175574","Code_99","2023-09-29","In Person"
"Code","http://www.cdisc.org","608c2712-bd7e-4a82-baa3-6f152be0d6c8","C25716","Code_100","2023-09-29","Visit"
"Code","http://www.cdisc.org","814b4a67-11c8-4c09-83df-1cdbd377d027","C51282","Code_101","2023-09-29","Clinic"
"Code","http://www.cdisc.org","63b750c9-a462-4be0-bffa-b0d88f484ca6","C175574","Code_102","2023-09-29","In Person"
"Code","http://www.cdisc.org","45520b42-6c7f-4ff4-a624-06231c6ba27d","C171537","Code_103","2023-09-29","Telephone Call"
"Code","http://www.cdisc.org","8a4c39e2-948a-4453-9fee-f0dd27da1ae5","C25716","Code_104","2023-09-29","Visit"
"Code","http://www.cdisc.org","80589f07-ad1b-4195-a22c-fca751621a08","C51282","Code_105","2023-09-29","Clinic"
"Code","http://www.cdisc.org","886d5dd2-a789-464d-95e3-20f89adcc097","C175574","Code_106","2023-09-29","In Person"
"Code","http://www.cdisc.org","98e21c3f-0809-4e2e-ad13-b32db3ecc076","C171537","Code_107","2023-09-29","Telephone Call"
"Code","http://www.cdisc.org","34d016a2-8126-410c-b0e4-dff27e1195f5","C25716","Code_108","2023-09-29","Visit"
"Code","http://www.cdisc.org","0b32acee-abc3-4456-bb6b-b1ca03d953f5","C51282","Code_109","2023-09-29","Clinic"
"Code","http://www.cdisc.org","c49f8d6c-44c0-413e-98a0-01239841335f","C175574","Code_110","2023-09-29","In Person"
"Code","http://www.cdisc.org","124b68da-985f-4cab-8d6b-4575bb559324","C171537","Code_111","2023-09-29","Telephone Call"
"Code","http://www.cdisc.org","d56ac111-36f9-4eb6-831f-30e21d76806d","C25716","Code_112","2023-09-29","Visit"
"Code","http://www.cdisc.org","c594f58a-a2cd-4e97-996f-72643bd949ee","C51282","Code_113","2023-09-29","Clinic"
"Code","http://www.cdisc.org","be2e04d6-d193-4774-9dfa-b36493263ff9","C175574","Code_114","2023-09-29","In Person"
"Code","http://www.cdisc.org","dedf78f2-a0da-4cc9-ac7c-066a0fe78382","C171537","Code_115","2023-09-29","Telephone Call"
"Code","http://www.cdisc.org","f29cb6f8-c8f6-41e0-8e9b-22be09b28c32","C25716","Code_116","2023-09-29","Visit"
"Code","http://www.cdisc.org","926a24dd-0587-4c58-b650-a0f8d28f289e","C51282","Code_117","2023-09-29","Clinic"
"Code","http://www.cdisc.org","04536cc6-7911-4c4f-81b9-ae9b14e79e25","C175574","Code_118","2023-09-29","In Person"
"Code","http://www.cdisc.org","6c2df4d8-bc8c-4c7b-bbb5-039b94f76c1a","C25716","Code_119","2023-09-29","Visit"
"Code","http://www.cdisc.org","be2104ce-14a8-4cdc-a909-c1523b859207","C51282","Code_120","2023-09-29","Clinic"
"Code","http://www.cdisc.org","f02fa1c8-7c25-4b04-ae0e-574c358e9e6b","C175574","Code_121","2023-09-29","In Person"
"Code","SNOMED","a60df76a-8146-4281-aeeb-72c2143915b2","383371000119108","Code_79","January 31, 2018","CT of head without contrast"
"Code","SPONSOR","5646e556-3a30-476a-9d9b-fc4577933129","123","Code_80","12","Subject Supine"
"Code","SPONSOR","c6d1e9ab-e7f5-4f73-975d-a5ee4d95b061","124","Code_81","12","Subject Standing"
"Code","NCI Thesaurus","26f78d3a-a8c3-4567-a29d-b541fbb2f660","C173522","Code_278","","Vital Signs Result"
"Code","http://www.cdisc.org","972cbd2d-4e3f-4692-a04a-03f809aee3f4","C42537","Code_279","2023-09-29","Kelvin"
"Code","NCI Thesaurus","e97ea7d1-dca0-4905-8ac6-279a4a9b1f5e","C44276","Code_280","","Unit of Temperature"
"Code","NCI Thesaurus","57e900e9-3125-4bf7-81a4-20ddc8c8a92e","C83088","Code_281","","Vital Signs Location"
"Code","NCI Thesaurus","2379f0b2-9213-48de-ab5e-f92ddba9c4a6","C174446","Code_277","","Body Temperature"
"Code","NCI Thesaurus","0918b2fe-18ad-4023-a6c5-2d2abb57f067","C173522","Code_283","","Vital Signs Result"
"Code","http://www.cdisc.org","110f68d2-993b-44a6-b228-701d67aa5137","C28252","Code_284","2023-09-29","Kilogram"
"Code","http://www.cdisc.org","e62e5a30-a07c-4a4d-8acd-22f623095a87","C48155","Code_285","2023-09-29","Gram"
"Code","http://www.cdisc.org","70bb8a07-5235-4ba6-a97b-ce09457b080a","C48531","Code_286","2023-09-29","Pound"
"Code","NCI Thesaurus","ac5663a9-b8c4-4666-8792-338516a0be68","C48208","Code_287","","Unit of Weight"
"Code","NCI Thesaurus","cad0489f-c5ca-40d0-bab8-ccaf3ee93e56","C81328","Code_282","","Body Weight"
"Code","NCI Thesaurus","a8ffdc51-c785-4f96-802d-60f4b2a2998d","C173522","Code_289","","Vital Signs Result"
"Code","http://www.cdisc.org","60738bac-dab0-46db-a75f-c282360157a9","C49668","Code_290","2023-09-29","Centimeter"
"Code","http://www.cdisc.org","792a7516-fd42-4da5-ba42-aa7a1d98a181","C48500","Code_291","2023-09-29","Inch"
"Code","http://www.cdisc.org","74612029-234d-490d-af71-858b1f863263","C28251","Code_292","2023-09-29","Millimeter"
"Code","http://www.cdisc.org","f517e0a0-1268-4b5e-a35e-069646b38447","C41139","Code_293","2023-09-29","Meter"
"Code","NCI Thesaurus","95adc5be-4fc9-41de-905d-a4a4fd13e618","C168688","Code_294","","Unit of Height"
"Code","NCI Thesaurus","1358129f-c39f-4f11-af7a-339c1f1e1411","C164634","Code_288","","Body Height"
"Code","NCI Thesaurus","40465188-f486-47bb-a1ff-7f350f9ecca8","C36292","Code_296","","Laboratory Test Result"
"Code","NCI Thesaurus","52a2aa43-c8a5-4005-8dd1-a437555bdda9","C83309","Code_297","","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","a6dfd0e5-0de4-4ea8-8d07-785a2cf2fde1","C67365","Code_298","","Unit of Catalytic Activity Concentration"
"Code","NCI Thesaurus","a2e5d307-7dbd-41fc-a1fe-1ed76160dcc9","C70713","Code_299","","Biospecimen Type"
"Code","NCI Thesaurus","c6b91fbc-7b99-4958-a158-5716a374b82f","C64433","Code_295","","Alanine Aminotransferase Measurement"
"Code","NCI Thesaurus","4be595d7-17d0-4df4-a9d8-65fefcf5416e","C36292","Code_301","","Laboratory Test Result"
"Code","NCI Thesaurus","733ed1e5-e89f-4a83-9b13-9a93cf28b60e","C83309","Code_302","","Laboratory Test Fasting Status"
"Code","NCI Thesaurus","63b758bb-a50d-4ad5-8658-32709fdd1b61","C48207","Code_303","","Unit of Concentration"
