"instanceType","name","uuid:ID","description","label","id"
"Activity","Informed consent","e26d94e0-d042-4e6b-8836-83380db7901a","","","Activity_1"
"Activity","Inclusion/exclusion criteria","c3282b63-cc90-455b-b902-c18001887ea9","","","Activity_2"
"Activity","Patient number assigned","dc0c71de-4b23-4ada-9698-bcd4e09065cd","","","Activity_3"
"Activity","Demographics","61e4e318-054e-4ee1-bc6b-92ce21bcd1bf","","Demographics","Activity_4"
"Activity","Hachinski","9c9bb3e4-838f-4e69-bf8e-8c6cfbe5a7d3","","Hachinski","Activity_5"
"Activity","MMSE","fb7e0fef-3af6-4b59-a58e-eaf95d7c13aa","","MMSE","Activity_6"
"Activity","Physical examination","29c281b1-83e7-42f2-ae15-1b28baa4b0ba","","","Activity_7"
"Activity","Medical history","37070f03-a727-4f0d-b6b7-36bd9c0e326f","","","Activity_8"
"Activity","Habits","775849b1-82cd-4f17-b087-8a0bee2f95e7","","","Activity_9"
"Activity","Chest X-ray","ff49c177-c932-4209-9da0-891d336cd48c","","","Activity_10"
"Activity","Apo E genotyping","e3f8a0c8-0a5e-4731-9454-b79dfd12863f","","","Activity_11"
"Activity","Patient randomised","4c4441f4-5a35-4bdf-ae77-53ec90289be9","","","Activity_12"
"Activity","Vital signs / Temperature","2d2ec31e-89d3-47a6-94ea-48d106c87fe1","","Vital Signs and Temperature","Activity_13"
"Activity","Ambulatory ECG placed","3df8e36f-ef88-4f9c-9741-d8bcb54dbac5","","","Activity_14"
"Activity","Ambulatory ECG removed","b73c8dc0-51c7-4080-9f91-4c555e8e84bc","","","Activity_15"
"Activity","ECG","817c7430-1767-4e34-bcdd-222bcdc1c0e2","","","Activity_16"
"Activity","Placebo TTS test","2616c259-2fe5-49ec-9563-e9fce9a5a1c8","","","Activity_17"
"Activity","CT scan","09c08988-95b5-4565-8cf6-5b52cc5e2e2a","","","Activity_18"
"Activity","Concomitant medications","f8292467-301b-4c02-8e20-9a2f09d41160","","","Activity_19"
"Activity","Hematology","8b9be110-00d7-4519-9759-7d77d3256bb1","","","Activity_20"
"Activity","Chemistry","e0f3691e-ead7-47ab-8ff3-c269b6a0587c","","","Activity_21"
"Activity","Uninalysis","91e068d2-5add-4199-bcb8-7f091f705bd4","","","Activity_22"
"Activity","Plasma Specimen (Xanomeline)","c7896b33-a71b-4578-a7e4-07cc0a3668fe","","","Activity_23"
"Activity","Hemoglobin A1C","4f749e4f-0db0-440f-b66e-44fd091cb417","","","Activity_24"
"Activity","Study drug","007769b8-c061-40c8-bc58-2f0c9c2365d3","","Study drug record , Medications dispensed, Medications returned","Activity_25"
"Activity","TTS Acceptability Survey","f3192b8a-1bf8-4647-b901-1dbdfa7e5c40","","","Activity_26"
"Activity","ADAS-Cog","94222317-9c22-4d91-9d66-d2dffb418b64","","","Activity_27"
"Activity","CIBIC+","9e6adbc1-d11e-4e36-9c42-67b4ab312d0a","","","Activity_28"
"Activity","DAD","fe4e767f-664b-4e0d-be26-59e47dbee972","","","Activity_29"
"Activity","NPI-X","fe9a1914-1206-41cb-be88-6f7b3d2604f4","","","Activity_30"
"Activity","Adverse events","adbd2c0a-ed62-42d7-b8f4-956427d9982f","","","Activity_31"
"Activity","Check adverse events","175ceea2-6f97-46da-8f3c-c4034dd3b779","","","Activity_32"
"Activity","Supine","56fbfd38-8a0d-4c63-8207-f0799b7a0c52","","Subject supine","Activity_33"
"Activity","Vital Signs Supine","4337685d-3be0-4cd7-9413-76c14370f99d","","Vital signs while supine","Activity_34"
"Activity","Stand","17074c9e-82d8-47e0-a1b7-16d74236889c","","Subject Standing","Activity_35"
"Activity","Vital Signs Standing","dd44eb99-daae-4e5a-9908-eea33391e42b","","Vital signs while standing","Activity_36"
