"instanceType","name","sectionNumber","uuid:ID","sectionTitle","id","text"
"NarrativeContent","ROOT","0","ed886203-4953-43f7-a105-eabe8cf90cdc","Root","NarrativeContent_1",""
"NarrativeContent","SECTION 0","0","0a8069cd-6512-4e30-9fdc-ce5616c4b247","TITLE PAGE","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent","SECTION 1","1","55f60744-1aef-41fc-a827-d7e6122c0dd0","PROTOCOL SUMMARY","NarrativeContent_3","<div></div>"
"NarrativeContent","SECTION 1.1","1.1","cee77caa-6a7b-4f67-a3e1-5b6287bf9411","Protocol Synopsis","NarrativeContent_4","<div></div>"
"NarrativeContent","SECTION 1.2","1.2","0426103d-04b8-4575-a6f7-e49ffa88f166","Trial Schema","NarrativeContent_5","<div></div>"
"NarrativeContent","SECTION 1.3","1.3","4a605ec0-3378-48a7-8aeb-6f8f4d298bd5","Schedule of Activities","NarrativeContent_6","<div></div>"
"NarrativeContent","SECTION 2","2","d7ca8615-7e91-44b7-8a71-376d442d8db9","INTRODUCTION","NarrativeContent_7","<div></div>"
"NarrativeContent","SECTION 2.1","2.1","63fbadda-8026-4c9f-ace4-8009d34e5cb7","Purpose of Trial","NarrativeContent_8","<div></div>"
"NarrativeContent","SECTION 2.2","2.2","4ac354b5-a7c6-4bed-bb86-83ec0beeba12","Summary of Benefits and Risks","NarrativeContent_9","<div></div>"
"NarrativeContent","SECTION 3","3","70429f5a-beae-4598-8508-13eab76a1819","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","<div></div>"
"NarrativeContent","SECTION 3.1","3.1","434f2df4-1535-40e3-beac-3d12569c54d9","Primary Objectives","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent","SECTION 4","4","823a1482-1d83-4b26-a1ce-49d08e113198","TRIAL DESIGN","NarrativeContent_12","<div></div>"
"NarrativeContent","SECTION 4.1","4.1","d90c0e6c-9cda-42ed-8b96-5c8dd0b837d5","Description of Trial Design","NarrativeContent_13","<div></div>"
"NarrativeContent","SECTION 4.1.1","4.1.1","8df3c2cc-624f-4a2e-9b23-6a96d0c36588","Participant Input into Design","NarrativeContent_14","<div></div>"
