"windowUpper","instanceType","name","uuid:ID","window","description","label","value","id","windowLower"
"","Timing","TIM1","c8551e20-b3ad-4634-a9e8-765969f04873","","Screening timing","Screening","P2W","Timing_1",""
"PT0H","Timing","TIM2","eeea6f90-e538-411c-9b0a-93c11ac562e1","-4..0 hours","Pre dose timing","Pre dose","P2D","Timing_2","PT4H"
"","Timing","TIM3","a66e5131-15af-4de5-a0d4-bba034364fb8","","Dosing anchor","Dosing","P1D","Timing_3",""
"P3D","Timing","TIM4","9f02965b-ad55-48bb-a4bb-192a7baba957","-3..3 days","Week 2 timing","Week 2","P2W","Timing_4","P3D"
"P3D","Timing","TIM5","3be78d6c-3f80-4805-a385-7cfcdb7ae2bf","-3..3 days","Week 4 timing","Week 4","P4W","Timing_5","P3D"
"P3D","Timing","TIM6","efe67e54-66af-4106-8e6e-bddc760b2723","-3..3 days","Week 6 timing","Week 6","P6W","Timing_6","P3D"
"P3D","Timing","TIM7","058845ce-565c-4daa-ab2e-fb61b2f1e01c","-3..3 days","Week 8 timing","Week 8","P8W","Timing_7","P3D"
"P4D","Timing","TIM9","91c549f0-747d-4e51-b093-d43e1bfeae09","-4..4 days","Week 12 timing","Week 12","P12W","Timing_9","P4D"
"P4D","Timing","TIM11","8818475d-3e0d-45d7-9885-0b519feb6870","-4..4 days","Week 16 timing","Week 16","P16W","Timing_11","P4D"
"P4D","Timing","TIM13","03942354-eaea-491f-8089-9a3506780ade","-4..4 days","Week 20 timing","Week 20","P20W","Timing_13","P4D"
"P4D","Timing","TIM15","82caf902-05ec-4b49-8beb-70da2b465c6c","-4..4 days","Week 24 timing","Week 24","P24W","Timing_15","P4D"
"P3D","Timing","TIM16","ef743b95-dda5-4816-a35a-840dcd61eede","-3..3 days","Week 26 timing","Week 26","P26W","Timing_16","P3D"
"","Timing","TIM8","155834ee-7094-44cc-97d6-6bba0e493e99","","Week 8 at home timing","Week 8 Home","P2W","Timing_8",""
"","Timing","TIM10","4cc44981-1e67-42eb-843e-1a0c4162f453","","Week 12 at home timing","Week 12 Home","P2W","Timing_10",""
"","Timing","TIM12","ffc9f7ff-0352-4ae9-be11-521e36cf9ba1","","Week 16 at home timing","Week 16 Home","P2W","Timing_12",""
"","Timing","TIM14","f5be8dfe-25f3-43d1-a4ee-97f810fd86b5","","Week 20 at home timing","Week 20 Home","P2W","Timing_14",""
"","Timing","TIM17","a8410ead-3e9c-4164-a622-e637e570e058","","Adverse Event","Adverse Event","P1D","Timing_17",""
"","Timing","TIM18","b0b07bb5-1ed3-43e6-8c57-7cb0a064cd67","","Early Termination","Early Termination","P1D","Timing_18",""
"","Timing","TIM19","a0f0a05c-0ce8-4612-85e4-b1d87404d2ba","","Supine","Supine","PT0M","Timing_19",""
"","Timing","TIM20","9feca91d-85bf-4e00-8c42-9ec194e8c150","","VS while supine","VS while supine","PT5M","Timing_20",""
"","Timing","TIM21","b71584c9-bbf0-450e-a2cd-4ed2c5249a55","","Standing","Standing","PT0M","Timing_21",""
"","Timing","TIM22","ae56f155-fc36-4014-96a2-59f847ec56cc","","VS while standing","VS while standing","PT1M","Timing_22",""
"","Timing","TIM23","4363287f-397a-421b-8e6e-61b96fd98e4d","","Standing","Standing","PT0M","Timing_23",""
"","Timing","TIM24","993178fc-c9c9-41e5-a36c-9ea23b3f8257","","VS while standing","VS while standing","PT2M","Timing_24",""
