"instanceType","name","uuid:ID","id","text"
"TransitionRule","ENCOUNTER_START_RULE_1","d39623a8-350a-4293-be12-2e28564cb6e3","TransitionRule_1","Subject identifier"
"TransitionRule","ENCOUNTER_START_RULE_1","70b3d715-7fda-4522-80c7-d728d58b1b5f","TransitionRule_2","completion of screening activities"
"TransitionRule","ENCOUNTER_START_RULE_2","c95d31a3-f269-46e4-bcce-e187f1951119","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule","ENCOUNTER_START_RULE_3","e636e84a-88ad-46a5-96ec-080e362fea1a","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"TransitionRule","ENCOUNTER_START_RULE_3","71fb0bc8-47a7-4f97-803a-8ac5972118b3","TransitionRule_5","Radomized"
"TransitionRule","ENCOUNTER_START_RULE_12","10798821-2d20-47c6-93fe-71e74d5d10ad","TransitionRule_6","End of treatment"
"TransitionRule","ELEMENT_START_RULE_1","cad8ed45-1c95-4a87-8434-380525b880d7","TransitionRule_7","Informed consent"
"TransitionRule","ELEMENT_END_RULE_1","42f733bc-1abc-4d8c-9d64-dd09f4b83d92","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule","ELEMENT_START_RULE_2","a66f602b-597a-4315-89fa-fcdb8ffb902e","TransitionRule_9","Administration of first dose"
"TransitionRule","ELEMENT_START_RULE_7","3579f095-6b16-4eed-b577-c4c2d1bd1d5d","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"TransitionRule","ELEMENT_END_RULE_7","856b4806-ddef-469d-b8ba-7700e4df999b","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule","ELEMENT_START_RULE_3","f82849ff-ef43-49a0-8d1c-c53302ca949a","TransitionRule_10","Administration of first dose"
"TransitionRule","ELEMENT_START_RULE_4","e2f1eae6-07cd-4dbc-8717-3e39210c6130","TransitionRule_11","Randomized"
"TransitionRule","ELEMENT_START_RULE_5","2804b5b1-1bf5-4f1a-830a-2fa25d9eb1fd","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule","ELEMENT_START_RULE_6","8ec80af4-22a9-4718-bed2-7908b2a02842","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
