"id","label","instanceType","uuid:ID","description","name"
"Encounter_1","Screening 1","Encounter","a0d2c526-6887-405f-894c-1a816259460b","Screening encounter","E1"
"Encounter_2","Screening 2","Encounter","fc051cca-015b-46ba-a9e2-546ba5d7cd0e","Screening encounter - Ambulatory ECG Placement","E2"
"Encounter_3","Baseline","Encounter","f7d1071e-8f81-4869-9b5c-bc6e58239950","Baseline encounter - Ambulatory ECG Removal","E3"
"Encounter_4","Week 2","Encounter","cdc938ad-8339-4e41-a593-8e1028e0d616","Day 14","E4"
"Encounter_5","Week 4","Encounter","ca997c31-9d40-48e0-bbec-c3a2e0dc788d","Day 28","E5"
"Encounter_6","Week 6","Encounter","623ec67b-8ab7-49ed-89c8-7cc913f7664d","Day 42","E7"
"Encounter_7","Week 8","Encounter","436f6e07-e881-42e4-806c-87deea00dd94","Day 56","E8"
"Encounter_8","Week 12","Encounter","73272136-bbe2-4599-86af-cfd666142e34","Day 84","E9"
"Encounter_9","Week 16","Encounter","f3ffb3a1-d42f-4b30-a729-94503bc10f9a","Day 112","E10"
"Encounter_10","Week 20","Encounter","c52c20cd-5703-48dc-b5af-790d2fdd1f9e","Day 140","E11"
"Encounter_11","Week 24","Encounter","688c4326-8816-4929-b05c-e178b07cd1e6","Day 168","E12"
"Encounter_12","Week 26","Encounter","c7b359af-cbda-4b09-8c58-e87feba19bbf","Day 182","E13"
