"id","label","instanceType","uuid:ID","description","name"
"Activity_1","Informed consent","Activity","522acf84-94c8-46ef-bb10-592620a449ef","","Informed consent"
"Activity_2","Inclusion and exclusion criteria","Activity","0c57ea0a-580a-457d-8406-5e7c1ffce372","","Inclusion/exclusion criteria"
"Activity_3","Patient number assigned","Activity","872c6fd8-c271-4f5a-af09-2990a9cb6005","","Patient number assigned"
"Activity_4","Demographics","Activity","90718024-3269-4cfd-9193-0c40aa35859a","","Demographics"
"Activity_5","Hachinski Ischemic Scale","Activity","f34587cb-6084-4eff-883f-1e9cbf32634f","","Hachinski"
"Activity_6","MMSE","Activity","9ac2bc70-34c4-4b8c-bc7c-832bce8f8550","","MMSE"
"Activity_7","Physical examination","Activity","06a844a2-052b-48ac-aecd-c1dc2edf3701","","Physical examination"
"Activity_8","Medical history","Activity","f8e3762b-c4bf-4942-b288-507dd66f062c","","Medical history"
"Activity_9","Habits","Activity","30397a2b-11bd-4eef-a031-2fb27f5a7562","","Habits"
"Activity_10","Chest X-ray","Activity","2958d31c-733b-45b8-8939-7b99ec150d30","","Chest X-ray"
"Activity_11","Apo E genotyping","Activity","167a89a1-2757-413b-bf81-939acb471907","","Apo E genotyping"
"Activity_12","Patient randomised","Activity","525c9957-82be-4c2b-aa96-58b457ed2eec","","Patient randomised"
"Activity_13","Vital Signs and Temperature","Activity","57af2472-6797-4a95-a729-3f1ef113afc1","","Vital signs / Temperature"
"Activity_14","Ambulatory ECG placed","Activity","db596ca3-940f-4ca5-8225-7f6bcbcc3d91","","Ambulatory ECG placed"
"Activity_15","Ambulatory ECG removed","Activity","479e607a-27d9-459b-b571-69f9069f8466","","Ambulatory ECG removed"
"Activity_16","ECG","Activity","9c3d72df-e88a-45bf-b015-3903cde8d897","","ECG"
"Activity_17","Placebo TTS test","Activity","e181a867-948e-4bde-86ea-ae4ca619864d","","Placebo TTS test"
"Activity_18","CT scan","Activity","52da2da6-244c-40c8-91ee-de8fde031c01","","CT scan"
"Activity_19","Concomitant medications","Activity","09009310-1345-49d7-b3ac-a5894a8044b1","","Concomitant medications"
"Activity_20","Hematology","Activity","040c407c-8a3f-40e7-bcb9-a5d416f6e024","","Hematology"
"Activity_21","Chemistry","Activity","f8f5afc7-ae56-4ee2-a64a-8f39c24e04e6","","Chemistry"
"Activity_22","Uninalysis","Activity","d9567c8a-93a3-4e91-8a1b-97d8cee2e50f","","Uninalysis"
"Activity_23","Plasma Specimen (Xanomeline)","Activity","971a6e8d-8043-46d5-a50c-4a280f8ea1a6","","Plasma Specimen (Xanomeline)"
"Activity_24","Hemoglobin A1C","Activity","e46ae977-2148-4b00-b598-ea7035d744b6","","Hemoglobin A1C"
"Activity_25","Study drug record , Medications dispensed, Medications returned","Activity","9d84f704-49d7-4e60-b3df-6a62b76210a2","","Study drug"
"Activity_26","TTS Acceptability Survey","Activity","3adb80d4-45b9-4604-a331-60706e77980d","","TTS Acceptability Survey"
"Activity_27","ADAS-Cog","Activity","e0997b35-92d5-4009-9f92-20382a620c08","","ADAS-Cog"
"Activity_28","CIBIC+","Activity","c1c39ee4-fb7b-4eb8-8781-91c4a0abd80b","","CIBIC+"
"Activity_29","DAD","Activity","7b97da00-7a3d-4106-babc-c1e42f8ae6b4","","DAD"
"Activity_30","NPI-X","Activity","dd24fb76-997f-4a75-8081-f7fa741a9118","","NPI-X"
"Activity_31","Adverse events","Activity","7d6d2665-2764-4380-9ed0-a5f135389ce8","","Adverse events"
"Activity_32","Check adverse events","Activity","cbad88ff-4663-44d5-b37e-2f793d5a8082","","Check adverse events"
"Activity_33","Subject supine","Activity","38f42362-334c-4536-8464-e0ae4cdc499c","","Supine"
"Activity_34","Vital signs while supine","Activity","bacb2786-7c44-4b01-a23b-875abf9a7aaf","","Vital Signs Supine"
"Activity_35","Subject Standing","Activity","750ba37c-5571-463e-937a-f11148f344fb","","Stand"
"Activity_36","Vital signs while standing","Activity","a0c2f335-d9e9-4b95-bc6b-ce09b261dc31","","Vital Signs Standing"
