"id","codeSystemVersion","code","instanceType","uuid:ID","codeSystem","decode"
"Code_1","2023-09-29","C98388","Code","ca3225f6-84d1-44d8-b905-9c77c78fc072","http://www.cdisc.org","Interventional Study"
"Code_2","2023-09-29","C15601","Code","7106ef3f-90a9-46c5-a2bb-48252c9d8028","http://www.cdisc.org","Phase II Trial"
"Code_9","2023-09-29","C132352","Code","c321831b-8581-4fd4-b6fb-ebc082ab9422","http://www.cdisc.org","Sponsor Approval Date"
"Code_10","2023-09-29","C68846","Code","5d558769-3aef-4d30-b8e3-25d63c8b77f6","http://www.cdisc.org","Global"
"Code_72","2023-09-29","C99904x3","Code","d07bfff7-e3ba-47ea-9766-ccf8be2d3309","http://www.cdisc.org","IRB/IEC Feedback"
"Code_73","2023-09-29","C17649","Code","1b5e116c-26dc-4459-8a91-7b35617551a6","http://www.cdisc.org","Other"
"Code_75","2023-09-29","C41129","Code","1332212a-c7a5-4114-b708-95204cf0f061","http://www.cdisc.org","Region"
"Code_74","2020-08","150","Code","158ee15f-f624-46ad-a87d-de7006073a41","ISO 3166 1 alpha3","Europe"
"Code_4","12","PHARMA","Code","c17c16f4-a6a0-438a-997f-7ce25b4f1f02","SPONSOR","Eli Lilly"
"Code_76","2023-09-29","C70793","Code","a6e1bd56-3263-4624-ab74-d79d98bbbf56","http://www.cdisc.org","Clinical Study Sponsor"
"Code_77","2020-08","USA","Code","a5e3d96b-2bbe-4402-b425-37459408e401","ISO 3166 1 alpha3","United States of America"
"Code_78","2023-09-29","C93453","Code","fe7ec6c8-bbbe-4c38-a61c-6877af852fd0","http://www.cdisc.org","Study Registry"
"Code_79","2020-08","USA","Code","447e0404-2c1c-4876-92f6-9a2b225c407d","ISO 3166 1 alpha3","United States of America"
"Code_137","2023-09-29","C49656","Code","e915cec8-d4a6-4281-9694-15cad38471f4","http://www.cdisc.org","Treatment Study"
"Code_138","2023-09-29","C49666","Code","5b1d2db5-2d8a-41b5-9d70-4199d2fb387a","http://www.cdisc.org","Efficacy Study"
"Code_139","2023-09-29","C49667","Code","cb9931a5-9a3a-4b1e-a1ea-6ad150e8e55a","http://www.cdisc.org","Safety Study"
"Code_140","2023-09-29","C49663","Code","d2234f5e-1986-4498-87e2-774134ac4db9","http://www.cdisc.org","Pharmacokinetic Study"
"Code_134","12","MILD_MOD_ALZ","Code","b508c795-bd78-4d08-bfc2-3cb325356f10","SPONSOR","Mild to Moderate Alzheimer's Disease"
"Code_135","January 31, 2018","26929004","Code","5592bdf7-cd21-4046-8984-8b6293ab264b","SNOMED","Alzheimer's disease"
"Code_143","2023-09-29","C99907x1","Code","c1efda72-e834-457c-9f8b-be96b677dc3d","http://www.cdisc.org","EXTENSION"
"Code_144","2023-09-29","C98704","Code","69c40154-0457-4691-ac2d-d4866dd14f07","http://www.cdisc.org","ADAPTIVE"
"Code_141","2023-09-29","C82639","Code","254ba082-c459-430f-9f8b-ce0781156aae","http://www.cdisc.org","Parallel Study"
"Code_83","2023-09-29","C25716","Code","1b9d94c8-27e4-479c-936a-7e5c1ecf64f9","http://www.cdisc.org","Visit"
