"reference","id","synonyms","label","instanceType","uuid:ID","name"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_20","","Sex","BiomedicalConcept","68fa3fcd-c75a-40b1-8678-b0061e8309c4","Sex"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_21","['Racial Group']","Race","BiomedicalConcept","0d753d69-f8de-48d0-92fe-92f19757ca92","Race"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept_22","['Temperature']","Body Temperature","BiomedicalConcept","4f2ad5b3-26d8-4a09-8eb9-84e002031a8c","Body Temperature"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept_23","['Weight']","Body Weight","BiomedicalConcept","5089f743-6134-4a36-8d34-6e80a244194b","Body Weight"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept_24","['Height']","Body Height","BiomedicalConcept","590f6dc0-c68c-4b44-bf68-2c23e4d634a6","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_25","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept","1cda1af9-5ff9-436c-a2a8-e58769b87eff","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_26","['Albumin']","Albumin Measurement","BiomedicalConcept","aa67a713-efb2-4f09-88cf-a403df757c2f","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_27","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept","a38a5c03-144d-48af-a9a4-19e83eadc448","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_28","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept","5ab0e620-964d-40fe-be01-395768f64e2b","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_29","['Creatinine']","Creatinine Measurement","BiomedicalConcept","a78154e0-265e-40ba-b801-0b8fa108f1e9","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_30","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept","40f2254c-0418-43d7-832f-de1e843242d7","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_31","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept","4fc499f9-93cd-4805-903d-c0cd3d07826a","Sodium Measurement"
