"id","windowLower","label","instanceType","uuid:ID","value","window","windowUpper","description","name"
"Timing_1","","Screening","Timing","7e56e330-c939-4c0d-8aba-176d4229dfab","P2W","","","Screening timing","TIM1"
"Timing_2","PT4H","Pre dose","Timing","8b6d37f7-1f95-463c-9d42-51464d701962","P2D","-4..0 hours","PT0H","Pre dose timing","TIM2"
"Timing_3","","Dosing","Timing","6e84322b-b922-4ea1-9841-87cf346be33d","P1D","","","Dosing anchor","TIM3"
"Timing_4","P3D","Week 2","Timing","1c86cd8c-fe5f-455a-8d38-dde6638e13d1","P2W","-3..3 days","P3D","Week 2 timing","TIM4"
"Timing_5","P3D","Week 4","Timing","7d09f7ac-a7e7-4e5e-8b82-e9585021e321","P4W","-3..3 days","P3D","Week 4 timing","TIM5"
"Timing_6","P3D","Week 6","Timing","ed9be471-9f77-4e74-9126-20b3e5cc34aa","P6W","-3..3 days","P3D","Week 6 timing","TIM6"
"Timing_7","P3D","Week 8","Timing","bacd655e-4c7e-4173-bf8c-3affb1107e52","P8W","-3..3 days","P3D","Week 8 timing","TIM7"
"Timing_9","P4D","Week 12","Timing","f39468e4-1d9e-4ddb-bd6b-8a9041ab9f45","P12W","-4..4 days","P4D","Week 12 timing","TIM9"
"Timing_11","P4D","Week 16","Timing","ac56b12a-ddcf-4210-ac90-ded8be5b1c8d","P16W","-4..4 days","P4D","Week 16 timing","TIM11"
"Timing_13","P4D","Week 20","Timing","91df4b70-b28a-4c5f-ba96-dba1a001d03c","P20W","-4..4 days","P4D","Week 20 timing","TIM13"
"Timing_15","P4D","Week 24","Timing","e746b20e-6eb5-4808-bd27-42ce2ef28243","P24W","-4..4 days","P4D","Week 24 timing","TIM15"
"Timing_16","P3D","Week 26","Timing","3506168f-43af-449e-9032-9bb8967e15b2","P26W","-3..3 days","P3D","Week 26 timing","TIM16"
"Timing_8","","Week 8 Home","Timing","b6edf920-8d1d-45bf-891a-804a2fdc2fb4","P2W","","","Week 8 at home timing","TIM8"
"Timing_10","","Week 12 Home","Timing","67847d7d-6177-4535-827a-f37082d9120a","P2W","","","Week 12 at home timing","TIM10"
"Timing_12","","Week 16 Home","Timing","7d0c5644-6884-42f9-b3bb-874b7f895532","P2W","","","Week 16 at home timing","TIM12"
"Timing_14","","Week 20 Home","Timing","de1bb8ef-386e-4901-98d1-4e25686cd280","P2W","","","Week 20 at home timing","TIM14"
"Timing_17","","Adverse Event","Timing","24eb836a-8ffe-4c98-be71-d81d43456649","P1D","","","Adverse Event","TIM17"
"Timing_18","","Early Termination","Timing","ca9929f9-e772-4bc7-a049-10c9f6a5f65d","P1D","","","Early Termination","TIM18"
"Timing_19","","Supine","Timing","2139047b-08db-4271-80f3-959011218b43","PT0M","","","Supine","TIM19"
"Timing_20","","VS while supine","Timing","0a42ec7e-3e56-4720-971b-aa925077b507","PT5M","","","VS while supine","TIM20"
"Timing_21","","Standing","Timing","9d87c7c5-246e-4469-b820-eb80906f354e","PT0M","","","Standing","TIM21"
"Timing_22","","VS while standing","Timing","5df7b9ba-a3ef-420c-9f97-03ccb1e007bb","PT1M","","","VS while standing","TIM22"
"Timing_23","","Standing","Timing","39ba49ca-4edf-4f82-8abd-2222774ff151","PT0M","","","Standing","TIM23"
"Timing_24","","VS while standing","Timing","7cc369db-c4b7-4048-abdc-5f3b6a1e0d13","PT2M","","","VS while standing","TIM24"
