"isRequired","datatype","id","label","instanceType","uuid:ID","isEnabled","name"
"True","string","BiomedicalConceptProperty_89","Sex","BiomedicalConceptProperty","3b240e92-3dc6-42b0-bb7f-500c597f6d14","True","Sex"
"True","string","BiomedicalConceptProperty_90","Race","BiomedicalConceptProperty","c1436f0d-6d37-496e-a31c-0065e396edaf","True","Race"
"True","decimal","BiomedicalConceptProperty_91","Clinical Test Result","BiomedicalConceptProperty","738ae21e-ec1c-4262-8f8b-8a08a89ed884","True","Clinical Test Result"
"True","string","BiomedicalConceptProperty_92","Unit of Temperature","BiomedicalConceptProperty","036b72aa-40cb-4756-aac7-01a75e6bdd74","True","Unit of Temperature"
"True","string","BiomedicalConceptProperty_93","Anatomic Site","BiomedicalConceptProperty","eeff1e95-9728-4900-a34a-68b860b418c3","True","Anatomic Site"
"True","decimal","BiomedicalConceptProperty_94","Clinical Test Result","BiomedicalConceptProperty","4ec46cad-7b04-4092-9cf0-17060cc82d5b","True","Clinical Test Result"
"True","string","BiomedicalConceptProperty_95","Unit of Weight","BiomedicalConceptProperty","854ddc9a-5460-4faf-8be6-6a8d6a554145","True","Unit of Weight"
"True","decimal","BiomedicalConceptProperty_96","Clinical Test Result","BiomedicalConceptProperty","d26fd49d-32e0-4406-8d1f-3c5a26a09c76","True","Clinical Test Result"
"True","string","BiomedicalConceptProperty_97","Unit of Height","BiomedicalConceptProperty","c7592222-7cc0-4531-86d6-f01036300003","True","Unit of Height"
"True","decimal","BiomedicalConceptProperty_98","Laboratory Test Result","BiomedicalConceptProperty","0a1b3e60-f70b-44dc-adfd-1c1afdc04847","True","Laboratory Test Result"
"True","boolean","BiomedicalConceptProperty_99","Laboratory Test Fasting Status","BiomedicalConceptProperty","f990d561-123a-4447-9982-a7bfcf23b991","True","Laboratory Test Fasting Status"
"True","string","BiomedicalConceptProperty_100","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","570254f6-a4f7-410d-89f1-0aed3bc4a6c4","True","Unit of Catalytic Activity Concentration"
"True","string","BiomedicalConceptProperty_101","Biospecimen Type","BiomedicalConceptProperty","2ca04266-97d2-4c8f-84f2-84fcecbb9056","True","Biospecimen Type"
"True","string","BiomedicalConceptProperty_102","Laboratory Test Result","BiomedicalConceptProperty","e426ab42-2723-4779-ae60-93b638c83d81","True","Laboratory Test Result"
"True","boolean","BiomedicalConceptProperty_103","Laboratory Test Fasting Status","BiomedicalConceptProperty","59485c60-b0d9-4990-88ad-796ffc8518b7","True","Laboratory Test Fasting Status"
"True","string","BiomedicalConceptProperty_104","Unit of Concentration","BiomedicalConceptProperty","f262f5a3-81b3-44e1-a4e4-b5f8a02f5609","True","Unit of Concentration"
"True","string","BiomedicalConceptProperty_105","Biospecimen Type","BiomedicalConceptProperty","e41b91b3-1628-40bf-9939-74820f4ae916","True","Biospecimen Type"
"True","decimal","BiomedicalConceptProperty_106","Laboratory Test Result","BiomedicalConceptProperty","2083f0ef-2030-4a9a-8cc2-3de818f6d7ff","True","Laboratory Test Result"
"True","boolean","BiomedicalConceptProperty_107","Laboratory Test Fasting Status","BiomedicalConceptProperty","ad1e285f-f8c4-464c-891c-c2bae556d1c9","True","Laboratory Test Fasting Status"
"True","string","BiomedicalConceptProperty_108","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","dcefa142-0f17-42ab-8cb9-ee4a207f5595","True","Unit of Catalytic Activity Concentration"
"True","string","BiomedicalConceptProperty_109","Biospecimen Type","BiomedicalConceptProperty","3dbee604-dec5-425a-aa9d-ee00f88a1807","True","Biospecimen Type"
"True","decimal","BiomedicalConceptProperty_110","Laboratory Test Result","BiomedicalConceptProperty","4be16fdf-8b25-45e0-ae0d-4c52e582066e","True","Laboratory Test Result"
"True","boolean","BiomedicalConceptProperty_111","Laboratory Test Fasting Status","BiomedicalConceptProperty","ad17e495-2c3a-42f7-9e3e-4d6e5624a0f8","True","Laboratory Test Fasting Status"
"True","string","BiomedicalConceptProperty_112","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","7d7dfd6b-7c09-4ddf-b1ba-8fd0e4badb56","True","Unit of Catalytic Activity Concentration"
"True","string","BiomedicalConceptProperty_113","Biospecimen Type","BiomedicalConceptProperty","53fc5f89-10c5-4fde-a6dc-e27a5d0b9972","True","Biospecimen Type"
"True","string","BiomedicalConceptProperty_114","Laboratory Test Result","BiomedicalConceptProperty","6896cbaf-ecce-4e6b-b7b4-1064bfecab4b","True","Laboratory Test Result"
"True","boolean","BiomedicalConceptProperty_115","Laboratory Test Fasting Status","BiomedicalConceptProperty","152c3178-9f67-4c0c-af8a-db568e3e3863","True","Laboratory Test Fasting Status"
"True","string","BiomedicalConceptProperty_116","Unit of Concentration","BiomedicalConceptProperty","2f784e19-ede0-4931-b9c4-ea2105e63b98","True","Unit of Concentration"
"True","string","BiomedicalConceptProperty_117","Biospecimen Type","BiomedicalConceptProperty","77d986e7-f969-4653-943b-1b1dc71f231f","True","Biospecimen Type"
"True","decimal","BiomedicalConceptProperty_118","Laboratory Test Result","BiomedicalConceptProperty","398bb6bf-c409-4b96-97b4-9cb640df0bd1","True","Laboratory Test Result"
