"id","label","name","instanceType","purpose","uuid:ID","description","text"
"Endpoint_1","","END1","Endpoint","","5c916f2e-1201-452c-9b8f-3e640633c59d","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"Endpoint_2","","END2","Endpoint","","f0e93af5-55ea-4b6d-8c48-2ef949e50c85","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"Endpoint_3","","END3","Endpoint","","093eca39-6910-4743-9f1d-f0a36231e3ed","","Adverse events"
"Endpoint_4","","END4","Endpoint","","22f137bf-28ec-419f-8adb-253086eeb019","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"Endpoint_5","","END5","Endpoint","","f4d56ed7-e654-4153-8710-cebcc470e8af","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)"
"Endpoint_6","","END6","Endpoint","","53ae818e-7f3b-46f8-874e-fd73fb6341e7","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"Endpoint_7","","END7","Endpoint","","6ea25272-f7a3-42f8-b2db-a6eaf96e39b9","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"Endpoint_8","","END8","Endpoint","","8f30bfcf-d0db-4806-b376-59e31661fc19","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"Endpoint_9","","END9","Endpoint","","d4e9b21c-4312-4563-8384-87c8ae7eebfb","","*** To be determined from protocol ***"
"Endpoint_10","","END10","Endpoint","","0df25b35-47af-4c19-bc53-ee9ac8fcea44","","*** To be determined from protocol ***"
"Endpoint_11","","END11","Endpoint","","97891fa4-59c8-4242-bafc-42c06d8448d2","","*** To be determined from protocol ***"
