"name","instanceType","text","id","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier","TransitionRule_1","2540061c-3a52-4852-ab5e-ad7b351ac8d3"
"ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities","TransitionRule_2","57f760cc-c323-41b7-9501-0a802f2cf8c5"
"ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","fd026442-b5a7-4a3d-b840-0674f5575c04"
"ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4","deddce7e-8ac9-4b47-ae9e-2a3c0aed7368"
"ENCOUNTER_START_RULE_3","TransitionRule","Radomized","TransitionRule_5","03ddd8bf-8619-4af4-81dc-f7068155529f"
"ENCOUNTER_START_RULE_12","TransitionRule","End of treatment","TransitionRule_6","26013f29-6214-4241-bdae-72e2e0f6972a"
"ELEMENT_START_RULE_1","TransitionRule","Informed consent","TransitionRule_7","a2df53f9-7cb8-4518-a53f-d05064b4632d"
"ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","1b2e35f4-7c54-403d-9200-6f6aa7052167"
"ELEMENT_START_RULE_2","TransitionRule","Administration of first dose","TransitionRule_9","2a22a4c8-30f1-4bbe-bf21-08a8bf04896e"
"ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14","a046e6aa-f99a-4bc4-83af-045d452daefa"
"ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","8abb812e-75ba-4b44-b0f1-fe2bc9087e10"
"ELEMENT_START_RULE_3","TransitionRule","Administration of first dose","TransitionRule_10","eae78870-d476-4650-b08e-f151fbab56cb"
"ELEMENT_START_RULE_4","TransitionRule","Randomized","TransitionRule_11","eeaca32a-1071-4722-97b5-5ad73edfb0ab"
"ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","9636bc54-686a-4975-b4bb-33e0daaf2ab3"
"ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ad04ea25-40dd-4893-8f5b-5493d349d528"
