"name","label","description","windowLower","window","instanceType","value","windowUpper","id","uuid:ID"
"TIM1","Screening","Screening timing","","","Timing","P2W","","Timing_1","6d528f04-113d-41d4-ab17-59fe0bda8937"
"TIM2","Pre dose","Pre dose timing","PT4H","-4..0 hours","Timing","P2D","PT0H","Timing_2","16ba9ff7-39c4-47f5-94d8-be8895d12295"
"TIM3","Dosing","Dosing anchor","","","Timing","P1D","","Timing_3","f95acfa8-904a-4260-a3d4-af081218d075"
"TIM4","Week 2","Week 2 timing","P3D","-3..3 days","Timing","P2W","P3D","Timing_4","0984d76f-71a0-49d9-9fef-4bf4439dafc3"
"TIM5","Week 4","Week 4 timing","P3D","-3..3 days","Timing","P4W","P3D","Timing_5","5c1e1eaa-efd6-4b17-adf6-56714f3aa53b"
"TIM6","Week 6","Week 6 timing","P3D","-3..3 days","Timing","P6W","P3D","Timing_6","eab8a6c4-6926-460d-a0af-16b024acd431"
"TIM7","Week 8","Week 8 timing","P3D","-3..3 days","Timing","P8W","P3D","Timing_7","9dc9a181-c8fd-4644-af56-1d0f474190cf"
"TIM9","Week 12","Week 12 timing","P4D","-4..4 days","Timing","P12W","P4D","Timing_9","8121e68e-cbbe-49f9-b9c4-37c1ffb5f236"
"TIM11","Week 16","Week 16 timing","P4D","-4..4 days","Timing","P16W","P4D","Timing_11","fbe53e38-eb0d-472a-8bc5-a04dcef05618"
"TIM13","Week 20","Week 20 timing","P4D","-4..4 days","Timing","P20W","P4D","Timing_13","5d75bd54-a7f2-43d6-92f7-8437ebca27b2"
"TIM15","Week 24","Week 24 timing","P4D","-4..4 days","Timing","P24W","P4D","Timing_15","895f8e3b-c82f-471b-92c3-cf26413ca2fb"
"TIM16","Week 26","Week 26 timing","P3D","-3..3 days","Timing","P26W","P3D","Timing_16","f21ae1f6-68bc-453a-868e-88d1b1a4ea07"
"TIM8","Week 8 Home","Week 8 at home timing","","","Timing","P2W","","Timing_8","bce5ade1-628a-4930-ae10-16dc257d7f50"
"TIM10","Week 12 Home","Week 12 at home timing","","","Timing","P2W","","Timing_10","a60f2dd1-e504-40ea-b103-601fac4c92d0"
"TIM12","Week 16 Home","Week 16 at home timing","","","Timing","P2W","","Timing_12","7e95ce8d-4b01-4e69-8075-4a913916cdc5"
"TIM14","Week 20 Home","Week 20 at home timing","","","Timing","P2W","","Timing_14","877b910d-b137-44b2-8fdd-a7c1745ff223"
"TIM17","Adverse Event","Adverse Event","","","Timing","P1D","","Timing_17","ea7c5c60-de64-4eca-89aa-f0b31e8966ab"
"TIM18","Early Termination","Early Termination","","","Timing","P1D","","Timing_18","d24d83eb-9bb9-4f96-9fdf-0f6781c4ece1"
"TIM19","Supine","Supine","","","Timing","PT0M","","Timing_19","0d91c12d-223e-4ec3-96bb-d947ce70e6a2"
"TIM20","VS while supine","VS while supine","","","Timing","PT5M","","Timing_20","3c04de75-597f-4a0d-b052-0a4a141f8a10"
"TIM21","Standing","Standing","","","Timing","PT0M","","Timing_21","36fb33fd-3520-4789-a680-d5408380a7dd"
"TIM22","VS while standing","VS while standing","","","Timing","PT1M","","Timing_22","44b7c60d-3d1a-44dd-88a7-ee43b457eb67"
"TIM23","Standing","Standing","","","Timing","PT0M","","Timing_23","f019199b-25ec-4c13-870c-762f44a65e2f"
"TIM24","VS while standing","VS while standing","","","Timing","PT2M","","Timing_24","a687a9ea-982d-4bd1-b86f-ba92026a9a5a"
