"label","name","id","text","description","uuid:ID"
"","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","","40a6e2db-af22-493f-9e1a-46d601bfa240"
"","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","","e0a218a5-05ed-4803-be21-970cb96b6918"
"","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","","9134f4be-0266-4916-a7b5-92544eea1f18"
"","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","","559b4fb5-0249-4995-b6b8-3c45e342dfe2"
"","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","","a0810e67-d07e-4fd2-9d8f-a3329dcefe7a"
"","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","","16ab5cfe-3a40-494d-8413-2cda39b0544e"
"","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","","0b855208-c48b-46ad-b9ff-35abf44a5f8b"
"","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","","489ba472-75c8-4cde-a143-5647a09cd1f4"
"","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","","986c2616-a3ef-4b0f-a51a-9bb175042573"
"","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","","2f9cb3ba-a5f6-4204-9b8d-a6949ed0631c"
"","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","f243aa22-9779-465f-a450-f211556521ac"
"","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","","90c88ff1-73ef-4753-a1d2-64a1a65f962b"
"","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","","02731288-df7b-4e51-9044-5234dc85ce29"
"","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","","76a4b946-7e44-47f0-b423-ffd834116990"
"","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","","f0250924-86fb-4c65-918b-de79d75c23d5"
