"sectionTitle","name","id","text","sectionNumber","uuid:ID"
"Root","ROOT","NarrativeContent_1","","0","bb53318a-abce-4ad4-bb77-42db1879b693"
"TITLE PAGE","SECTION 0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","0","5b14e13c-29f8-440d-8f3a-9f7fc5a2cfd6"
"PROTOCOL SUMMARY","SECTION 1","NarrativeContent_3","<div></div>","1","8c155879-e1a1-4143-a06b-0e986913dae9"
"Protocol Synopsis","SECTION 1.1","NarrativeContent_4","<div></div>","1.1","9679d28c-2ffa-4a88-81ca-78ef15c0f8e0"
"Trial Schema","SECTION 1.2","NarrativeContent_5","<div></div>","1.2","f63bf768-f270-4e96-bfac-219887b252ea"
"Schedule of Activities","SECTION 1.3","NarrativeContent_6","<div></div>","1.3","a7f86d39-516d-40e9-a5fe-ecf37bbcb8d7"
"INTRODUCTION","SECTION 2","NarrativeContent_7","<div></div>","2","c1891bf2-8b6f-4411-a736-bbad09ff4a7e"
"Purpose of Trial","SECTION 2.1","NarrativeContent_8","<div></div>","2.1","37034222-109e-4a65-b755-6c43334ce1e2"
"Summary of Benefits and Risks","SECTION 2.2","NarrativeContent_9","<div></div>","2.2","1a149748-2eec-4324-b08c-34398201e644"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","NarrativeContent_10","<div></div>","3","6b969b3a-5cc8-46d2-b64e-737b9b5eb9e5"
"Primary Objectives","SECTION 3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","6dba1056-a47e-4677-b263-038eaa5928bc"
"TRIAL DESIGN","SECTION 4","NarrativeContent_12","<div></div>","4","0608862b-ae03-48f6-a70e-baf1bf5c8443"
"Description of Trial Design","SECTION 4.1","NarrativeContent_13","<div></div>","4.1","eb9f123f-4505-420a-b009-0caab56a4e2f"
"Participant Input into Design","SECTION 4.1.1","NarrativeContent_14","<div></div>","4.1.1","bccbca63-3ca9-42f6-bee7-ab8c1b57a1d5"
