"label","bcSynonyms","name","id","bcReference","uuid:ID"
"Body Temperature","['Temperature']","Body Temperature","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","01eeec19-82aa-4c13-9581-773f67a3ab0a"
"Body Weight","['Weight']","Body Weight","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","1ae87f97-3f3d-4dda-9585-6b39b5069fdd"
"Body Height","['Height']","Body Height","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","2f871ce5-11be-438f-94b2-86da07df2365"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","5ee03936-e591-4b9a-8a83-1c87ae9778a2"
"Albumin Measurement","['Albumin']","Albumin Measurement","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","c7677040-094b-4b48-a36f-2a5f7d022ebe"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","d102ff81-2798-4345-88f3-e35b8987ccfc"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","0767536b-e39b-45f5-a062-adea2092a9d6"
"Creatinine Measurement","['Creatinine']","Creatinine Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","55744fe4-12d1-40ff-9432-f27d9c1f7b43"
"Potassium Measurement","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","182d82c0-3553-4590-8725-812b6a206a9a"
"Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","c9b12877-f761-4211-96f3-1d5e3442039d"
"Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","fa326c9f-27ce-41b8-b893-c84986dcbc8d"
"Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","faf9a4b4-30ec-4de8-ae4c-38a2bbcff30d"
"Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","91f34347-be07-4a61-8628-cd5d0b120aa6"
"Body Temperature","['Temperature']","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","6a31f741-eb30-421a-bf33-1ae3f62fdfc9"
