"bcPropertyDatatype","label","bcPropertyEnabled","name","id","bcPropertyResponseCodes","bcPropertyRequired","uuid:ID"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_86","[]","True","7a216b58-9069-42df-bc02-52c79613bc82"
"string","Unit of Temperature","True","Unit of Temperature","BiomedicalConceptProperty_87","","True","d109a1c5-49ff-4a05-8d45-e24efe09eec1"
"string","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_88","[]","True","a4686c2d-da64-4c60-a70d-e033d006833c"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_89","[]","True","b1d879b2-9236-4e98-a41b-e4d7e4b6bbb3"
"string","Unit of Weight","True","Unit of Weight","BiomedicalConceptProperty_90","","True","7dd617da-50db-44d9-a4ae-2811d4394be8"
"decimal","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_91","[]","True","ff185976-4d07-4f69-aa4f-a832b2147e58"
"string","Unit of Height","True","Unit of Height","BiomedicalConceptProperty_92","","True","4d142de6-1895-4d1d-be2b-ca5c60dc3b90"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_93","[]","True","baf78e67-322a-4d37-a35f-e3a6962d5b99"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","[]","True","3ca64f37-454b-4f6c-b7e5-589416d71487"
"string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","[]","True","ac175722-b020-4f69-9d24-d4babf604b11"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_96","[]","True","55fbac51-e241-42f8-95f0-056d9f5199d7"
"string","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_97","[]","True","844eddd5-5801-46ba-bce8-13698e1c106d"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_98","[]","True","dd3652bf-b7bb-48df-8fda-4e73b12d3b1d"
"string","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_99","[]","True","cdc99af5-3ba2-4f00-be32-8bac72cc30ba"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_100","[]","True","a01eb21a-9e02-49db-a8d7-a13d35f3f479"
"decimal","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_101","[]","True","64f8370c-a97d-4de5-88c4-290f4e4ca3ef"
"boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_102","[]","True","ef44af44-e9ad-4ed5-89f4-bd2f55ae5519"
"string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","[]","True","df545e64-dcbb-4f33-bb9e-da05ef87c9b3"
"string","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_104","[]","True","48db9216-aa2a-4e6a-986c-adee5a0e4b34"
