"uuid:ID","synonyms","name","reference","id","instanceType","label"
"46f890c8-5a58-4eca-af54-0911bd24b053","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","BiomedicalConcept","Body Temperature"
"7fd4ebc1-e44f-46c4-b5bb-dfcfe934c3cb","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","BiomedicalConcept","Body Weight"
"12f3a9b3-2ebb-485b-92f9-4bb7d326d26b","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","BiomedicalConcept","Body Height"
"69e8c175-f915-459c-91f1-f9c112f2940f","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","BiomedicalConcept","Alanine Aminotransferase Measurement"
"9a3023ab-ce85-45c3-adad-26d7efa4ec4e","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","BiomedicalConcept","Albumin Measurement"
"15a1cdca-daf7-4eab-a89c-282755c77797","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","BiomedicalConcept","Alkaline Phosphatase Measurement"
"b963ddc0-d3f7-4da7-91e9-2b92f1535b73","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"bb83e706-6532-47ce-887c-e6b271e96f93","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","BiomedicalConcept","Creatinine Measurement"
"9bd1f4d3-22b9-420e-ae1a-8bca24da17d9","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","BiomedicalConcept","Potassium Measurement"
"7fbbef85-7e37-4a0e-bbd3-88aba2a188d2","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","BiomedicalConcept","Sodium Measurement"
