"uuid:ID","name","id","description","instanceType","label"
"ce4fc5b1-d9af-4599-aca3-22469da784f1","E1","Encounter_1","Screening encounter","Encounter","Screening 1"
"96d6b222-ed12-4b62-aa3a-6cfc544cc783","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2"
"1fdd5d4e-23a9-44b8-9735-db5215e7c1fe","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline"
"0ffa9e89-7511-4b5d-9af7-2d792e5d2d47","E4","Encounter_4","Day 14","Encounter","Week 2"
"1b93dc5b-917d-4c03-8bef-eb826231b90f","E5","Encounter_5","Day 28","Encounter","Week 4"
"86c2812c-b069-43fa-85ae-0a9128c264fd","E7","Encounter_6","Day 42","Encounter","Week 6"
"78f4e2e4-c99a-4b4a-91ec-c6094a207a88","E8","Encounter_7","Day 56","Encounter","Week 8"
"74ef5e2e-1f94-4e33-966d-94c0917c6edf","E9","Encounter_8","Day 84","Encounter","Week 12"
"2760a74f-12d5-4973-b5d1-2deb369a5bc0","E10","Encounter_9","Day 112","Encounter","Week 16"
"6af3969e-b9fc-470d-b77d-cf7f999f24c8","E11","Encounter_10","Day 140","Encounter","Week 20"
"03a6e998-bec9-412e-b899-2958119c0441","E12","Encounter_11","Day 168","Encounter","Week 24"
"e12985d3-0bab-4760-ae0e-72518ac360f1","E13","Encounter_12","Day 182","Encounter","Week 26"
