"uuid:ID","value","name","id","window","windowLower","description","instanceType","label","windowUpper"
"014c66cb-dcf1-49f0-967c-ba9ce56c6db2","P2W","TIM1","Timing_1","","","Screening timing","Timing","Screening",""
"b7060ee1-9806-4f4f-96e6-64799063cc0f","P2D","TIM2","Timing_2","-4..0 hours","PT4H","Pre dose timing","Timing","Pre dose","PT0H"
"e1b82912-487c-4276-8860-c7031ed9226c","P1D","TIM3","Timing_3","","","Dosing anchor","Timing","Dosing",""
"a72d1ae2-6ffe-43d2-ae20-db2322367c9f","P2W","TIM4","Timing_4","-3..3 days","P3D","Week 2 timing","Timing","Week 2","P3D"
"7735f5d3-05f6-4d91-ae1b-53c258c77637","P4W","TIM5","Timing_5","-3..3 days","P3D","Week 4 timing","Timing","Week 4","P3D"
"54d40be8-d339-4dc0-ac12-5508ecbae29d","P6W","TIM6","Timing_6","-3..3 days","P3D","Week 6 timing","Timing","Week 6","P3D"
"2e05ef01-298f-4076-8f00-50f2584b97c0","P8W","TIM7","Timing_7","-3..3 days","P3D","Week 8 timing","Timing","Week 8","P3D"
"ada465c5-c9d7-4865-82c5-30b8e5e9deaf","P12W","TIM9","Timing_9","-4..4 days","P4D","Week 12 timing","Timing","Week 12","P4D"
"d8d385d0-bb6f-46b2-9325-99b126af2578","P16W","TIM11","Timing_11","-4..4 days","P4D","Week 16 timing","Timing","Week 16","P4D"
"b2b9373a-2a5e-4f92-8590-7b6e78af3315","P20W","TIM13","Timing_13","-4..4 days","P4D","Week 20 timing","Timing","Week 20","P4D"
"5d340c5c-9214-48fe-a632-857731c54844","P24W","TIM15","Timing_15","-4..4 days","P4D","Week 24 timing","Timing","Week 24","P4D"
"e08e873d-da4c-44f8-8d4f-60bc4c04a233","P26W","TIM16","Timing_16","-3..3 days","P3D","Week 26 timing","Timing","Week 26","P3D"
"99132483-f30b-42db-8b6b-d525eee13dae","P2W","TIM8","Timing_8","","","Week 8 at home timing","Timing","Week 8 Home",""
"4f16cf55-15ba-4dc6-83ea-bd886a0a42d1","P2W","TIM10","Timing_10","","","Week 12 at home timing","Timing","Week 12 Home",""
"698d9ca8-592a-4857-be07-0311485f9b67","P2W","TIM12","Timing_12","","","Week 16 at home timing","Timing","Week 16 Home",""
"20448c19-0745-4ab6-bb8e-0924b1ad994a","P2W","TIM14","Timing_14","","","Week 20 at home timing","Timing","Week 20 Home",""
"2b037750-6632-444c-aa0f-2ba1fb75d3dc","P1D","TIM17","Timing_17","","","Adverse Event","Timing","Adverse Event",""
"e009e99a-37de-4b86-a18b-48288789a237","P1D","TIM18","Timing_18","","","Early Termination","Timing","Early Termination",""
"3d1c2ddb-8596-4a2c-bc8b-b7d54cb769af","PT0M","TIM19","Timing_19","","","Supine","Timing","Supine",""
"be79b25d-1df2-4451-bf59-2fd6bfb5dc93","PT5M","TIM20","Timing_20","","","VS while supine","Timing","VS while supine",""
"669e4fda-4622-46f2-b0c8-9cf2c3108f31","PT0M","TIM21","Timing_21","","","Standing","Timing","Standing",""
"15cae3e9-0431-4d81-acc9-7ee773cca389","PT1M","TIM22","Timing_22","","","VS while standing","Timing","VS while standing",""
"f84423cb-0469-4db4-bfe5-e0be66093232","PT0M","TIM23","Timing_23","","","Standing","Timing","Standing",""
"bc0674ae-ddb8-4f9f-8de9-57ab15666a65","PT2M","TIM24","Timing_24","","","VS while standing","Timing","VS while standing",""
