"uuid:ID","name","id","sectionNumber","text","instanceType","sectionTitle"
"c212e77a-7eff-40e4-b605-1acc395d0a4d","ROOT","NarrativeContent_1","0","","NarrativeContent","Root"
"2b23be87-6db4-4edd-849f-0f0c3391d783","SECTION 0","NarrativeContent_2","0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","TITLE PAGE"
"0142a432-c65e-4aee-a860-682af3b3bca3","SECTION 1","NarrativeContent_3","1","<div></div>","NarrativeContent","PROTOCOL SUMMARY"
"9c4fcf41-9a3d-48be-9738-35398114c8da","SECTION 1.1","NarrativeContent_4","1.1","<div></div>","NarrativeContent","Protocol Synopsis"
"9e8a3d90-e25d-4a93-8c97-a345309b5b53","SECTION 1.2","NarrativeContent_5","1.2","<div></div>","NarrativeContent","Trial Schema"
"7747d605-8a0b-4949-970a-ea6033698587","SECTION 1.3","NarrativeContent_6","1.3","<div></div>","NarrativeContent","Schedule of Activities"
"8441da5b-3da3-4c22-be25-a0e2410b2309","SECTION 2","NarrativeContent_7","2","<div></div>","NarrativeContent","INTRODUCTION"
"0133dd0b-e7df-4634-a3f5-c63a2dab7989","SECTION 2.1","NarrativeContent_8","2.1","<div></div>","NarrativeContent","Purpose of Trial"
"793f0094-492a-45f8-a66e-afabc5f3e969","SECTION 2.2","NarrativeContent_9","2.2","<div></div>","NarrativeContent","Summary of Benefits and Risks"
"456cd495-a7b1-4243-b429-d425f7a6c9ce","SECTION 3","NarrativeContent_10","3","<div></div>","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"0bb9c572-ba21-41f8-8b90-f882ebe50fd0","SECTION 3.1","NarrativeContent_11","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","Primary Objectives"
"868685ab-94d4-4dfc-bb2a-cf1c7cb1e4b3","SECTION 4","NarrativeContent_12","4","<div></div>","NarrativeContent","TRIAL DESIGN"
"18f01f6d-a4a8-40a6-a909-cc7ec80c3ea2","SECTION 4.1","NarrativeContent_13","4.1","<div></div>","NarrativeContent","Description of Trial Design"
"a57ed054-d4a6-4cc6-b875-04cc7e74ef66","SECTION 4.1.1","NarrativeContent_14","4.1.1","<div></div>","NarrativeContent","Participant Input into Design"
