"bcReference","bcSynonyms","uuid:ID","name","id","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","f51df779-941c-45ff-a72f-2fcc95e8b92d","Body Temperature","BiomedicalConcept_18","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","1eb3b7b4-d850-40ea-81bb-fa3189f72e28","Body Weight","BiomedicalConcept_19","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","e22c883c-801f-488f-b44a-fb978b523837","Body Height","BiomedicalConcept_20","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","5f0827a7-9f41-41e9-8a52-4083c66d7b60","Alanine Aminotransferase Measurement","BiomedicalConcept_21","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","84ccb2b9-0291-41bc-90a9-dd72582519ad","Albumin Measurement","BiomedicalConcept_22","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","7a4e68ee-b6d3-4fa1-b5eb-a002c613c758","Alkaline Phosphatase Measurement","BiomedicalConcept_23","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","3410c36e-c463-41d6-ab52-92fa75e6aea4","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","a909b18a-1f15-41e5-87a2-5cba0b947b27","Creatinine Measurement","BiomedicalConcept_25","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","178e4a00-49f0-43b1-89a8-e02604bd22fd","Potassium Measurement","BiomedicalConcept_26","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","8f91b8bb-93a7-4257-92c9-e5ad66a5bd5d","Sodium Measurement","BiomedicalConcept_27","Sodium Measurement"
