"bcPropertyEnabled","uuid:ID","bcPropertyDatatype","name","bcPropertyRequired","bcPropertyResponseCodes","id","label"
"True","2a57738b-d3f8-428a-a3c6-35596a8e66d2","decimal","Vital Signs Result","True","[]","BiomedicalConceptProperty_86","Vital Signs Result"
"True","c2a487d8-6094-40a6-9862-32c9da00c160","string","Unit of Temperature","True","","BiomedicalConceptProperty_87","Unit of Temperature"
"True","ab6e864e-cbe9-4e30-b461-fe6ab2873718","string","Vital Signs Location","True","[]","BiomedicalConceptProperty_88","Vital Signs Location"
"True","cadb2ffc-f2ac-4c26-9939-5b73f2bce443","decimal","Vital Signs Result","True","[]","BiomedicalConceptProperty_89","Vital Signs Result"
"True","46dbef12-e044-4d13-bb5b-c4f0680ea42d","string","Unit of Weight","True","","BiomedicalConceptProperty_90","Unit of Weight"
"True","388acf21-5dab-4402-91ef-953146e20d92","decimal","Vital Signs Result","True","[]","BiomedicalConceptProperty_91","Vital Signs Result"
"True","7da1673a-1826-4fd5-b1b7-a3dfdb84ec22","string","Unit of Height","True","","BiomedicalConceptProperty_92","Unit of Height"
"True","8c29d82c-fec8-4732-97e9-17260570e049","decimal","Laboratory Test Result","True","[]","BiomedicalConceptProperty_93","Laboratory Test Result"
"True","130a902b-6c78-44a0-9612-e2f8c82c6956","boolean","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_94","Laboratory Test Fasting Status"
"True","52ae1995-e5a9-49ba-911d-86d1a7fcf03e","string","Unit of Catalytic Activity Concentration","True","[]","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration"
"True","1ada9d00-ec14-4756-ab31-561a4f9ec3b6","string","Biospecimen Type","True","[]","BiomedicalConceptProperty_96","Biospecimen Type"
"True","272c267f-7682-4c7d-b9e1-24be0485b63b","string","Laboratory Test Result","True","[]","BiomedicalConceptProperty_97","Laboratory Test Result"
"True","b174ad1d-1df4-4693-bd71-d9f716672a44","boolean","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_98","Laboratory Test Fasting Status"
"True","259c7c84-4957-4318-a0da-22943867f692","string","Unit of Concentration","True","[]","BiomedicalConceptProperty_99","Unit of Concentration"
"True","aadc5303-351b-48c1-8c8c-1e85e03ca4d0","string","Biospecimen Type","True","[]","BiomedicalConceptProperty_100","Biospecimen Type"
"True","86d0978c-1847-49ae-863a-afbdf2f466ea","decimal","Laboratory Test Result","True","[]","BiomedicalConceptProperty_101","Laboratory Test Result"
"True","2fd80ad6-c671-479a-ac46-271d56e58e8d","boolean","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_102","Laboratory Test Fasting Status"
"True","53f42dfd-0b99-44a8-847d-b98919fe3a55","string","Unit of Catalytic Activity Concentration","True","[]","BiomedicalConceptProperty_103","Unit of Catalytic Activity Concentration"
"True","e57ddce2-023c-41c6-a9df-4356bf88002d","string","Biospecimen Type","True","[]","BiomedicalConceptProperty_104","Biospecimen Type"
"True","4daf00fa-3f51-4b6e-911d-7a5221be3311","decimal","Laboratory Test Result","True","[]","BiomedicalConceptProperty_105","Laboratory Test Result"
"True","193945da-6160-4851-9aff-cf7c822b40d7","boolean","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_106","Laboratory Test Fasting Status"
"True","ca5d96e7-a574-4507-9756-ddece7aea685","string","Unit of Catalytic Activity Concentration","True","[]","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration"
"True","30b9758c-6b26-4a97-9eb8-419dc614159c","string","Biospecimen Type","True","[]","BiomedicalConceptProperty_108","Biospecimen Type"
"True","3b58528a-387c-47b2-86da-30c7036fd3e1","string","Laboratory Test Result","True","[]","BiomedicalConceptProperty_109","Laboratory Test Result"
"True","7bcd4f51-3109-4aa4-9207-1c612265ff8d","boolean","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_110","Laboratory Test Fasting Status"
"True","d91587f6-5f3c-4ff6-a41b-af2a860661e1","string","Unit of Concentration","True","[]","BiomedicalConceptProperty_111","Unit of Concentration"
