"uuid:ID","name","text","id","label","description"
"c04d5709-b0d3-49f0-a145-c0c5bfebcbd0","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","",""
"66f282fa-4ff2-4307-b8e5-89ffb4fbd6c1","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","",""
"34217b64-e71f-4248-97f0-f4dc6aff8c77","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","",""
"b518b241-4085-4f39-a299-cd6f8afa1042","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","",""
"d49aa180-46d7-400b-9c55-85de21f22110","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","",""
"94247e89-5e23-4c7e-893e-8936d813c446","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","",""
"bac0f027-389a-450f-8543-d7ee743d1c14","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","",""
"be2cf2a2-3010-49a1-8212-baa7ba0575f0","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","",""
"67ed902d-416f-4ed6-8189-f5af17238baf","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","",""
"1be9c449-88a1-46ce-9e70-6dc4158eead3","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","",""
"bedb6ceb-99c3-423a-84fb-e4ad91a772e5","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","",""
"67b194da-58bf-497f-a3d2-931c70d3e3ef","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","",""
"e2265c96-d72e-4af3-ab1b-c713de942756","ELEMENT_START_RULE_4","Randomized","TransitionRule_11","",""
"5730f034-4f89-4473-83b8-e7b9ec952e94","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","",""
"f1e3e6ca-2c26-461a-9b25-5b95bd41ddd7","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","",""
