"code","codeSystem","decode","id","codeSystemVersion","uuid:ID"
"C98388","http://www.cdisc.org","Interventional Study","Code_1","2023-09-29","2cf0dd14-6b77-46d4-af94-c05b1444a49b"
"C15601","http://www.cdisc.org","Phase II Trial","Code_2","2023-09-29","c1245747-ead5-4fd6-b2af-9427b93ebb42"
"C132352","http://www.cdisc.org","Sponsor Approval Date","Code_5","2023-09-29","63e0fe05-2964-49da-ad49-a8bb7c283677"
"C68846","http://www.cdisc.org","Global","Code_6","2023-09-29","ff23eec5-673a-4819-b648-4e2ec772eb25"
"C99904x3","http://www.cdisc.org","IRB/IEC Feedback","Code_54","2023-09-29","386d102a-d50f-4c16-8c8b-d81a817270fc"
"C17649","http://www.cdisc.org","Other","Code_55","2023-09-29","8574e88a-c855-438f-af50-c24d3144ae16"
"C41129","http://www.cdisc.org","Region","Code_57","2023-09-29","57056815-b10f-4139-ba22-2930a799996c"
"150","ISO 3166 1 alpha3","Europe","Code_56","2020-08","c32d78e9-8101-40c7-b743-9fcbe1638ca9"
"C25464","http://www.cdisc.org","Country","Code_59","2023-09-29","785d4dc4-3f04-4750-be9f-e171a3231be9"
"DNK","ISO 3166 1 alpha3","Denmark","Code_58","2020-08","06df97ba-f255-4f4f-b755-81132136ce7a"
"PHARMA","SPONSOR","Eli Lilly","Code_3","12","f896b7c6-e7ae-4dcd-83f5-c61792347976"
"C70793","http://www.cdisc.org","Clinical Study Sponsor","Code_60","2023-09-29","10bafa75-090d-4521-a967-9b86ce09e4f9"
"USA","ISO 3166 1 alpha3","United States of America","Code_61","2020-08","fb3f1155-96d1-4097-ade7-26a6e252518a"
"C93453","http://www.cdisc.org","Study Registry","Code_62","2023-09-29","63ee4f94-e69a-41fd-a754-6bf1aabd8725"
"C49656","http://www.cdisc.org","Treatment Study","Code_120","2023-09-29","b9c3c904-64f4-4812-a3ff-66b8796f2020"
"C49666","http://www.cdisc.org","Efficacy Study","Code_121","2023-09-29","98bfeeab-7731-46af-bdad-b099bce6916d"
"C49667","http://www.cdisc.org","Safety Study","Code_122","2023-09-29","c83ef340-4850-403f-8d73-e62bb3c56991"
"C49663","http://www.cdisc.org","Pharmacokinetic Study","Code_123","2023-09-29","1d65f4fd-c01d-4cb6-8d3f-4adac4bfcb96"
"MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer\'s Disease","Code_117","12","cc42c767-b6e7-40c1-8bcf-1bbe060707b5"
"26929004","SNOMED","Alzheimer\'s disease","Code_118","January 31, 2018","d8244d51-f4d6-4326-bf92-f5a0e6edcd3a"
"C82639","http://www.cdisc.org","Parallel Study","Code_124","2023-09-29","a4a96a76-ca45-4f00-b72f-f6aa53239c3a"
"C25716","http://www.cdisc.org","Visit","Code_66","2023-09-29","84cacefd-b230-4157-af3a-10074c03d594"
"C51282","http://www.cdisc.org","Clinic","Code_67","2023-09-29","ffd975a7-1eb2-48d3-a472-48a575ebb13f"
"C175574","http://www.cdisc.org","In Person","Code_68","2023-09-29","09f98883-d0f9-4bf0-a067-96380ba86923"
"C25716","http://www.cdisc.org","Visit","Code_69","2023-09-29","17cd2af1-67b2-436b-ba75-48f667577a8c"
"C51282","http://www.cdisc.org","Clinic","Code_70","2023-09-29","c9caa9d8-854f-4e41-b602-28f4f7cf074a"
"C175574","http://www.cdisc.org","In Person","Code_71","2023-09-29","e180969e-d90b-4485-8ae2-72727bd29d9a"
"C25716","http://www.cdisc.org","Visit","Code_72","2023-09-29","7e0699f8-5ae5-4cbb-b786-0eb7c3a9ecd8"
"C51282","http://www.cdisc.org","Clinic","Code_73","2023-09-29","9d962579-83f2-452b-bd72-5ef316d9d418"
"C175574","http://www.cdisc.org","In Person","Code_74","2023-09-29","f17494f7-ec4e-4d96-93ac-78b750d1443e"
"C25716","http://www.cdisc.org","Visit","Code_75","2023-09-29","86a26d49-d1c7-4360-9261-748b2657d4a3"
"C51282","http://www.cdisc.org","Clinic","Code_76","2023-09-29","955eac72-ba90-4fb6-a09c-7c4111f78748"
"C175574","http://www.cdisc.org","In Person","Code_77","2023-09-29","a1fd379a-18ef-46d6-9f75-aa2bc35c37f2"
"C25716","http://www.cdisc.org","Visit","Code_78","2023-09-29","19cf9ef7-cb14-4373-ac22-6fc7122d18cd"
"C51282","http://www.cdisc.org","Clinic","Code_79","2023-09-29","a51a9d5c-465e-437f-8b1d-1f711cf8902c"
"C175574","http://www.cdisc.org","In Person","Code_80","2023-09-29","e960eccf-b3ed-4f61-808a-d4de73b063de"
"C25716","http://www.cdisc.org","Visit","Code_81","2023-09-29","2d04e666-096d-4cd4-8551-5eeb7c17db14"
"C51282","http://www.cdisc.org","Clinic","Code_82","2023-09-29","f2c08018-c38a-4acf-ba8a-525b33c3a0ce"
"C175574","http://www.cdisc.org","In Person","Code_83","2023-09-29","cbf20c8d-87fa-4be0-b328-a8cecca286bd"
"C25716","http://www.cdisc.org","Visit","Code_84","2023-09-29","d5d8166f-ec1b-41a0-9506-656a13165fd8"
"C51282","http://www.cdisc.org","Clinic","Code_85","2023-09-29","4ab004e8-b988-449b-8f22-fc277dd51905"
"C175574","http://www.cdisc.org","In Person","Code_86","2023-09-29","2ba7d542-979a-406c-ad33-04146e1b0753"
"C171537","http://www.cdisc.org","Telephone Call","Code_87","2023-09-29","39dcc9df-be1e-4fd8-a79d-39d2afc6ab8a"
"C25716","http://www.cdisc.org","Visit","Code_88","2023-09-29","451ad455-687b-4d03-8181-0bbce7f5d3df"
"C51282","http://www.cdisc.org","Clinic","Code_89","2023-09-29","15b8867e-db26-4d97-9a14-4d225aebdc83"
"C175574","http://www.cdisc.org","In Person","Code_90","2023-09-29","a207bba8-8fc5-4f5d-b47d-77e0b0741682"
"C171537","http://www.cdisc.org","Telephone Call","Code_91","2023-09-29","7b5c5a63-815a-4816-896b-cdbf3deef585"
"C25716","http://www.cdisc.org","Visit","Code_92","2023-09-29","1ae5a65f-2536-4bfa-ba82-5a66c5fb5e65"
"C51282","http://www.cdisc.org","Clinic","Code_93","2023-09-29","aa5e9d23-c8bf-4519-bb2a-513ea8ba6b5c"
"C175574","http://www.cdisc.org","In Person","Code_94","2023-09-29","20c1091d-3132-406d-a718-02ae5c9f99f0"
"C171537","http://www.cdisc.org","Telephone Call","Code_95","2023-09-29","c6fabc15-32fe-4701-8bcc-69b4d88c7f7b"
"C25716","http://www.cdisc.org","Visit","Code_96","2023-09-29","6ab41587-d37d-4c69-92a6-5e53ce22a180"
"C51282","http://www.cdisc.org","Clinic","Code_97","2023-09-29","233ae11e-e622-4f47-a9b6-6287849616c3"
"C175574","http://www.cdisc.org","In Person","Code_98","2023-09-29","26fc64dc-5526-4fa8-94a0-586f5b6bdbc6"
"C171537","http://www.cdisc.org","Telephone Call","Code_99","2023-09-29","8f6bdefd-487a-49e3-b63e-0aa9f1129139"
"C25716","http://www.cdisc.org","Visit","Code_100","2023-09-29","690f0558-988b-4d84-a4e8-12834d6aeccb"
"C51282","http://www.cdisc.org","Clinic","Code_101","2023-09-29","313568b6-1acd-4475-b158-5b504a8c9062"
"C175574","http://www.cdisc.org","In Person","Code_102","2023-09-29","167033c3-de0b-4b91-bb7c-0787130bcdd4"
"C25716","http://www.cdisc.org","Visit","Code_103","2023-09-29","8108e356-0613-4dc9-b124-2d2bb82eeca7"
"C51282","http://www.cdisc.org","Clinic","Code_104","2023-09-29","bec6c0f8-9526-44c6-9819-7d37f0ffb501"
"C175574","http://www.cdisc.org","In Person","Code_105","2023-09-29","f1955a20-49c6-4e76-be8d-f3c39f7c87be"
"383371000119108","SNOMED","CT of head without contrast","Code_63","January 31, 2018","dd61be2a-120b-486a-a090-31a96b4037cf"
"123","SPONSOR","Supine for 5 minutes","Code_64","12","fc79d3a2-f51e-4d8a-8b0d-0bc90554ecc0"
"124","SPONSOR","Standingfor 1-3 minutes","Code_65","12","fd78f2f9-ed58-46df-afca-48345fc43a5c"
"C173522","NCI Thesaurus","Vital Signs Result","Code_244","","54328889-bba1-4aa1-88c2-824406db900b"
"C42537","http://www.cdisc.org","Kelvin","Code_245","2023-09-29","9bf14ebb-e185-45d0-a199-b64a5cc94f83"
"C44276","NCI Thesaurus","Unit of Temperature","Code_246","","f3b2da17-70f3-4d0c-91fb-6f08b38d5f8a"
"C83088","NCI Thesaurus","Vital Signs Location","Code_247","","31bd0aff-a206-43a0-8f5d-338725b85f95"
"C174446","NCI Thesaurus","Body Temperature","Code_243","","43963851-523c-4fae-8794-ea862ad77f46"
"C173522","NCI Thesaurus","Vital Signs Result","Code_249","","a8f7bbc2-3217-42d4-9bcc-2b84231a593d"
"C28252","http://www.cdisc.org","Kilogram","Code_250","2023-09-29","4996c7f6-8a92-4b3b-b01e-9d954b7d0c21"
"C48155","http://www.cdisc.org","Gram","Code_251","2023-09-29","e9f3d4e6-ce64-4ccc-acbc-4e1e48324fa1"
"C48531","http://www.cdisc.org","Pound","Code_252","2023-09-29","55c5452d-c92e-4843-a0b7-33ba35a2698f"
"C48208","NCI Thesaurus","Unit of Weight","Code_253","","13270f81-82c1-4b27-85d5-ffef36e5a4c2"
"C81328","NCI Thesaurus","Body Weight","Code_248","","d00b42b2-0a02-476b-861e-4113a55dc91a"
"C173522","NCI Thesaurus","Vital Signs Result","Code_255","","62f28f06-fc21-482d-8b7d-b91d056445fe"
"C49668","http://www.cdisc.org","Centimeter","Code_256","2023-09-29","f3349803-effb-480f-aa3e-40fe089b3949"
"C48500","http://www.cdisc.org","Inch","Code_257","2023-09-29","3d0aef61-8a73-4fa3-833e-d591f18b9192"
"C28251","http://www.cdisc.org","Millimeter","Code_258","2023-09-29","8c5f7c4a-e9d0-411b-b5ed-3314bb6ee836"
"C41139","http://www.cdisc.org","Meter","Code_259","2023-09-29","19179668-9ede-4055-8477-4812ca1aead2"
"C168688","NCI Thesaurus","Unit of Height","Code_260","","f6f42cb9-56d0-471f-99d5-15d6b19db708"
"C164634","NCI Thesaurus","Body Height","Code_254","","2c92a50a-dbb8-440c-9c12-f003b0b850af"
"C36292","NCI Thesaurus","Laboratory Test Result","Code_262","","3b529919-2f62-47af-988e-333a46e5e6e5"
"C83309","NCI Thesaurus","Laboratory Test Fasting Status","Code_263","","0a8a55d5-e139-480d-ac88-33a60f2a3d60"
"C67365","NCI Thesaurus","Unit of Catalytic Activity Concentration","Code_264","","d7cb6c9a-1363-4c65-9fc0-195d09398390"
"C70713","NCI Thesaurus","Biospecimen Type","Code_265","","9ebe5571-55dc-42a0-8b96-b4a19a2f953b"
