"isEnabled","uuid:ID","id","label","name","datatype","isRequired"
"True","4979b461-b38f-4fbc-97c6-406fee00bb87","BiomedicalConceptProperty_86","Vital Signs Result","Vital Signs Result","decimal","True"
"True","c078be6e-517c-4800-9f24-a646462bbde1","BiomedicalConceptProperty_87","Unit of Temperature","Unit of Temperature","string","True"
"True","b11e840f-db72-43a4-895d-93f762911923","BiomedicalConceptProperty_88","Vital Signs Location","Vital Signs Location","string","True"
"True","5a9c1234-09f3-498d-91a4-6e3dac365711","BiomedicalConceptProperty_89","Vital Signs Result","Vital Signs Result","decimal","True"
"True","a1614551-67ca-425b-959d-deae84688945","BiomedicalConceptProperty_90","Unit of Weight","Unit of Weight","string","True"
"True","46741c8c-71de-4c0d-bea2-5924e7f04cd6","BiomedicalConceptProperty_91","Vital Signs Result","Vital Signs Result","decimal","True"
"True","451146cd-cc0f-4264-9df7-4cf1ae4fcc0a","BiomedicalConceptProperty_92","Unit of Height","Unit of Height","string","True"
"True","8162549b-ba9b-4238-bda9-1bfe7aba7628","BiomedicalConceptProperty_93","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","83663a4c-8813-4315-932c-74885d32d12e","BiomedicalConceptProperty_94","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","39f94aba-6d8f-40d9-8f3d-b46a134e84fa","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True"
"True","dd10b6f7-d02a-4abd-bbec-7b64178db90a","BiomedicalConceptProperty_96","Biospecimen Type","Biospecimen Type","string","True"
"True","e1fb3a0c-5afa-4f05-a6d8-5a00f03bd856","BiomedicalConceptProperty_97","Laboratory Test Result","Laboratory Test Result","string","True"
"True","a85d7d63-0978-4f5a-9282-ec0f5ddc0683","BiomedicalConceptProperty_98","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","12b48922-6cce-4795-9885-12fef21a3fe4","BiomedicalConceptProperty_99","Unit of Concentration","Unit of Concentration","string","True"
"True","bff1200b-6a84-4520-ad4f-87aef0151c0d","BiomedicalConceptProperty_100","Biospecimen Type","Biospecimen Type","string","True"
"True","7e91e0cc-dad2-4841-b1db-3771002c8165","BiomedicalConceptProperty_101","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","73ce75b1-7fbc-4660-9295-968b90fb3907","BiomedicalConceptProperty_102","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","69a95bfb-1259-4883-b8b2-774358fc3a89","BiomedicalConceptProperty_103","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True"
"True","4d2697b3-eade-4b9e-bdb8-43a41979c513","BiomedicalConceptProperty_104","Biospecimen Type","Biospecimen Type","string","True"
"True","f208031e-0902-45c3-aef0-f55b54292338","BiomedicalConceptProperty_105","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","1b81eebd-310f-48d1-958b-eb335e7927e4","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","6d52564e-388d-46cd-a130-d77594d446e7","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True"
"True","c29a09e8-a1f2-4403-bcf1-9d57cd4e58b9","BiomedicalConceptProperty_108","Biospecimen Type","Biospecimen Type","string","True"
"True","200a683d-78f0-4726-aa28-5f8507e361f6","BiomedicalConceptProperty_109","Laboratory Test Result","Laboratory Test Result","string","True"
"True","ed637df8-2f1a-4832-9819-c8be4e0731ef","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","321a894a-48c3-4601-a270-a37be6c017a3","BiomedicalConceptProperty_111","Unit of Concentration","Unit of Concentration","string","True"
"True","50019524-d424-4b62-9be5-72020ff36a5c","BiomedicalConceptProperty_112","Biospecimen Type","Biospecimen Type","string","True"
"True","a1df35d9-5ae4-4948-84b4-21994c69e523","BiomedicalConceptProperty_113","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","ba0c4277-bdb4-4c19-84af-f9df51906894","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","e2d7d067-f958-4ebc-be8b-16f0bf17d863","BiomedicalConceptProperty_115","Molarity Unit","Molarity Unit","string","True"
"True","e58e7c2a-0627-4ed3-92f2-1aebb91165ec","BiomedicalConceptProperty_116","Biospecimen Type","Biospecimen Type","string","True"
"True","27e12515-6118-44e0-936a-8616b9195c56","BiomedicalConceptProperty_117","Laboratory Test Result","Laboratory Test Result","decimal","True"
"True","e952d157-2997-457b-b6b1-93cf108d0cac","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True"
"True","aa16ae82-38d3-4520-85a0-06689727a9e1","BiomedicalConceptProperty_119","Molarity Unit","Molarity Unit","string","True"
"True","f21b7eb1-9a29-415e-aebc-409b9e98a10e","BiomedicalConceptProperty_120","Biospecimen Type","Biospecimen Type","string","True"
"True","d6c0885f-923c-4152-ac82-1fd3a974a02a","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","Adverse Event Verbatim Description","string","True"
"True","2b317740-3b5d-4830-a5c2-007652718d4d","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","string","True"
"True","314df1b9-67fc-4c13-8d27-470e01177b0c","BiomedicalConceptProperty_3","Adverse Event Category","Adverse Event Category","string","True"
"True","35820163-e54f-4d3a-bed8-8253e2a6b1f0","BiomedicalConceptProperty_4","Adverse Event Subcategory","Adverse Event Subcategory","string","True"
"True","3576ec1f-f9a0-495c-80e6-38385910b71b","BiomedicalConceptProperty_5","Adverse Event Pre-specified","Adverse Event Pre-specified","boolean","True"
"True","5c48c9af-7206-4b91-98b0-1e1ba281fd95","BiomedicalConceptProperty_6","Severity of Adverse Event","Severity of Adverse Event","string","True"
"True","49c1d2aa-1a57-47dd-9251-6745f3c24280","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","string","True"
