"synonyms","uuid:ID","id","reference","label","name"
"['Temperature']","47e43a65-d16b-40fd-9a57-1dedf2bcc483","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature"
"['Weight']","041b79ec-bb45-4b96-8c73-bb20f4a2cc1e","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight"
"['Height']","b10cc12a-1d3d-4c9f-ac3e-740fa137b76a","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height"
"['ALT', 'SGPT']","0e7e80ea-5630-4cb0-b225-3067615ca5c1","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"['Albumin']","9e378cb0-2b2f-4580-b1d8-e32bf698ed6f","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement"
"['Alkaline Phosphatase']","93ef9efc-24bb-4a9e-8b53-5c7d473b5ee7","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","d382d085-e3c8-4131-aed1-7235c619088e","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"['Creatinine']","922de4f5-0ea8-4673-97c7-89b68df0aeee","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement"
"['Potassium', 'K']","9b263c41-b991-4153-b82b-510013cb2151","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement"
"['Sodium', 'NA']","4a2dd7d7-e267-4d02-965d-93759b5652a3","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement"
"['Adverse Event Reported Term', 'AETERM']","1ac4eb5e-134d-41f1-81ef-30344dedfd5a","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","Adverse Event"
"['SYSBP']","782e9e8d-9ee5-4856-8e12-6b91a7c8e044","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP']","e96f247c-f62f-4017-994e-db09e16b4d54","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure"
"['Temperature']","d952cbfd-c558-45a5-b20f-12494495fc26","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature"
"['Weight']","7e7f9e59-c79d-4747-a059-093e3ae2c793","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight"
"['Height']","ac839aca-5b3d-47a7-8e3f-798648b58560","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height"
"['ALT', 'SGPT']","9a89f9d5-ae5e-47a6-9dbe-4035c2d98440","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"['Albumin']","1582b01d-0539-4219-a63d-4303eb9b8da4","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement"
"['Alkaline Phosphatase']","9d298cd1-9fa7-41f1-a962-36a034667cb9","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","cd1de590-cc8c-42fe-9ca7-e4841911137d","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"['Creatinine']","a6391f0b-49dc-414c-a4cf-b7428babbaa1","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement"
