"codeSystem","code","uuid:ID","decode","id","codeSystemVersion"
"http://www.cdisc.org","C98388","fb5aca9b-4f78-407e-b421-1a46711eaf46","Interventional Study","Code_1","2023-09-29"
"http://www.cdisc.org","C15601","ad4afb04-190d-4dfa-89a8-9b1ff31ff5a5","Phase II Trial","Code_2","2023-09-29"
"http://www.cdisc.org","C132352","5cfc9e79-3843-4be4-be53-b6266e228043","Sponsor Approval Date","Code_5","2023-09-29"
"http://www.cdisc.org","C68846","d509911d-4c3a-48d9-be83-cf7aa677b29c","Global","Code_6","2023-09-29"
"http://www.cdisc.org","C99904x3","4d96d447-5785-452c-9d65-3c03b23fbd96","IRB/IEC Feedback","Code_65","2023-09-29"
"http://www.cdisc.org","C17649","bfc3a901-a860-4a76-b8c6-779dd4360654","Other","Code_66","2023-09-29"
"http://www.cdisc.org","C41129","3a9f4800-216f-46df-807d-aa0f0aeb1e19","Region","Code_68","2023-09-29"
"ISO 3166 1 alpha3","150","4d966417-ad24-4cc1-b64d-875777cbd4f4","Europe","Code_67","2020-08"
"SPONSOR","PHARMA","6507a548-b4b5-462f-84f2-c1f8e2873a77","Eli Lilly","Code_3","12"
"http://www.cdisc.org","C70793","b8e043bc-6033-49a2-8929-1fd31d26172a","Clinical Study Sponsor","Code_69","2023-09-29"
"ISO 3166 1 alpha3","USA","02320623-82b7-499a-ab4c-07116ce21b16","United States of America","Code_70","2020-08"
"http://www.cdisc.org","C93453","f4069b6c-2e1f-476a-aad9-04f501e235da","Study Registry","Code_71","2023-09-29"
"http://www.cdisc.org","C49656","1b9f6c0f-0c44-48bb-ab8c-80e16b86c066","Treatment Study","Code_129","2023-09-29"
"http://www.cdisc.org","C49666","2234da6c-30c6-45df-b0db-b7e442e5ee17","Efficacy Study","Code_130","2023-09-29"
"http://www.cdisc.org","C49667","e10ad35c-5fb8-479b-b81e-eb1fca08a8a8","Safety Study","Code_131","2023-09-29"
"http://www.cdisc.org","C49663","1031fdf8-d8dd-4ebc-8d8b-c08809441e3d","Pharmacokinetic Study","Code_132","2023-09-29"
"SPONSOR","MILD_MOD_ALZ","fc877b29-6dbe-4bd6-b616-364cd7f37831","Mild to Moderate Alzheimer\'s Disease","Code_126","12"
"SNOMED","26929004","f962c1db-a2a0-4ac5-bef0-a61f890359d7","Alzheimer\'s disease","Code_127","January 31, 2018"
"http://www.cdisc.org","C82639","74bddb8e-58eb-4c0d-95eb-c1b2995e26f9","Parallel Study","Code_133","2023-09-29"
"http://www.cdisc.org","C25716","a937a4a7-254b-4676-b295-82ce612415e6","Visit","Code_75","2023-09-29"
"http://www.cdisc.org","C51282","406c5fbf-31c0-4d7a-8dd6-18b06b664f65","Clinic","Code_76","2023-09-29"
"http://www.cdisc.org","C175574","f81df2e9-fade-433e-8ad8-a9fefbf9f08f","In Person","Code_77","2023-09-29"
"http://www.cdisc.org","C25716","f9f70878-eb3f-489a-937e-fea8c6970889","Visit","Code_78","2023-09-29"
"http://www.cdisc.org","C51282","39fc284d-d8e0-4dbc-ae87-786de34055bc","Clinic","Code_79","2023-09-29"
"http://www.cdisc.org","C175574","3fc21c85-2764-4bff-b775-dfd34ee6b224","In Person","Code_80","2023-09-29"
"http://www.cdisc.org","C25716","58eb35fb-c3be-4a24-8a0e-7ea9e60e5675","Visit","Code_81","2023-09-29"
"http://www.cdisc.org","C51282","780f4f47-01fc-4953-87e4-11c0dc8f7021","Clinic","Code_82","2023-09-29"
"http://www.cdisc.org","C175574","07021b93-82cd-4085-8642-05b147e8bcbb","In Person","Code_83","2023-09-29"
"http://www.cdisc.org","C25716","94a501e5-c779-438f-ac57-c7d9ff049516","Visit","Code_84","2023-09-29"
