"value","uuid:ID","windowLower","id","label","description","name","windowUpper","window"
"P2W","1a39bc1c-209f-4ef2-a548-e4cb90729628","","Timing_1","Screening","Screening timing","TIM1","",""
"P2D","25cd4675-ff1f-43c5-a377-97853bf7654d","PT4H","Timing_2","Pre dose","Pre dose timing","TIM2","PT0H","-4..0 hours"
"P1D","e9fd6727-cd92-4c4d-a2f9-425a2fa00adf","","Timing_3","Dosing","Dosing anchor","TIM3","",""
"P2W","79d7168f-843b-4ab4-aed1-893fd3fcfde2","P3D","Timing_4","Week 2","Week 2 timing","TIM4","P3D","-3..3 days"
"P4W","949345cf-e74a-4e49-9565-b90fde00d034","P3D","Timing_5","Week 4","Week 4 timing","TIM5","P3D","-3..3 days"
"P6W","ac716564-9f27-4ce2-b3cc-9e49b37af6ca","P3D","Timing_6","Week 6","Week 6 timing","TIM6","P3D","-3..3 days"
"P8W","768031b0-550b-4dbd-b894-8dc7574779e7","P3D","Timing_7","Week 8","Week 8 timing","TIM7","P3D","-3..3 days"
"P2W","10b964b2-8f96-4584-9932-c647354e79ac","","Timing_8","Week 8 Home","Week 8 at home timing","TIM8","",""
"P12W","2bd65c40-f1db-4020-904b-a2ba05b7359e","P4D","Timing_9","Week 12","Week 12 timing","TIM9","P4D","-4..4 days"
"P2W","3e3a47ce-b26f-4623-a182-f6bcfe4d83d7","","Timing_10","Week 12 Home","Week 12 at home timing","TIM10","",""
"P16W","d186786c-f4a3-47a8-89ea-95eb5d7db8ca","P4D","Timing_11","Week 16","Week 16 timing","TIM11","P4D","-4..4 days"
"P2W","72fc4ec1-3407-4a31-9b70-ec8ec232395f","","Timing_12","Week 16 Home","Week 16 at home timing","TIM12","",""
"P20W","112f1fe7-588c-402f-bd55-f61645ee9553","P4D","Timing_13","Week 20","Week 20 timing","TIM13","P4D","-4..4 days"
"P2W","e34288f3-7b12-4006-a6cd-21d912a80fca","","Timing_14","Week 20 Home","Week 20 at home timing","TIM14","",""
"P24W","2f5d07c1-2970-41cf-b3d2-1a74d847074a","P4D","Timing_15","Week 24","Week 24 timing","TIM15","P4D","-4..4 days"
"P26W","8d00d9cb-bf65-4356-b5d1-9c986476d5e0","P3D","Timing_16","Week 26","Week 26 timing","TIM16","P3D","-3..3 days"
"P1D","2f7b4a92-5f8a-4040-9fb0-bd9443c942e8","","Timing_17","Adverse Event","Adverse Event","TIM17","",""
"P1D","5e57a757-ff95-4aa8-be6d-a7604084e9aa","","Timing_18","Early Termination","Early Termination","TIM18","",""
"PT0M","d32009f1-e3eb-4cde-9e24-29b208089b24","","Timing_19","BP Anchor","BP Anchor","TIM19","",""
"PT5M","1c55f745-9240-416c-bc47-3da1bdae69f7","","Timing_20","BP while Supine","BP while Supine","TIM20","",""
"PT3M","78d8afec-cb85-4401-ad33-9b87792c5fc7","PT2M","Timing_21","BP Stand Up","BP Stand Up","TIM21","PT0M","-2..0 min"
"PT0M","2afce66f-5cd7-4414-8a82-81325c435284","","Timing_22","BP while standing","BP while standing","TIM22","",""
