"name","id","uuid:ID","text"
"ENCOUNTER_START_RULE_1","TransitionRule_1","139dcb63-ff10-452e-aae4-a557b4536ccf","Subject identifier"
"ENCOUNTER_START_RULE_1","TransitionRule_2","7e2a36df-c842-4a84-8ae2-275dd1f1ee3e","completion of screening activities"
"ENCOUNTER_START_RULE_2","TransitionRule_3","f1a50c4f-c849-4238-abb4-8e7346334c7c","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","TransitionRule_4","c2919437-f7e5-46b0-b815-3a9870546bd2","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","TransitionRule_5","c89aac81-175d-418c-ad8c-ed4fcd87698d","Radomized"
"ENCOUNTER_START_RULE_12","TransitionRule_6","ea3ce8b8-15b0-4643-bdaa-83aadfa5cd83","End of treatment"
"ELEMENT_START_RULE_1","TransitionRule_7","fa395fe3-692d-4381-99de-bdae176e5334","Informed consent"
"ELEMENT_END_RULE_1","TransitionRule_8","411437cf-0a2a-42a6-8d54-73a765277f30","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","TransitionRule_9","9f1fd5ce-eaa4-4989-83df-9963c4a6679e","Administration of first dose"
"ELEMENT_START_RULE_7","TransitionRule_14","d733e7cb-1faa-4d0d-ac8c-ceece4e0b3ed","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","TransitionRule_15","9828a49e-3bfb-4b99-9d14-4c72c4cb5fa6","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","TransitionRule_10","0070968b-2285-4717-b326-4c878dfa6c54","Administration of first dose"
"ELEMENT_START_RULE_4","TransitionRule_11","2f9cc0de-140a-4fa0-8ff0-3b7127d2c14d","Randomized"
"ELEMENT_START_RULE_5","TransitionRule_12","355c6941-d623-4138-b549-851c27c4be89","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","TransitionRule_13","e345a819-9999-49e8-93aa-6f00072b6296","Administration of first dose (from patches supplied at Visit 12)"
