"decode","codeSystem","uuid:ID","code","id","codeSystemVersion"
"Interventional Study","http://www.cdisc.org","1dd912e8-c5e0-4592-8bd6-42a4fc3281f6","C98388","Code_1","2023-09-29"
"Phase III Trial","http://www.cdisc.org","20d79db5-ac6b-43f4-97f7-1ad9f75eb6a4","C15602","Code_2","2023-09-29"
"Sponsor Approval Date","http://www.cdisc.org","daa68297-8490-4028-b3c6-7f00f551fb8e","C132352","Code_6","2023-09-29"
"Global","http://www.cdisc.org","3f5351f2-c7cf-426e-9ec0-a2a3c6da864c","C68846","Code_7","2023-09-29"
"Vacines Group","SPONSOR","84731c9c-b061-4668-bc5e-4eb5d99f66c9","VAC","Code_3","12"
"Regulatory","SPONSOR","1fb4bab2-1270-49ea-ba23-1c0d4a2acfeb","REG","Code_4","12"
"Study Registry","http://www.cdisc.org","856591b4-43e5-4a7b-9557-319117f9b6f3","C93453","Code_10","2023-09-29"
"United Kingdom of Great Britain and Northern Ireland","ISO 3166 1 alpha3","1d0e51be-6212-4845-9e0c-90c2a8fc4dce","GBR","Code_11","2020-08"
"Clinical Study Sponsor","http://www.cdisc.org","6964ebab-01f5-412a-9b49-b6ab33b48456","C70793","Code_12","2023-09-29"
"France","ISO 3166 1 alpha3","97b07835-8d57-404e-b926-f41c263dd206","FRA","Code_13","2020-08"
"Basic Research","http://www.cdisc.org","e5e1d0ac-e5cb-44c4-92d1-a9dca0a08889","C15714","Code_42","2023-09-29"
"Device Feasibility Study","http://www.cdisc.org","b6af4f88-891a-4d78-9797-678dc40d30cf","C139174","Code_43","2023-09-29"
"Efficacy Study","http://www.cdisc.org","e6105397-ac09-4062-93c3-0f680e6e91e2","C49666","Code_44","2023-09-29"
"Type 2 diabetes","SPONSOR","f9955aa0-1b07-4127-abb2-73e11f879c79","T2_DIABETES","Code_39","12"
"Diabetes mellitus (disorder)","SNOMED","54df1079-0866-4048-aacb-dc855538788d","73211009","Code_40","January 31, 2018"
"Parallel Study","http://www.cdisc.org","61dbe74a-083d-42e7-bc85-e899bbad505c","C82639","Code_45","2023-09-29"
"Visit","http://www.cdisc.org","dabc07d1-e93c-4c0e-bade-a7be1470fc03","C25716","Code_16","2023-09-29"
"Clinic","http://www.cdisc.org","44d467a3-ce40-437b-b89a-7b9e839c83f9","C51282","Code_17","2023-09-29"
"In Person","http://www.cdisc.org","f97f4cec-c833-4615-8c57-d3c3c6d42461","C175574","Code_18","2023-09-29"
"Visit","http://www.cdisc.org","e8f6abe3-c201-4950-a9f5-830d2ebf7c8d","C25716","Code_19","2023-09-29"
"Clinic","http://www.cdisc.org","b8502f04-4d91-40d3-ae17-17e8a42e4a5d","C51282","Code_20","2023-09-29"
"In Person","http://www.cdisc.org","020c9c31-d8d8-4b69-a3bf-3c8093ff97a5","C175574","Code_21","2023-09-29"
"Visit","http://www.cdisc.org","c4434790-10e4-4b06-a1cb-81f069d055af","C25716","Code_22","2023-09-29"
"Clinic","http://www.cdisc.org","491ccd6d-b76a-4225-b520-25da2a93ae93","C51282","Code_23","2023-09-29"
"In Person","http://www.cdisc.org","876533eb-48f1-4364-95ba-77b75ffb34ef","C175574","Code_24","2023-09-29"
"Visit","http://www.cdisc.org","ceb5ef24-2044-45fb-9ccf-032982821007","C25716","Code_25","2023-09-29"
"Clinic","http://www.cdisc.org","871fe375-ce50-445b-b8c3-58cc02f3508a","C51282","Code_26","2023-09-29"
"In Person","http://www.cdisc.org","31ef57d4-c7b6-4195-b012-ac31a5751042","C175574","Code_27","2023-09-29"
"Visit","http://www.cdisc.org","fa3823d5-3dcf-40fb-8796-8898024fc5c5","C25716","Code_28","2023-09-29"
"Home","http://www.cdisc.org","b9c9fc70-1872-4463-ab57-8c0211e0059b","C18002","Code_29","2023-09-29"
"Telephone Call","http://www.cdisc.org","42fcbddd-4a44-4ec9-929d-dd0b0c6bdc68","C171537","Code_30","2023-09-29"
"Male","http://www.cdisc.org","ae24f52a-ecd9-4d2a-a502-d616f7d0c3f2","C20197","Code_72","2023-09-29"
"Female","http://www.cdisc.org","28ab638e-f4c8-4a9e-ab26-321915479e47","C16576","Code_73","2023-09-29"
"Sex","NCI Thesaurus","8eda37af-5b57-4671-8d0b-90a293dfabd8","C28421","Code_74",""
"Sex","NCI Thesaurus","b9045017-d8d1-4538-ac91-257bf971cd2c","C28421","Code_71",""
"Race","NCI Thesaurus","ebd04e1a-a5cd-4c26-a20c-c7b5d7b1d3a3","C17049","Code_76",""
"Race","NCI Thesaurus","28026692-a0fc-49d4-ba88-766f22bb2b1f","C17049","Code_75",""
"Vital Signs Result","NCI Thesaurus","592a659f-6318-40ee-8ebd-cbcdca228581","C173522","Code_78",""
"Kilogram","http://www.cdisc.org","f2411418-efce-4815-89ae-d83d5d5c5109","C28252","Code_79","2023-09-29"
"Gram","http://www.cdisc.org","9e2d0ae8-6fc9-4dee-90b3-87fe2c71b780","C48155","Code_80","2023-09-29"
"Pound","http://www.cdisc.org","6432e91f-466a-45c7-af30-b4c920173e5d","C48531","Code_81","2023-09-29"
"Unit of Weight","NCI Thesaurus","b303bcac-29a5-4184-b43a-2416b8519fa3","C48208","Code_82",""
"Body Weight","NCI Thesaurus","55e06d10-6a32-428a-a720-eb8e4b29870a","C81328","Code_77",""
"Active Comparator Arm","http://www.cdisc.org","047cba0e-65da-449c-b75b-2c75234524e8","C174267","Code_31","2023-09-29"
"Data Generated Within Study","http://www.cdisc.org","30dd6008-c4c8-4825-9476-257f5bebaa21","C188866","Code_32","2023-09-29"
"Placebo Comparator Arm","http://www.cdisc.org","3cf132cf-31a3-49e3-8774-15bfab6a4470","C174268","Code_33","2023-09-29"
"Data Generated Within Study","http://www.cdisc.org","7810c384-de57-42bf-a034-6e353e6f5324","C188866","Code_34","2023-09-29"
"Open Label Study","http://www.cdisc.org","c498d6a9-9da1-4e6c-97d1-6b8106f73707","C49659","Code_41","2023-09-29"
"Trial Screening","http://www.cdisc.org","c8057d45-6b98-48fb-b372-bef454e78faf","C48262","Code_35","2023-09-29"
"Baseline Epoch","http://www.cdisc.org","679528ef-2055-41f2-8e2c-8c106b538883","C125938","Code_36","2023-09-29"
"Treatment Epoch","http://www.cdisc.org","3bac3193-3889-4f95-bdbd-9c9fe438b6ae","C101526","Code_37","2023-09-29"
"Clinical Study Follow-up","http://www.cdisc.org","7b528e1f-2c4f-4a57-903e-25d54ae0e0b2","C99158","Code_38","2023-09-29"
"Indication1","SNOMED","861dff57-39cb-422f-84f5-427ff427e0bc","12345","Code_83","January 31, 2018"
"Indication2","SNOMED","73595552-796f-4bdd-b37f-0558c1c11def","345678","Code_84","January 31, 2018"
"role1","M11","246e59db-4b32-4f4c-880f-1af862719d56","role1","Code_90","None set"
"Pharmacologic Substance","http://www.cdisc.org","1f7f9c3d-585e-4c9a-a0d2-099c03a06029","C1909","Code_91","2023-09-29"
"Day","http://www.cdisc.org","73538603-27ee-415e-946d-507592b9a91d","C25301","Code_94","2023-09-29"
"B","SPONSOR","cba2df31-5542-48a2-a944-81680d8146f0","A","Code_89","12"
"Percentage","http://www.cdisc.org","aa552493-3b91-43ef-bac9-0696a93aa121","C25613","Code_85","2023-09-29"
"Milligram","http://www.cdisc.org","03f44311-7fde-487d-bb50-cb8256e08525","C28253","Code_87","2023-09-29"
"Dental Route of Administration","http://www.cdisc.org","b6dce3eb-3160-4a7c-bf29-1d2f418457c1","C38197","Code_86","2023-09-29"
"Ten Days Per Month","http://www.cdisc.org","0013f70a-c12e-4cc3-a319-e3cb33409e1f","C139179","Code_88","2023-09-29"
"desig_1","M11","fe101e77-986d-44de-9e05-0d8aec224df9","desig1","Code_93","None set"
"B","FDA","42bc34a2-688b-48ee-865d-554e6b25b99d","A","Code_92","None set"
"role2","M11","373b1fe8-274b-41bb-b41f-fdd882a43191","role2","Code_100","None set"
"Pharmacologic Substance","http://www.cdisc.org","2046c0d7-2aa2-40e1-8f86-3b3925fa1ae1","C1909","Code_101","2023-09-29"
"Day","http://www.cdisc.org","7557e83f-be76-430c-8684-ba95d762b887","C25301","Code_104","2023-09-29"
"B","SPONSOR","1b0313a2-945d-48e2-80c4-0a989972d815","A","Code_99","12"
"Percentage","http://www.cdisc.org","aa1ef2ff-ced1-4bcd-89e6-2f6fb4f4517c","C25613","Code_95","2023-09-29"
"Milligram","http://www.cdisc.org","f5caa89e-99d2-431c-8ccd-be023f06bebd","C28253","Code_97","2023-09-29"
"Dental Route of Administration","http://www.cdisc.org","ba5c187c-a714-4196-b2d5-44e699e36742","C38197","Code_96","2023-09-29"
"Ten Days Per Month","http://www.cdisc.org","a65d1e56-013b-4056-b6e0-8d77c2781303","C139179","Code_98","2023-09-29"
"desig_2","M11","4e43d6cb-d3d5-4c5d-80a3-b4a5914718dc","desig2","Code_103","None set"
"B","FDA","15e523e8-789c-46cc-bf7c-d5c802d87be1","A","Code_102","None set"
"Trial Primary Objective","http://www.cdisc.org","31745879-687f-4dc1-b927-847ee085defb","C85826","Code_111","2023-09-29"
"Primary Endpoint","http://www.cdisc.org","dbbc15bc-481f-44ac-9c49-258923ae6a7c","C94496","Code_110","2023-09-29"
"Trial Secondary Objective","http://www.cdisc.org","5f5bc078-a0d1-489c-b1be-0c2ad27db025","C85827","Code_113","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","1bf70620-0fa3-46ac-86c7-e772ac260750","C139173","Code_112","2023-09-29"
"Secondary Endpoint","http://www.cdisc.org","79ba6cc3-af86-4e5d-9b36-65f1c926434d","C139173","Code_114","2023-09-29"
