"uuid:ID","text","instanceType","name","label","id","purpose","description"
"b545bab8-6c9f-41f1-8015-344f02bd7348","Clinical status assessed using a 7-category ordinal scale at Day 28","ENDPOINT","END1","","Endpoint_1","",""
"a316cfd6-4193-4e89-9d35-ca1629beeb07","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ENDPOINT","END2","","Endpoint_2","",""
"8975b0bf-a3e1-4f9f-a70c-b5926b9b3b86","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","ENDPOINT","END3","","Endpoint_3","",""
"47b9e4b8-f06c-43f2-ac3b-920c754b6608","Incidence of mechanical ventilation","ENDPOINT","END4","","Endpoint_4","",""
"b281bb0b-6d03-486d-a1b3-ee210a4970b0","Ventilator-free days to Day 28","ENDPOINT","END5","","Endpoint_5","",""
"5120adca-a2c3-45e6-9fb4-122580429fd6","Incidence of intensive care unit (ICU) stay","ENDPOINT","END6","","Endpoint_6","",""
"429bf579-713d-4de5-ab34-b62603dc340f","Duration of ICU stay","ENDPOINT","END7","","Endpoint_7","",""
"ceabe450-31cb-48fe-b68b-60d0a507d6a9","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","ENDPOINT","END8","","Endpoint_8","",""
"f1b89c9f-e061-4054-b992-83ce9194fb7c","Mortality rate at Days 7, 14, 21, 28, and 60","ENDPOINT","END9","","Endpoint_9","",""
"fc1c8655-0139-4b61-88f3-601e1094cccf","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","ENDPOINT","END10","","Endpoint_10","",""
"c34ec0b6-4fc1-426e-acc5-cf4c181df1f6","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","ENDPOINT","END11","","Endpoint_11","",""
"215f6bfe-846e-4058-8d11-fc4f4a8d0728","Duration of supplemental oxygen","ENDPOINT","END12","","Endpoint_12","",""
