"uuid:ID","text","name","sectionTitle","id","sectionNumber"
"79b0c680-b983-480c-a037-7be375abde34","","ROOT","Root","NarrativeContent_1","0"
"a5a144ae-b4b4-408e-9591-9200c4ea646c","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","SECTION 1","PROTOCOL SUMMARY","NarrativeContent_2","1"
"99f4cb79-10c1-47b7-8b8c-926e02d4e46f","<div></div>","SECTION 1.1","Protocol Synopsis","NarrativeContent_3","1.1"
"082497c6-465b-40a6-9816-60a3202f16e7","<div></div>","SECTION 1.2","Trial Schema","NarrativeContent_4","1.2"
"8b8ad943-d52e-4424-ab82-498bdd44169d","<div></div>","SECTION 1.3","Schedule of Activities","NarrativeContent_5","1.3"
"54f63e54-edea-47e7-8ca4-06a79a66215f","<div></div>","SECTION 2","INTRODUCTION","NarrativeContent_6","2"
"2ac5dd4b-e1ce-481d-a29f-6b87a0c4eb18","<div></div>","SECTION 2.1","Purpose of Trial","NarrativeContent_7","2.1"
"3d093f94-e056-4e61-bb7c-896edd6b887e","<div></div>","SECTION 2.2","Summary of Benefits and Risks","NarrativeContent_8","2.2"
"9810f310-0827-4b5e-8db5-810fed4a4b15","<div></div>","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9","3"
"84a03735-a5ee-48cf-aa12-82b90ec7b0c6","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","SECTION 3.1","Primary Objectives","NarrativeContent_10","3.1"
"d28de891-58be-4243-bc59-4bc7932d9758","<div></div>","SECTION 4","TRIAL DESIGN","NarrativeContent_11","4"
"e866db5d-a979-40f6-afb3-1ea73cc4b017","<div></div>","SECTION 4.1","Description of Trial Design","NarrativeContent_12","4.1"
"183cfac0-6e7b-414c-83f1-1b605452b2d7","<div></div>","SECTION 4.1.1","Participant Input into Design","NarrativeContent_13","4.1.1"
"ba859d95-553d-4b00-8dec-943325f667e5","<div></div>","SECTION 4.2","Rationale for Trial Design","NarrativeContent_14","4.2"
"47ad981a-4a5b-49fe-be3e-275ddfd76aad","<div></div>","SECTION 4.2.1","Rationale for Comparator","NarrativeContent_15","4.2.1"
"1251a3b2-b7b0-4c5c-b94c-b3478cfda5fe","<div></div>","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_16","4.2.2"
"78f7e433-d5bc-4ab9-8d3c-cf4c03161039","<div></div>","SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent_17","4.2.3"
"f446dbbb-39b2-4c55-a58f-6f2022b8a7f8","<div></div>","SECTION 4.3","Access to Trial Intervention After End of Trial","NarrativeContent_18","4.3"
"71f20995-8ed3-4945-baa3-fdd097c510b9","<div></div>","SECTION 4.4","Start of Trial and End of Trial","NarrativeContent_19","4.4"
"1a48dfa2-f25a-4b0c-8a08-27b5d2fbea71","<div></div>","SECTION 5","TRIAL POPULATION","NarrativeContent_20","5"
"d8e87127-7cdf-41ac-9d23-1f2dd6d077d0","<div></div>","SECTION 5.1","Selection of Trial Population","NarrativeContent_21","5.1"
"807f2e98-798c-46a9-af59-d3bd4dcd97d2","<div></div>","SECTION 5.2","Rationale for Trial Population","NarrativeContent_22","5.2"
"643af493-35d5-4629-b76c-83653a6a707b","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","SECTION 5.3","Inclusion Criteria","NarrativeContent_23","5.3"
"67d20b1a-c4ca-4c84-9913-68209085e260","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","SECTION 5.4","Exclusion Criteria","NarrativeContent_24","5.4"
"a4a447b5-79fc-452a-854a-3fad1b44576c","<div></div>","SECTION 5.5","Lifestyle Considerations","NarrativeContent_25","5.5"
"84362f7e-10bb-43d7-b8c6-917db9fc836b","<div></div>","SECTION 5.5.1","Meals and Dietary Restrictions","NarrativeContent_26","5.5.1"
"a13a8669-05df-4fd8-aff1-e98f9d6e7bdd","<div></div>","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27","5.5.2"
"10c99b7f-c541-4f5f-a0e8-0890cccd4cc8","<div></div>","SECTION 5.5.3","Physical Activity","NarrativeContent_28","5.5.3"
"af5bc100-3b21-419e-b33d-234f55342e7c","<div></div>","SECTION 5.5.4","Other Activity","NarrativeContent_29","5.5.4"
"ef07c57a-7674-4771-8fb2-330c62dc623e","<div></div>","SECTION 5.6","Screen Failures","NarrativeContent_30","5.6"
"e2d4c308-3851-4f07-9e51-ddd89901d198","<div></div>","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31","6"
"62f21df2-ca5e-40f6-b780-2cbe547f702c","<div></div>","SECTION 6.1","Description of Trial Intervention","NarrativeContent_32","6.1"
"2ea848c6-494c-4c37-b0c5-9fb5715f71b9","<div></div>","SECTION 6.2","Rationale for Trial Intervention","NarrativeContent_33","6.2"
"839efbee-cc9d-443e-85ce-7dcd5212cfb3","<div></div>","SECTION 6.3","Dosing and Administration","NarrativeContent_34","6.3"
"ce9af7a2-0a74-4db9-9459-9f244abd4718","<div></div>","SECTION 6.3.1","Trial Intervention Dose Modification","NarrativeContent_35","6.3.1"
"3bb0f79f-15d6-4212-a4ea-3191c219313b","<div></div>","SECTION 6.4","Treatment of Overdose","NarrativeContent_36","6.4"
"06544a5c-4aa8-4039-938e-612f49f3228f","<div></div>","SECTION 6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_37","6.5"
"1c2a84e0-031e-4d4f-a6fa-4d884257c9e2","<div></div>","SECTION 6.5.1","Preparation of Trial Intervention","NarrativeContent_38","6.5.1"
