"instanceType","uuid:ID","name","description","label","id"
"Encounter","6ab52584-cd13-48be-a77e-5063b88ee8e1","E1","Screening encounter","Screening 1","Encounter_1"
"Encounter","ad901636-b33d-4e47-9923-153dd969c2f4","E2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2"
"Encounter","25d8905c-58d7-485d-810f-6d60b1c906f9","E3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3"
"Encounter","1d7152bd-c824-4ed4-9f10-4be9a9aa2508","E4","Day 14","Week 2","Encounter_4"
"Encounter","46bffa34-d8cf-4007-b084-8a224ee574e2","E5","Day 28","Week 4","Encounter_5"
"Encounter","f501d1da-6f1e-4774-804f-a90aceee25cf","E7","Day 42","Week 6","Encounter_6"
"Encounter","1edccb52-1f50-460a-9960-6dd8926d2ab7","E8","Day 56","Week 8","Encounter_7"
"Encounter","48b8a550-26dd-4771-b255-c9abed748405","E9","Day 84","Week 12","Encounter_8"
"Encounter","76834034-d234-41d2-a1de-759413925212","E10","Day 112","Week 16","Encounter_9"
"Encounter","ae6aed45-1971-4e15-8fa9-2407fcd67062","E11","Day 140","Week 20","Encounter_10"
"Encounter","d7eadcf8-cdb5-4cf0-8bba-faf22372d2f4","E12","Day 168","Week 24","Encounter_11"
"Encounter","98153496-c663-48d4-9414-0df64cca1f87","E13","Day 182","Week 26","Encounter_12"
