"instanceType","window","uuid:ID","name","windowLower","description","value","windowUpper","label","id"
"Timing","","2fe55bbf-1180-4370-a3c9-bcd4fea8197d","TIM1","","Screening timing","P2W","","Screening","Timing_1"
"Timing","-4..0 hours","53be0e96-95d4-4703-9c06-05cc7f11af28","TIM2","PT4H","Pre dose timing","P2D","PT0H","Pre dose","Timing_2"
"Timing","","523083fd-75ec-4be1-ae30-ae17fd8e2894","TIM3","","Dosing anchor","P1D","","Dosing","Timing_3"
"Timing","-3..3 days","f3182d89-bfd0-49c1-97c2-62ea2f43f396","TIM4","P3D","Week 2 timing","P2W","P3D","Week 2","Timing_4"
"Timing","-3..3 days","6834d2f5-e01d-4084-ba3c-cecf4a27cc66","TIM5","P3D","Week 4 timing","P4W","P3D","Week 4","Timing_5"
"Timing","-3..3 days","c7d1cf29-daf1-4b05-9810-b6c9f3f28448","TIM6","P3D","Week 6 timing","P6W","P3D","Week 6","Timing_6"
"Timing","-3..3 days","aed18ec4-3997-4cc0-87ba-39213d1b92a3","TIM7","P3D","Week 8 timing","P8W","P3D","Week 8","Timing_7"
"Timing","-4..4 days","8fa08333-e293-4547-8283-91c72b66a918","TIM9","P4D","Week 12 timing","P12W","P4D","Week 12","Timing_9"
"Timing","-4..4 days","9851ad10-2fcb-4bdc-abfa-e570035aaf5a","TIM11","P4D","Week 16 timing","P16W","P4D","Week 16","Timing_11"
"Timing","-4..4 days","17162e1b-a5d5-44c1-9219-676948df0387","TIM13","P4D","Week 20 timing","P20W","P4D","Week 20","Timing_13"
"Timing","-4..4 days","6772efa7-89fa-4883-8d18-b39dc37e80c9","TIM15","P4D","Week 24 timing","P24W","P4D","Week 24","Timing_15"
"Timing","-3..3 days","d15f88dc-5733-4b90-97fb-16bb6fb7ffd8","TIM16","P3D","Week 26 timing","P26W","P3D","Week 26","Timing_16"
"Timing","","1e8002cb-dc6f-4ef5-bca1-f9a5ce9e4d7d","TIM8","","Week 8 at home timing","P2W","","Week 8 Home","Timing_8"
"Timing","","43f21873-6dbd-4ca2-a207-3e6fe84025fd","TIM10","","Week 12 at home timing","P2W","","Week 12 Home","Timing_10"
"Timing","","711d307c-cec4-4b53-a5de-4c67d1cb338a","TIM12","","Week 16 at home timing","P2W","","Week 16 Home","Timing_12"
"Timing","","1d8c75a6-a366-4c0e-b56f-99e9072c38eb","TIM14","","Week 20 at home timing","P2W","","Week 20 Home","Timing_14"
"Timing","","a71f29eb-247e-432a-adb4-8b91dcd928d3","TIM17","","Adverse Event","P1D","","Adverse Event","Timing_17"
"Timing","","fdd70ddc-c79a-4dc8-8811-90dbee64b538","TIM18","","Early Termination","P1D","","Early Termination","Timing_18"
"Timing","","e35d1e62-f5e3-4ff2-900d-52ffa236cb9f","TIM19","","Supine","PT0M","","Supine","Timing_19"
"Timing","","5ec61e10-20d1-4867-8ecc-89033d092647","TIM20","","VS while supine","PT5M","","VS while supine","Timing_20"
"Timing","","8330d7f6-b646-468c-bd7c-0c2d09402e66","TIM21","","Standing","PT0M","","Standing","Timing_21"
"Timing","","3b6ac0b5-1851-494b-9f95-0ccb19febbc4","TIM22","","VS while standing","PT1M","","VS while standing","Timing_22"
"Timing","","ca290f35-fcb0-4651-bcbc-6c8fbbf98789","TIM23","","Standing","PT0M","","Standing","Timing_23"
"Timing","","1aaa31ea-215a-408a-9a46-bfb1e4bd35b3","TIM24","","VS while standing","PT2M","","VS while standing","Timing_24"
