"instanceType","uuid:ID","text","name","id"
"TransitionRule","8a860b61-c0ae-4ba7-b063-a961071b90f4","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1"
"TransitionRule","e8185d75-dd4e-4fa8-bcfb-6f671c27960a","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2"
"TransitionRule","04bd97a0-8b0e-41aa-8a0f-3738fd90e55e","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3"
"TransitionRule","a83c8f1e-9152-4c43-9a39-4ebd0af22bfa","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4"
"TransitionRule","f0be43d4-a517-44db-8aeb-c65b615db212","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5"
"TransitionRule","64998876-ec0c-4b2b-814d-5d069620d281","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6"
"TransitionRule","3c152e66-6730-48cd-a2f4-bda7064fd13e","Informed consent","ELEMENT_START_RULE_1","TransitionRule_7"
"TransitionRule","24a39b44-82d2-4be7-864a-7ceeaa2dbe7f","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8"
"TransitionRule","5838ceba-a114-4fbe-bc2a-9c9a44921b48","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9"
"TransitionRule","49678c98-3767-42d0-a0dc-ccb82f6842c0","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14"
"TransitionRule","beb25bd7-120b-443d-8e9a-cda05451c85f","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15"
"TransitionRule","08402844-f9a2-4358-9b12-f52744c2f53e","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10"
"TransitionRule","fa2b185f-c234-4ab5-b62d-2f62aa1e0485","Randomized","ELEMENT_START_RULE_4","TransitionRule_11"
"TransitionRule","e1d990ae-a67f-441d-8fa0-00c87ee1c70d","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12"
"TransitionRule","980d605e-ad02-4ecf-bca2-67069179e9b3","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13"
