"text","name","sectionTitle","uuid:ID","sectionNumber","id"
"","ROOT","Root","1d0cdf39-ed6c-46d1-b305-db9afae43293","0","NarrativeContent_1"
"<div><usdm:section name=""M11-title-page""></div>","SECTION 0","TITLE PAGE","0b4eaad2-fad4-4c73-9bdd-190df9670d14","0","NarrativeContent_2"
"<div></div>","SECTION 1","PROTOCOL SUMMARY","6f8ee536-d4f5-49bc-a05f-286f2792fdf9","1","NarrativeContent_3"
"<div></div>","SECTION 1.1","Protocol Synopsis","6e60165f-c03b-472f-9631-e6b1a9e11e1c","1.1","NarrativeContent_4"
"<div></div>","SECTION 1.2","Trial Schema","36d39896-40c7-4657-803b-5a17804b2d9b","1.2","NarrativeContent_5"
"<div></div>","SECTION 1.3","Schedule of Activities","d3243acc-dbca-4313-8850-5ff8d3f8658a","1.3","NarrativeContent_6"
"<div></div>","SECTION 2","INTRODUCTION","21943915-817b-46e5-a58d-d33e175e93fc","2","NarrativeContent_7"
"<div></div>","SECTION 2.1","Purpose of Trial","d4c5d279-cb2a-4e8b-b894-29aa7794098d","2.1","NarrativeContent_8"
"<div></div>","SECTION 2.2","Summary of Benefits and Risks","61dfb2d9-fe13-4203-90e2-0b6dfd0ca688","2.2","NarrativeContent_9"
"<div></div>","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","fd3bedb9-6225-47dc-9c79-f8ee473ad24f","3","NarrativeContent_10"
"<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","Primary Objectives","17310211-b56b-430a-ba71-2b8407fbc99f","3.1","NarrativeContent_11"
"<div></div>","SECTION 4","TRIAL DESIGN","d8dfb55e-24a7-49a4-bf11-adca3d505be4","4","NarrativeContent_12"
"<div></div>","SECTION 4.1","Description of Trial Design","e1387eb8-e110-408e-ac63-4ac4294bcac1","4.1","NarrativeContent_13"
"<div></div>","SECTION 4.1.1","Participant Input into Design","d0ba2087-9476-4f55-994e-a08c2b8853ce","4.1.1","NarrativeContent_14"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","Rationale for Trial Design","79618e29-d974-4eac-8134-01278c03410f","4.2","NarrativeContent_15"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","Rationale for Comparator","7c55d28e-255f-4e05-8257-7cf0f06c44f5","4.2.1","NarrativeContent_16"
"<div></div>","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","758d84c6-d057-4858-95f1-62d27e3ee83b","4.2.2","NarrativeContent_17"
