"description","name","timingWindow","timingValue","label","timingWindowUpper","uuid:ID","id","timingWindowLower"
"Screening timing","TIM1","","P2W","Screening","","4e560af9-9dde-4bae-8f9b-73bdede9d693","Timing_1",""
"Pre dose timing","TIM2","-4..0 hours","P2D","Pre dose","PT0H","adc350f7-fd7a-4bea-8dc3-fd5a98cd32ba","Timing_2","PT4H"
"Dosing anchor","TIM3","","P1D","Dosing","","6a888cd7-65be-4932-a0b5-280dc66188fa","Timing_3",""
"Week 2 timing","TIM4","-3..3 days","P2W","Week 2","P3D","684b12d2-9388-467c-a241-6dfdb0dd78ff","Timing_4","P3D"
"Week 4 timing","TIM5","-3..3 days","P4W","Week 4","P3D","72a02efb-ed29-4352-a1e0-5ef5b4bc07c5","Timing_5","P3D"
"Week 6 timing","TIM6","-3..3 days","P6W","Week 6","P3D","b7f85cb4-e2b3-4139-aae6-e25560a864b6","Timing_6","P3D"
"Week 8 timing","TIM7","-3..3 days","P8W","Week 8","P3D","937e8985-3c1f-4ad1-ba69-60bfbe5e5910","Timing_7","P3D"
"Week 8 at home timing","TIM8","","P2W","Week 8 Home","","07856722-2603-4110-9b4b-99e2d78dad76","Timing_8",""
"Week 12 timing","TIM9","-4..4 days","P12W","Week 12","P4D","b0e4a7b6-e591-4f95-a766-701b49ec7185","Timing_9","P4D"
"Week 12 at home timing","TIM10","","P2W","Week 12 Home","","d112cbc9-f587-4266-818b-24ab0a8154fe","Timing_10",""
"Week 16 timing","TIM11","-4..4 days","P16W","Week 16","P4D","c477c819-af02-452f-b302-b6f4771c9547","Timing_11","P4D"
"Week 16 at home timing","TIM12","","P2W","Week 16 Home","","a30a4442-089b-4bd9-a933-1fd9c9b243e4","Timing_12",""
"Week 20 timing","TIM13","-4..4 days","P20W","Week 20","P4D","7c1d4d29-55fd-4781-9a7f-525f3e252648","Timing_13","P4D"
"Week 20 at home timing","TIM14","","P2W","Week 20 Home","","6ad15cd5-6c93-4a6b-a471-61b7a155dff7","Timing_14",""
"Week 24 timing","TIM15","-4..4 days","P24W","Week 24","P4D","fed56907-e815-4801-9d91-337897537c11","Timing_15","P4D"
"Week 26 timing","TIM16","-3..3 days","P26W","Week 26","P3D","20f7afe1-aede-440f-b758-ee14f86759ea","Timing_16","P3D"
"Adverse Event","TIM17","","P1D","Adverse Event","","aa59d620-b50b-4101-a250-b883da22fa1b","Timing_17",""
"Early Termination","TIM18","","P1D","Early Termination","","d77736da-7503-4965-b585-38e8df91c151","Timing_18",""
"BP Anchor","TIM19","","PT0M","BP Anchor","","66df4b94-dd06-4cd6-ab27-e7166faf3428","Timing_19",""
"BP while Supine","TIM20","","PT5M","BP while Supine","","7db0c128-ed0b-444e-accb-a4335e4f9c57","Timing_20",""
"BP Stand Up","TIM21","-2..0 mins","PT3M","BP Stand Up","PT0M","f970f65c-0c13-4958-b475-54e6e8b07204","Timing_21","PT2M"
"BP while standing","TIM22","","PT0M","BP while standing","","e150d3c1-e4ee-4d5c-9a03-a23468f21d86","Timing_22",""
