"uuid:ID","name","label","description","instanceType","id"
"f876f45c-4193-4ee7-8eba-1145f9ad1529","SCREEN1","Screen One","-","ScheduledActivityInstance","ScheduledActivityInstance_9"
"f6a9925e-3fd9-4547-838c-fc896fcc1788","SCREEN2","Screen Two","-","ScheduledActivityInstance","ScheduledActivityInstance_10"
"2d959d6f-d49d-42f1-b599-0d9c0f25fce0","DOSE","Dose","-","ScheduledActivityInstance","ScheduledActivityInstance_11"
"dbfc99f6-126f-49d4-bbd7-d689076a07ac","WK2","Week 2","-","ScheduledActivityInstance","ScheduledActivityInstance_12"
"89e4802a-4fff-4884-b733-7556740ed4d2","WK4","Week 4","-","ScheduledActivityInstance","ScheduledActivityInstance_13"
"6341a879-031d-41ab-bea8-a2eeb7539a11","WK6","Week 6","-","ScheduledActivityInstance","ScheduledActivityInstance_14"
"9121fca0-d26d-4693-af7d-8dafda5543d6","WK8","Week 8","-","ScheduledActivityInstance","ScheduledActivityInstance_15"
"475adfd7-126e-42c0-99f5-54c0bc463531","WK8N","Week NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_16"
"4566c608-4742-430f-8c30-a71e0d16e7e3","WK12","Week 12","-","ScheduledActivityInstance","ScheduledActivityInstance_17"
"5712acf6-2edb-4784-85fa-64bb5c082679","WK12N","Week 12 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_18"
"9e89c048-b30b-435d-98ba-db94a6816354","WK16","Week 16","-","ScheduledActivityInstance","ScheduledActivityInstance_19"
"f155104c-55ab-4214-8521-c921c7034cd0","WK16N","Week 16 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_20"
"3abefb56-5a0d-423d-9b6e-29480bb7bc2a","WK20","Week 20","-","ScheduledActivityInstance","ScheduledActivityInstance_21"
"abf151e2-6d58-4a82-b14c-0f28a1c9457d","WK20N","Week 20 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_22"
"933ffe93-8ba9-45ad-9a5f-bec968e59948","WK24","Week 24","-","ScheduledActivityInstance","ScheduledActivityInstance_23"
"72af6cf4-dfa2-4d82-9037-2d9890f656bb","WK26","Week 26","-","ScheduledActivityInstance","ScheduledActivityInstance_24"
"05b69a67-a7eb-4295-ab89-bfeea1e1c234","AE","Adevers Event","-","ScheduledActivityInstance","ScheduledActivityInstance_1"
"f24980b2-12fc-489f-8721-43597f4906c9","ET","Early Termination","-","ScheduledActivityInstance","ScheduledActivityInstance_2"
"a979893a-9add-4e90-9536-93255a67cbff","VS_5MIN","5 minute supine","","ScheduledActivityInstance","ScheduledActivityInstance_3"
"5b8b769a-db25-4eec-bff8-aa4088498469","VS_SUPINE","Vital signs supine","","ScheduledActivityInstance","ScheduledActivityInstance_4"
"3fbcfec6-149d-4a55-be69-e46b9a014965","VS_1MIN","1 minute standing","","ScheduledActivityInstance","ScheduledActivityInstance_5"
"9d5a0d82-b501-4d70-8da2-5f5007dd09ac","VS_STAND1","Vital signs after 1 min standing","","ScheduledActivityInstance","ScheduledActivityInstance_6"
"72233b4a-33e8-4065-b55e-f46f75df2eb9","VS_2MIN","2 minute standing","","ScheduledActivityInstance","ScheduledActivityInstance_7"
"16fc4268-6591-4ecf-a995-b8a05cc1f84e","VS_STAND3","Vital signs after 3 min standing","","ScheduledActivityInstance","ScheduledActivityInstance_8"
