"value","uuid:ID","windowUpper","valueLabel","windowLower","name","windowLabel","label","description","instanceType","id"
"P2W","59e58ad3-5bcf-47e8-b35b-195fdb70988f","","2 weeks","","TIM1","","Screening","Screening timing","Timing","Timing_1"
"P2D","ee5ab11d-34f2-45d0-96ce-fefcf23b5ac6","PT0H","2 days","PT4H","TIM2","-4..0 hours","Pre dose","Pre dose timing","Timing","Timing_2"
"P1D","c06dbb3b-811b-4d09-b820-801157d5831c","","1 Day","","TIM3","","Dosing","Dosing anchor","Timing","Timing_3"
"P2W","66ac916b-ffd7-4741-a33e-e6d46d9d0128","P3D","2 Weeks","P3D","TIM4","-3..3 days","Week 2","Week 2 timing","Timing","Timing_4"
"P4W","608fb40c-87aa-41b4-a15e-8cfa6f06ba15","P3D","4 Weeks","P3D","TIM5","-3..3 days","Week 4","Week 4 timing","Timing","Timing_5"
"P6W","042c6f66-e132-48e9-a64b-56cbeb69b9de","P3D","6 Weeks","P3D","TIM6","-3..3 days","Week 6","Week 6 timing","Timing","Timing_6"
"P8W","2d772ed4-a355-4786-9b44-e819cd950947","P3D","8 Weeks","P3D","TIM7","-3..3 days","Week 8","Week 8 timing","Timing","Timing_7"
"P12W","906d642f-7eea-407a-a8e4-d52639e3402d","P4D","12 Weeks","P4D","TIM9","-4..4 days","Week 12","Week 12 timing","Timing","Timing_9"
"P16W","dfd7270a-5487-456d-b3a9-4c16b8d3905f","P4D","16 Weeks","P4D","TIM11","-4..4 days","Week 16","Week 16 timing","Timing","Timing_11"
"P20W","f52b123a-2a61-4e3d-a212-2b4e32d65432","P4D","20 Weeks","P4D","TIM13","-4..4 days","Week 20","Week 20 timing","Timing","Timing_13"
"P24W","6d312d51-13a1-414c-a1e5-b2fc24589fb9","P4D","24 Weeks","P4D","TIM15","-4..4 days","Week 24","Week 24 timing","Timing","Timing_15"
"P26W","af851cf0-a3ec-47f9-ba70-d0014ecc0fd1","P3D","26 Weeks","P3D","TIM16","-3..3 days","Week 26","Week 26 timing","Timing","Timing_16"
"P2W","87d103c1-70bf-47b9-80b2-fdd136f3b8e7","","2 Weeks","","TIM8","","Week 8 Home","Week 8 at home timing","Timing","Timing_8"
"P2W","5d6ba891-2363-4b50-a126-373407597401","","2 Weeks","","TIM10","","Week 12 Home","Week 12 at home timing","Timing","Timing_10"
"P2W","8985325c-ce2c-4054-b5f9-a5fb755636b2","","2 Weeks","","TIM12","","Week 16 Home","Week 16 at home timing","Timing","Timing_12"
"P2W","8b653a0a-536f-46f0-8140-f6166ca00ead","","2 Weeks","","TIM14","","Week 20 Home","Week 20 at home timing","Timing","Timing_14"
"P1D","987d8c79-d08d-48c9-89f2-c48d4f5ccc71","","1 Day","","TIM17","","Adverse Event","Adverse Event","Timing","Timing_17"
"P1D","5f31ee59-811f-4341-bc4b-6c9693e9c839","","1 Day","","TIM18","","Early Termination","Early Termination","Timing","Timing_18"
"PT0M","5ec7e733-ad8c-4fee-a28c-0ae94aa9c5a4","","0 mins","","TIM19","","Supine","Supine","Timing","Timing_19"
"PT5M","9b4986fe-c3d2-4046-9f00-f29956e5b438","","5 mins","","TIM20","","VS while supine","VS while supine","Timing","Timing_20"
"PT0M","c02e927f-28b4-44b1-9016-116a76e66194","","0 min","","TIM21","","Standing","Standing","Timing","Timing_21"
"PT1M","4fd8cd3a-6607-4ba8-b3d5-c69690457b53","","1 min","","TIM22","","VS while standing","VS while standing","Timing","Timing_22"
"PT0M","8b41078b-be51-4e07-957d-5e625de611f5","","0 min","","TIM23","","Standing","Standing","Timing","Timing_23"
"PT2M","8559017d-f5e4-45d9-82d3-f1a5bfaf1f73","","2 min","","TIM24","","VS while standing","VS while standing","Timing","Timing_24"
