"uuid:ID","name","label","description","instanceType","id"
"0df41dff-1d82-4d44-a8ee-db80ed1a166a","E1","Screening 1","Screening encounter","Encounter","Encounter_1"
"73e5f45f-f3d0-4e34-af42-813714cd8d60","E2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2"
"1a56fcb2-9b44-4410-bbfe-df95627f7b5f","E3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3"
"7f86a2c6-2502-4e2e-9b79-0e1030d5ce3d","E4","Week 2","Day 14","Encounter","Encounter_4"
"8c39e66d-eacd-4344-8896-7e655780e911","E5","Week 4","Day 28","Encounter","Encounter_5"
"94f70512-847c-432b-a74a-9382f180fa9b","E7","Week 6","Day 42","Encounter","Encounter_6"
"73cd52e5-09f5-4426-aaf3-bf0497a39945","E8","Week 8","Day 56","Encounter","Encounter_7"
"9764baaf-f0bd-4713-b277-5540bba6f65e","E9","Week 12","Day 84","Encounter","Encounter_8"
"dceeb0e8-ea56-447f-9194-b728109c02c1","E10","Week 16","Day 112","Encounter","Encounter_9"
"6fa7ec50-490a-420a-a622-def4440c9115","E11","Week 20","Day 140","Encounter","Encounter_10"
"2efc7326-85a5-4420-9b42-17e1c59f8bfa","E12","Week 24","Day 168","Encounter","Encounter_11"
"dcdb02e8-ee14-4323-968f-627cd8c16abb","E13","Week 26","Day 182","Encounter","Encounter_12"
