"uuid:ID","purpose","text","name","label","description","instanceType","id"
"05f72193-1d2c-4dee-b684-d19552e3f7a5","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","","","Endpoint","Endpoint_1"
"e3c40959-2462-4862-bc95-d4bfb1270eec","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","","","Endpoint","Endpoint_2"
"f81aa7ae-08e7-4b22-aed4-be283115b3ea","","Adverse events","END3","","","Endpoint","Endpoint_3"
"a59e1e48-55d6-44d6-aaee-0563be7e9aea","","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","","","Endpoint","Endpoint_4"
"feb50ce3-54f8-47d2-8562-f68275c7c9d0","","Laboratory evaluations (Change from Baseline)","END5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","Endpoint_5"
"5673b6ab-c1f1-4b44-9e61-1dcd1a5af883","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","","","Endpoint","Endpoint_6"
"9cc12407-9d2a-4a73-b6fd-f9ebc19ec676","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","","","Endpoint","Endpoint_7"
"fa652b66-d7ca-4756-aeb8-b5282388cd25","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","","","Endpoint","Endpoint_8"
"a9c3cf24-be9c-49aa-abcf-ffae906c7148","","*** To be determined from protocol ***","END9","","","Endpoint","Endpoint_9"
"42c1480a-65df-430b-a596-394bd7ada53c","","*** To be determined from protocol ***","END10","","","Endpoint","Endpoint_10"
"fc40aadf-a779-44ce-a75e-a59a4cbdff49","","*** To be determined from protocol ***","END11","","","Endpoint","Endpoint_11"
