"uuid:ID","name","label","description","instanceType","id"
"0aea0ea6-1336-4cda-98fc-33cb62273040","Informed consent","Informed consent","","Activity","Activity_1"
"013308af-a5cc-410a-b07f-cd18cf3e3c4d","Inclusion/exclusion criteria","Inclusion and exclusion criteria","","Activity","Activity_2"
"fcda734e-257b-4f24-9577-c8a5e0074c6b","Patient number assigned","Patient number assigned","","Activity","Activity_3"
"532a36a3-2133-4908-83d7-138001a6f7d8","Demographics","Demographics","","Activity","Activity_4"
"46d0a18b-f098-450e-aad8-7fd24bbac1e4","Hachinski","Hachinski Ischemic Scale","","Activity","Activity_5"
"0ecdca96-091d-4dea-9eb6-91c324552101","MMSE","MMSE","","Activity","Activity_6"
"40ca4942-9f4d-4617-abf9-8c50336fa2f2","Physical examination","Physical examination","","Activity","Activity_7"
"76c260bc-ceff-49c6-88f0-18f508b3eac3","Medical history","Medical history","","Activity","Activity_8"
"d9b11a3e-5684-4135-a4ed-321050e0f1b6","Habits","Habits","","Activity","Activity_9"
"8eea3228-7d39-4c4d-88c4-52393e17861e","Chest X-ray","Chest X-ray","","Activity","Activity_10"
"ee44f3ed-6b1b-46e4-8db6-50270b1315c1","Apo E genotyping","Apo E genotyping","","Activity","Activity_11"
"0d861029-b4a2-4754-88a9-6fbaede7c0ba","Patient randomised","Patient randomised","","Activity","Activity_12"
"78c6c3f3-82db-461f-9ae3-f20441bc725f","Vital signs / Temperature","Vital Signs and Temperature","","Activity","Activity_13"
"0bfa3dca-5c08-4fd0-b375-658593a0c410","Ambulatory ECG placed","Ambulatory ECG placed","","Activity","Activity_14"
"4aa2a0f9-2e97-41fa-9140-4d9a4a4bf33b","Ambulatory ECG removed","Ambulatory ECG removed","","Activity","Activity_15"
"b22730bd-6b43-446a-9c41-0c19c10843df","ECG","ECG","","Activity","Activity_16"
"bc7f2eb2-1eba-4a46-9a29-78c55ffecb05","Placebo TTS test","Placebo TTS test","","Activity","Activity_17"
"ae60578b-91ac-4d18-9fd0-b06274c90c9d","CT scan","CT scan","","Activity","Activity_18"
"97ae023a-c449-48dc-906d-1d3902c211a4","Concomitant medications","Concomitant medications","","Activity","Activity_19"
"708b027c-4b9c-40c8-b425-e477371ae4c2","Hematology","Hematology","","Activity","Activity_20"
"cc9b6996-f3e5-4785-932f-8ad2e483824f","Chemistry","Chemistry","","Activity","Activity_21"
"7b9f913f-8ba0-4403-81b9-2eac10c53cf5","Uninalysis","Uninalysis","","Activity","Activity_22"
"d2935be2-529a-4c07-af40-647eb43da6b2","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity","Activity_23"
"8c4b86de-3a4f-405e-b3e7-bc594cb8339b","Hemoglobin A1C","Hemoglobin A1C","","Activity","Activity_24"
"d6a84435-3624-417b-9d9b-d14e5c1b54cb","Study drug","Study drug record , Medications dispensed, Medications returned","","Activity","Activity_25"
"50a4abfc-1382-4ef1-aa10-391484cf3492","TTS Acceptability Survey","TTS Acceptability Survey","","Activity","Activity_26"
"2926b81e-7bca-4a2c-8bf2-a4451c0da774","ADAS-Cog","ADAS-Cog","","Activity","Activity_27"
"acfd2bbd-1796-4f9f-aa81-c9fcaed8ff49","CIBIC+","CIBIC+","","Activity","Activity_28"
"d65405b2-31e6-4c9b-82bb-20f68c676223","DAD","DAD","","Activity","Activity_29"
"86f05a38-dcc0-4c13-bedb-4dcb598afb05","NPI-X","NPI-X","","Activity","Activity_30"
"499e4bb3-773e-4013-b70a-8048bfe921b0","Adverse events","Adverse events","","Activity","Activity_31"
"863a9b14-5efb-462c-9fa3-a1475818ff10","Check adverse events","Check adverse events","","Activity","Activity_32"
"b7198f60-1249-483b-8627-6be16236fffa","Supine","Subject supine","","Activity","Activity_33"
"99edd376-6ec8-4d46-9a39-887303fbe9be","Vital Signs Supine","Vital signs while supine","","Activity","Activity_34"
"80687e69-2756-4e6f-8c49-cab9a3f81b10","Stand","Subject Standing","","Activity","Activity_35"
"7d81f9b9-396d-4f57-b89c-90770064af6f","Vital Signs Standing","Vital signs while standing","","Activity","Activity_36"
