"uuid:ID","codeSystemVersion","codeSystem","decode","code","instanceType","id"
"0e7359b4-fe22-4f10-a99f-d60c531c125d","2023-12-15","http://www.cdisc.org","Interventional Study","C98388","Code","Code_1"
"8a3ed5c9-73c3-4ab0-a536-8d98fa4a3449","2023-12-15","http://www.cdisc.org","Phase II Trial","C15601","Code","Code_2"
"b59bc9e7-91b8-4bb8-81e5-158422c62434","2023-12-15","http://www.cdisc.org","Sponsor Approval Date","C132352","Code","Code_9"
"51bb9ad7-ec7f-4afb-a4a8-8e2f7965c4fb","2023-12-15","http://www.cdisc.org","Global","C68846","Code","Code_10"
"7739e61d-74bb-46ac-933c-8d98a7f4b9fc","2023-12-15","http://www.cdisc.org","IRB/IEC Feedback","C99904x3","Code","Code_72"
"75bc1331-0fc5-48d3-9caa-21fead53294e","2023-12-15","http://www.cdisc.org","Other","C17649","Code","Code_73"
"873be996-9b1f-4e5d-b0d3-0ea7330b7170","2023-12-15","http://www.cdisc.org","Region","C41129","Code","Code_75"
"41e9296d-c69a-4b7f-a1e2-23e514863487","2020-08","ISO 3166 1 alpha3","Europe","150","Code","Code_74"
"b83ffb2b-8d3b-43c7-b8e6-dfde33c3fd63","12","SPONSOR","Eli Lilly","PHARMA","Code","Code_4"
"fa39f1c5-3a23-4d35-ba81-35a5aeb7b510","2023-12-15","http://www.cdisc.org","Clinical Study Sponsor","C70793","Code","Code_76"
"044d9101-69b6-4683-98e5-bad0d544c752","2020-08","ISO 3166 1 alpha3","United States of America","USA","Code","Code_77"
"dec7622f-c58b-4d0b-9bd6-d64023358542","2023-12-15","http://www.cdisc.org","Study Registry","C93453","Code","Code_78"
"a68d17e6-9055-48c4-b178-46b4ba870ee8","2020-08","ISO 3166 1 alpha3","United States of America","USA","Code","Code_79"
"d4371ee8-433c-4f0b-9ded-78d0e0b18373","2023-12-15","http://www.cdisc.org","Treatment Study","C49656","Code","Code_137"
"14275f32-34af-4b36-84ea-95489d6a2122","2023-12-15","http://www.cdisc.org","Efficacy Study","C49666","Code","Code_138"
