"uuid:ID","text","name","id","sectionTitle","sectionNumber"
"00d4ce5e-11d2-486d-bca9-289d45dba210","","ROOT","NarrativeContent_1","Root","0"
"1f17ea74-1a0e-4d9d-9cb6-2c5581f26244","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","NarrativeContent_2","TITLE PAGE","0"
"7236a838-5017-495c-b3ab-e3c26a8a378f","<div></div>","SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","1"
"4e6766b8-f0cb-42bc-8fda-3547ee8ff9b0","<div></div>","SECTION 1.1","NarrativeContent_4","Protocol Synopsis","1.1"
"956724a3-3993-4ccc-af8f-68e5fde56fee","<div></div>","SECTION 1.2","NarrativeContent_5","Trial Schema","1.2"
"d7f57027-7243-4262-9065-8f56e4457aa1","<div></div>","SECTION 1.3","NarrativeContent_6","Schedule of Activities","1.3"
"188b919a-da53-40df-8c00-cf2d23c29e01","<div></div>","SECTION 2","NarrativeContent_7","INTRODUCTION","2"
"e3a8a50a-afd4-4237-8400-a3a9da27c57e","<div></div>","SECTION 2.1","NarrativeContent_8","Purpose of Trial","2.1"
"af4f37db-5f4f-4a22-b404-5e38b191f117","<div></div>","SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","2.2"
"a931d878-e996-4bbd-ac39-dce91dd6e7b4","<div></div>","SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3"
"fd027f2e-951a-483d-b0d0-d1e86067553d","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","NarrativeContent_11","Primary Objectives","3.1"
"457aa3e8-eb65-4ff0-909a-d3f689b36452","<div></div>","SECTION 4","NarrativeContent_12","TRIAL DESIGN","4"
"1aa4487e-788a-4ae5-abd8-2698de313e0c","<div></div>","SECTION 4.1","NarrativeContent_13","Description of Trial Design","4.1"
"65d7fa4e-b7df-4837-987b-a176889e478c","<div></div>","SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","4.1.1"
"80007006-038f-4d92-922e-9e0704821f56","<div></div>","SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","4.2"
"e017b6a5-c21b-4522-bf4d-f19799f5bade","<div></div>","SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","4.2.1"
"9a26c359-fad9-4b61-9353-f0dc5cfdefb4","<div></div>","SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","4.2.2"
"a11064dd-0f50-4aa3-88bb-bdf80b4cfa50","<div></div>","SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","4.2.3"
"59be9d83-49aa-459f-982b-8f91754e8ff4","<div></div>","SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","4.3"
"3d1683f1-623b-441f-b234-4425d846ccef","<div></div>","SECTION 4.4","NarrativeContent_20","Start of Trial and End of Trial","4.4"
"b7fb6f4c-d5cf-4544-8f20-b95f6fbd5c46","<div></div>","SECTION 5","NarrativeContent_21","TRIAL POPULATION","5"
"42dba69f-1fba-42e7-b3ef-1519b136978d","<div></div>","SECTION 5.1","NarrativeContent_22","Selection of Trial Population","5.1"
"96e97cd5-9ab3-480b-8221-a2aeec9bf8cb","<div></div>","SECTION 5.2","NarrativeContent_23","Rationale for Trial Population","5.2"
"38f5ac29-2066-41fa-87ee-34f852b90b8e","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","NarrativeContent_24","Inclusion Criteria","5.3"
"15313cd2-7c8c-443c-8ec6-944906499bbe","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","NarrativeContent_25","Exclusion Criteria","5.4"
"b7ba0c27-1a1d-42df-aad6-7547f15139e2","<div></div>","SECTION 5.5","NarrativeContent_26","Lifestyle Considerations","5.5"
"91287fdc-f87c-4ef9-8244-f6e9fc465527","<div></div>","SECTION 5.5.1","NarrativeContent_27","Meals and Dietary Restrictions","5.5.1"
"82cbed2f-ddfa-4a40-9f89-04a79376ad40","<div></div>","SECTION 5.5.2","NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2"
"f2366a7b-0669-442c-9a7e-0452bdfd9eb4","<div></div>","SECTION 5.5.3","NarrativeContent_29","Physical Activity","5.5.3"
"a3b7989b-6847-4c78-ac3f-2ac97c9e44e8","<div></div>","SECTION 5.5.4","NarrativeContent_30","Other Activity","5.5.4"
"b8fe0e4b-aab9-4da8-aa7a-511248936f6d","<div></div>","SECTION 5.6","NarrativeContent_31","Screen Failures","5.6"
"35f2ad9c-d042-4828-a056-362c6adf36d2","<div></div>","SECTION 6","NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6"
"c814a1d0-60b3-4e68-bdb2-c0f8e6babea0","<div></div>","SECTION 6.1","NarrativeContent_33","Description of Trial Intervention","6.1"
"170c7efe-77c3-45b6-8fe3-1a7f649eb390","<div></div>","SECTION 6.2","NarrativeContent_34","Rationale for Trial Intervention","6.2"
